cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
colorectal,histgb_native,full,40000,0,0,0.8684310960695033,0.3549679971663319,0.038625,0.965375,0.03009642603046719,1.0077651924423892,0.04153475054626835,309
colorectal,histgb_native,full,40000,0,1,0.8753210052181363,0.35584459514663713,0.038625,0.963875,0.03010994379206967,1.05308183879721,0.21020691326298901,309
colorectal,histgb_native,full,40000,0,2,0.8632834850455137,0.33927406894478734,0.03875,0.964375,0.030571098870302883,0.8874516572428542,-0.15731511029258607,310
colorectal,histgb_native,full,40000,0,3,0.8597327908049834,0.277614118099618,0.03875,0.962125,0.032293159155772085,0.9248179833212546,-0.0932738884761336,310
colorectal,histgb_native,full,40000,0,4,0.8519199630857,0.307250367135989,0.03875,0.963625,0.03160243155773103,0.9133972314098573,-0.10309396942032399,310
colorectal,histgb_native,full,40000,1,0,0.8664839203894436,0.3402683065282249,0.038625,0.9645,0.030671715201238237,0.942384976901882,-0.10009170247377461,309
colorectal,histgb_native,full,40000,1,1,0.8414639226532589,0.3106701122517406,0.038625,0.96425,0.0312670052118083,0.9260625941988745,-0.1438083258467758,309
colorectal,histgb_native,full,40000,1,2,0.876097571206846,0.36892504331388365,0.03875,0.966,0.02956126235274129,0.9776146444914129,0.0693900827093146,310
colorectal,histgb_native,full,40000,1,3,0.8652070137170185,0.32351261683066906,0.03875,0.96325,0.03115504355679836,0.9340263921246759,-0.09500634828881453,310
colorectal,histgb_native,full,40000,1,4,0.8638921515164226,0.32042484843628816,0.03875,0.9655,0.03092463957605785,0.9808178414390234,0.04209602107321047,310
colorectal,histgb_native,full,40000,2,0,0.8653728415384014,0.3284907106294379,0.038625,0.963375,0.030797287114686083,1.0343887688049072,0.15414709503977986,309
colorectal,histgb_native,full,40000,2,1,0.8556363319628415,0.34215996753153105,0.038625,0.9655,0.030513292747222972,0.9662762868599243,0.0006277085566656004,309
colorectal,histgb_native,full,40000,2,2,0.8590196736440286,0.3293953046694835,0.03875,0.963375,0.030722201010760074,1.0176166735111827,0.0921510193331759,310
colorectal,histgb_native,full,40000,2,3,0.8722714878979824,0.30729202927106436,0.03875,0.96375,0.0314416217138484,0.9794672197034788,0.014393254153414753,310
colorectal,histgb_native,full,40000,2,4,0.8576871932547505,0.31700633833777925,0.03875,0.96375,0.0313450619369683,0.966249997657088,-0.03876371044753837,310
colorectal,histgb_native,full,40000,3,0,0.863723790973268,0.35585526029156106,0.038625,0.96425,0.03015303909993702,0.945564972553783,-0.03272502738817656,309
colorectal,histgb_native,full,40000,3,1,0.8622565188832911,0.3278231153161608,0.038625,0.964875,0.030907073510431683,0.99922640900624,0.08694675829803035,309
colorectal,histgb_native,full,40000,3,2,0.8668037669365325,0.32962849570930397,0.03875,0.964625,0.03072494885019705,1.0314570974723287,0.08580065287307494,310
colorectal,histgb_native,full,40000,3,3,0.8638061579764251,0.31245867284563034,0.03875,0.9625,0.03129420437517003,1.0236713961564197,0.16214999960755316,310
colorectal,histgb_native,full,40000,3,4,0.8561619614916733,0.3459804310646301,0.03875,0.9655,0.0304322706760268,0.8931778455706533,-0.1892541696915291,310
colorectal,histgb_native,full,40000,4,0,0.8653223475175247,0.33025967331646117,0.038625,0.963625,0.030669589659267672,1.002117983104266,0.017383471527893917,309
colorectal,histgb_native,full,40000,4,1,0.8675588118588574,0.31851650873765674,0.038625,0.96325,0.03111178842998933,0.9589338905583533,-0.02079614960145594,309
colorectal,histgb_native,full,40000,4,2,0.8574187256176854,0.3136342936443065,0.03875,0.963875,0.031360495580917455,0.9457338433914031,-0.08243171680387837,310
colorectal,histgb_native,full,40000,4,3,0.866354922605814,0.34691510817388105,0.03875,0.963875,0.030338938005617884,1.004724588417676,0.06702219796472528,310
colorectal,histgb_native,full,40000,4,4,0.8610371659885063,0.3114847240779115,0.03875,0.963625,0.03135574726063057,0.9152307534219185,-0.12292609069212254,310
colorectal,histgb_native,full,40000,5,0,0.8639853079230589,0.3196997122534364,0.038625,0.9635,0.030881124326080717,0.9456823883137029,-0.12537501072384546,309
colorectal,histgb_native,full,40000,5,1,0.860977968196341,0.3173905448658148,0.038625,0.962625,0.031185273413094326,0.9345961240486762,-0.09985080830247713,309
colorectal,histgb_native,full,40000,5,2,0.866594865556441,0.3188621956220247,0.03875,0.9635,0.03126250715664522,0.9897782768689593,0.0335943629409076,310
colorectal,histgb_native,full,40000,5,3,0.8618815806032132,0.3549476345198254,0.03875,0.9655,0.030367063618047616,0.9182165316345459,-0.11817447103319119,310
colorectal,histgb_native,full,40000,5,4,0.8701749234447754,0.3255642118339099,0.03875,0.9635,0.031107769679304696,1.0605139533015502,0.22082268322058293,310
colorectal,histgb_native,full,40000,6,0,0.8710296446188732,0.33708289383496365,0.038625,0.964625,0.030337157458260065,1.0110179434413593,0.03313804344115738,309
colorectal,histgb_native,full,40000,6,1,0.8530100117019894,0.33086847083095894,0.038625,0.964625,0.030786256395076046,1.0083043643894347,0.06680250585607715,309
colorectal,histgb_native,full,40000,6,2,0.8644685179747473,0.3068141340174631,0.03875,0.96225,0.03156524791206889,0.9453122442602444,-0.07579359745402063,310
