cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
colorectal,ours,full,40000,0,0,0.8067800004965247,0.19563534926056017,0.038625,0.961375,0.03394988620900314,1.1574750198614345,0.342041759244572,309
colorectal,ours,full,40000,0,1,0.8050850845290949,0.17976732715906307,0.038625,0.960625,0.03432895406499017,1.131441587979586,0.3311030860050199,309
colorectal,ours,full,40000,0,2,0.7891463568102688,0.18654893608079118,0.03875,0.961375,0.03433620485662651,1.0962291901016077,0.22047244819906,310
colorectal,ours,full,40000,0,3,0.7865181005914677,0.1550523026085644,0.03875,0.96075,0.035010426762544095,1.0249902483336712,0.06540642511497269,310
colorectal,ours,full,40000,0,4,0.8038602709845213,0.2029987782983649,0.03875,0.961375,0.034013016444806574,1.1487301843384707,0.3711390871774808,310
colorectal,ours,full,40000,1,0,0.8110814598999629,0.19609308567819744,0.038625,0.961375,0.034071463364849,1.1538711758757831,0.3454389412254357,309
colorectal,ours,full,40000,1,1,0.7718499199880161,0.18427554641638808,0.038625,0.9615,0.034324824319827384,1.0106279021534539,-0.0276605925875329,309
colorectal,ours,full,40000,1,2,0.8051684214941902,0.19636823643205767,0.03875,0.960875,0.03418854086156749,1.1881981767814767,0.5114796033759128,310
colorectal,ours,full,40000,1,3,0.7975932295817778,0.16655166810119648,0.03875,0.961125,0.03474068796058316,1.0516694730668579,0.0969444803514149,310
colorectal,ours,full,40000,1,4,0.8060111581861654,0.19898240659918412,0.03875,0.96075,0.03409507212905611,1.1811548382529142,0.4706849590738594,310
colorectal,ours,full,40000,2,0,0.7996172132434034,0.18878419244397565,0.038625,0.961125,0.03415875788628639,1.1004004340671136,0.21405150018233995,309
colorectal,ours,full,40000,2,1,0.799375473118456,0.18911312594819313,0.038625,0.961375,0.03417382657545855,1.136446110030856,0.34555010727691904,309
colorectal,ours,full,40000,2,2,0.8130227778010823,0.2118113947465584,0.03875,0.961375,0.03378761229000336,1.1840680730786937,0.4470104109785718,310
colorectal,ours,full,40000,2,3,0.7971733294181803,0.15630439587147443,0.03875,0.96125,0.03486096082575653,1.1091786759277258,0.26667682954517336,310
colorectal,ours,full,40000,2,4,0.8026435672637275,0.1838698007531495,0.03875,0.96125,0.034396810749453346,1.1067649491776492,0.26414416887785197,310
colorectal,ours,full,40000,3,0,0.8020794279364061,0.21482469757691308,0.038625,0.9615,0.0337077262570201,1.1700761742179397,0.42361926444921827,309
colorectal,ours,full,40000,3,1,0.796534342877124,0.17122093300224467,0.038625,0.961,0.034550051042147166,1.09763616298974,0.23294278007139987,309
colorectal,ours,full,40000,3,2,0.7990018457150048,0.1945234716502408,0.03875,0.9615,0.03415913861011314,1.1297399552333796,0.3033473819410318,310
colorectal,ours,full,40000,3,3,0.7993126809010445,0.16368897413803932,0.03875,0.960375,0.03498482676256777,1.0559293862414174,0.13373393802843855,310
colorectal,ours,full,40000,3,4,0.7940526028776376,0.1710736029760448,0.03875,0.960875,0.034641857170537804,1.0749103872096664,0.14933173781576922,310
colorectal,ours,full,40000,4,0,0.8157622556352379,0.19259031363971432,0.038625,0.961375,0.03404528563482389,1.1809515704664064,0.4551752233289983,309
colorectal,ours,full,40000,4,1,0.791962740461995,0.20478143195502138,0.038625,0.961375,0.03392237485529118,1.1313738287811985,0.3411366732478577,309
colorectal,ours,full,40000,4,2,0.7774292126347581,0.1630762694431613,0.03875,0.96075,0.03493584180719009,0.9908773759544958,-0.056975407366502966,310
colorectal,ours,full,40000,4,3,0.8186142455639918,0.19894432268569748,0.03875,0.961125,0.03401100649703213,1.2060302376209275,0.5068829588384456,310
colorectal,ours,full,40000,4,4,0.7867416837954612,0.17618046941083426,0.03875,0.961,0.03457346275801755,1.0648120636086669,0.1115952293948961,310
colorectal,ours,full,40000,5,0,0.8152640479625873,0.20608199886195475,0.038625,0.962,0.03389742142731913,1.1989620891552346,0.5065892803312296,309
colorectal,ours,full,40000,5,1,0.805426550345274,0.1765928270393155,0.038625,0.961,0.03437142161731438,1.1644001461396598,0.4152256156372933,309
colorectal,ours,full,40000,5,2,0.7909211795796804,0.17605102413482762,0.03875,0.960625,0.03465683218225696,1.0528622492468203,0.08685340054428298,310
colorectal,ours,full,40000,5,3,0.7961116238097236,0.1969131120779309,0.03875,0.9615,0.03410109242026967,1.121695969897665,0.31204629109200444,310
colorectal,ours,full,40000,5,4,0.7818461344855069,0.18315153209494386,0.03875,0.96075,0.034407549957292116,1.0373019601250997,0.058515821731682204,310
colorectal,ours,full,40000,6,0,0.8150317754665543,0.20946947663984786,0.038625,0.9615,0.033789544368270245,1.234868643819674,0.598881405490212,309
colorectal,ours,full,40000,6,1,0.7989317569100015,0.2027651392661474,0.038625,0.96125,0.03391881298606552,1.1560629165074319,0.40598829721535096,309
colorectal,ours,full,40000,6,2,0.7972681320525189,0.1666422689745435,0.03875,0.9605,0.034810442184343,1.0513866929573574,0.08717463709878977,310
colorectal,ours,full,40000,6,3,0.7837709215990605,0.16084672481157875,0.03875,0.961375,0.03490991712687385,1.0080691298662636,-0.02017341397469282,310
colorectal,ours,full,40000,6,4,0.8140534418390033,0.21127501377129682,0.03875,0.961,0.033855288363499596,1.20422486654642,0.5078667735576451,310
colorectal,ours,full,40000,7,0,0.8065595099386961,0.18613865715783814,0.038625,0.961,0.0342264331477937,1.1695243754461329,0.45741080633731673,309
colorectal,ours,full,40000,7,1,0.7947338102493606,0.183018577601247,0.038625,0.96125,0.034280127217603984,1.0953924068431955,0.20972996447487136,309
colorectal,ours,full,40000,7,2,0.8002611267251143,0.1754727522162254,0.03875,0.960625,0.034659171578754464,1.0596140189307361,0.096677345091579,310
colorectal,ours,full,40000,7,3,0.787449347707538,0.1749773903078552,0.03875,0.9615,0.03459820060486986,1.0624176962189171,0.11608062322891394,310
colorectal,ours,full,40000,7,4,0.8162550862032805,0.2165329668397308,0.03875,0.961,0.03370997009229859,1.2444741736060225,0.6498664315584167,310
colorectal,ours,full,40000,8,0,0.8094077934996522,0.18105419264548966,0.038625,0.960625,0.03428428089718233,1.127648562999188,0.2931153658842286,309
colorectal,ours,full,40000,8,1,0.8013016096231504,0.183781079820981,0.038625,0.961125,0.03426017709031979,1.1205860785959312,0.29211346047799486,309
colorectal,ours,full,40000,8,2,0.7762829816686942,0.17108985320772258,0.03875,0.96125,0.03476368545600375,1.0093778835690896,0.022384534692057097,310
colorectal,ours,full,40000,8,3,0.7906556483073955,0.19466347513507162,0.03875,0.962125,0.03430905924444607,1.0874131891042997,0.2098859042902294,310
colorectal,ours,full,40000,8,4,0.8153699819623307,0.1996077871973275,0.03875,0.960875,0.03407015054090424,1.239591516640686,0.5907469010748813,310
colorectal,ours,full,40000,9,0,0.8138628388832573,0.19917807820472708,0.038625,0.9615,0.03396146436455175,1.197864598268082,0.49530206657415343,309
colorectal,ours,full,40000,9,1,0.7976199643259743,0.16946395521192678,0.038625,0.961,0.034579634483391006,1.065914172983897,0.1285708197363238,309
colorectal,ours,full,40000,9,2,0.8000350266370233,0.21560022835276801,0.03875,0.961375,0.03387783560158907,1.1640022120788296,0.41935160033151186,310
