cohort,target,kappa,feature_set,seed,fold,auprc
lung,ancestors,0.0,full,0,0,0.20876077184771397
lung,global,0.0,full,0,0,0.20876077184771397
lung,ancestors,200.0,full,0,0,0.2093626984329927
lung,global,200.0,full,0,0,0.20804293783583616
lung,ancestors,500.0,full,0,0,0.20978669760288626
lung,global,500.0,full,0,0,0.20754590596396014
lung,ancestors,1000.0,full,0,0,0.2107062141667523
lung,global,1000.0,full,0,0,0.2066487922735529
lung,ancestors,2000.0,full,0,0,0.21209417845575468
lung,global,2000.0,full,0,0,0.2054619815917368
lung,ancestors,5000.0,full,0,0,0.2138338910144541
lung,global,5000.0,full,0,0,0.20173393109475643
lung,ancestors,10000.0,full,0,0,0.21541699561145516
lung,global,10000.0,full,0,0,0.19811862107748832
lung,ancestors,50000.0,full,0,0,0.20971354398867054
lung,global,50000.0,full,0,0,0.19130480417030743
lung,ancestors,1000000.0,full,0,0,0.19372104508994434
lung,global,1000000.0,full,0,0,0.1887589537353043
lung,ancestors,0.0,full,0,1,0.18355630123800157
lung,global,0.0,full,0,1,0.18355630123800157
lung,ancestors,200.0,full,0,1,0.18422187863670356
lung,global,200.0,full,0,1,0.18367038324697885
lung,ancestors,500.0,full,0,1,0.1850709654133362
lung,global,500.0,full,0,1,0.1820157794877045
lung,ancestors,1000.0,full,0,1,0.18621967673511786
lung,global,1000.0,full,0,1,0.1815040423037168
lung,ancestors,2000.0,full,0,1,0.18524743145495565
lung,global,2000.0,full,0,1,0.18059977611804956
lung,ancestors,5000.0,full,0,1,0.18720613988036347
lung,global,5000.0,full,0,1,0.17876645231031885
lung,ancestors,10000.0,full,0,1,0.18820416250185734
lung,global,10000.0,full,0,1,0.17630762237082107
lung,ancestors,50000.0,full,0,1,0.180750903606336
lung,global,50000.0,full,0,1,0.16972348161989873
lung,ancestors,1000000.0,full,0,1,0.16532981304383718
lung,global,1000000.0,full,0,1,0.16570714343599643
lung,ancestors,0.0,full,0,2,0.16762683631652686
lung,global,0.0,full,0,2,0.16762683631652686
lung,ancestors,200.0,full,0,2,0.16789452827494825
lung,global,200.0,full,0,2,0.1678807847474724
lung,ancestors,500.0,full,0,2,0.1684972719380643
lung,global,500.0,full,0,2,0.16822587498998046
lung,ancestors,1000.0,full,0,2,0.1694010322737868
lung,global,1000.0,full,0,2,0.1680939279756969
lung,ancestors,2000.0,full,0,2,0.1708972631197704
lung,global,2000.0,full,0,2,0.167293572313099
lung,ancestors,5000.0,full,0,2,0.17328472969827924
lung,global,5000.0,full,0,2,0.16499836664051482
lung,ancestors,10000.0,full,0,2,0.17395725566357242
lung,global,10000.0,full,0,2,0.16238299660397468
lung,ancestors,50000.0,full,0,2,0.16924662544159214
lung,global,50000.0,full,0,2,0.15597684643420132
lung,ancestors,1000000.0,full,0,2,0.15935185528246174
lung,global,1000000.0,full,0,2,0.15295913595914712
lung,ancestors,0.0,full,0,3,0.1641740684689488
lung,global,0.0,full,0,3,0.1641740684689488
lung,ancestors,200.0,full,0,3,0.16468588759211467
lung,global,200.0,full,0,3,0.16441852042585797
lung,ancestors,500.0,full,0,3,0.16502857691791542
lung,global,500.0,full,0,3,0.16524846933383577
lung,ancestors,1000.0,full,0,3,0.16599558715950652
lung,global,1000.0,full,0,3,0.16558312301786385
lung,ancestors,2000.0,full,0,3,0.16683415468843152
lung,global,2000.0,full,0,3,0.1659500212653604
lung,ancestors,5000.0,full,0,3,0.16871919112452158
lung,global,5000.0,full,0,3,0.16564338112759988
lung,ancestors,10000.0,full,0,3,0.1693762625377066
lung,global,10000.0,full,0,3,0.16377759335753278
lung,ancestors,50000.0,full,0,3,0.16373372625556634
lung,global,50000.0,full,0,3,0.15720358340855745
lung,ancestors,1000000.0,full,0,3,0.1552781324302682
lung,global,1000000.0,full,0,3,0.15388728439176524
lung,ancestors,0.0,full,0,4,0.1999731081418265
lung,global,0.0,full,0,4,0.1999731081418265
lung,ancestors,200.0,full,0,4,0.2003856199697254
lung,global,200.0,full,0,4,0.2000750859462254
lung,ancestors,500.0,full,0,4,0.20103245442640694
lung,global,500.0,full,0,4,0.19994190665473294
lung,ancestors,1000.0,full,0,4,0.2013984705238905
lung,global,1000.0,full,0,4,0.1995225133873392
lung,ancestors,2000.0,full,0,4,0.20246063093446795
lung,global,2000.0,full,0,4,0.19890553249789986
lung,ancestors,5000.0,full,0,4,0.20271197151787693
lung,global,5000.0,full,0,4,0.19736093577664898
lung,ancestors,10000.0,full,0,4,0.20457124516598993
lung,global,10000.0,full,0,4,0.19260086654023975
lung,ancestors,50000.0,full,0,4,0.19941604216420344
lung,global,50000.0,full,0,4,0.18132709502851815
lung,ancestors,1000000.0,full,0,4,0.18818648328219062
lung,global,1000000.0,full,0,4,0.1770787715661646
lung,ancestors,0.0,full,1,0,0.20265078638009962
lung,global,0.0,full,1,0,0.20265078638009962
lung,ancestors,200.0,full,1,0,0.20288216566626122
lung,global,200.0,full,1,0,0.20147762569982067
lung,ancestors,500.0,full,1,0,0.20190013182494784
lung,global,500.0,full,1,0,0.20113765807461936
lung,ancestors,1000.0,full,1,0,0.20166828664363415
lung,global,1000.0,full,1,0,0.2009949919404375
lung,ancestors,2000.0,full,1,0,0.2020767407019761
lung,global,2000.0,full,1,0,0.20039706127629348
lung,ancestors,5000.0,full,1,0,0.20082722091522598
lung,global,5000.0,full,1,0,0.1985341535803433
lung,ancestors,10000.0,full,1,0,0.1998149679952892
lung,global,10000.0,full,1,0,0.19645750146215468
lung,ancestors,50000.0,full,1,0,0.19127204037982234
lung,global,50000.0,full,1,0,0.1889390296305903
lung,ancestors,1000000.0,full,1,0,0.17634208867707898
lung,global,1000000.0,full,1,0,0.1847965882318996
lung,ancestors,0.0,full,1,1,0.1811534278557702
lung,global,0.0,full,1,1,0.1811534278557702
lung,ancestors,200.0,full,1,1,0.1816902399551941
lung,global,200.0,full,1,1,0.18196539632805148
lung,ancestors,500.0,full,1,1,0.1822958961622862
lung,global,500.0,full,1,1,0.1817837836005058
lung,ancestors,1000.0,full,1,1,0.183128912105372
lung,global,1000.0,full,1,1,0.18186066810542673
lung,ancestors,2000.0,full,1,1,0.18480307401797844
lung,global,2000.0,full,1,1,0.18096280683879326
lung,ancestors,5000.0,full,1,1,0.18600751882034355
lung,global,5000.0,full,1,1,0.1786297374969457
lung,ancestors,10000.0,full,1,1,0.18804633074803417
lung,global,10000.0,full,1,1,0.17325383701361768
lung,ancestors,50000.0,full,1,1,0.1817361145217751
lung,global,50000.0,full,1,1,0.16362810844028902
lung,ancestors,1000000.0,full,1,1,0.16878956430879152
lung,global,1000000.0,full,1,1,0.15919719428726284
lung,ancestors,0.0,full,1,2,0.2091900156264303
lung,global,0.0,full,1,2,0.2091900156264303
lung,ancestors,200.0,full,1,2,0.2095292162296743
lung,global,200.0,full,1,2,0.20928314229158373
lung,ancestors,500.0,full,1,2,0.21014140930932682
lung,global,500.0,full,1,2,0.20889096476490093
lung,ancestors,1000.0,full,1,2,0.21115263098975956
lung,global,1000.0,full,1,2,0.20791599170017266
lung,ancestors,2000.0,full,1,2,0.21210137681738803
lung,global,2000.0,full,1,2,0.20709588495531145
lung,ancestors,5000.0,full,1,2,0.21413531809186415
lung,global,5000.0,full,1,2,0.20362860888393858
lung,ancestors,10000.0,full,1,2,0.21367841085710287
lung,global,10000.0,full,1,2,0.1995582174608098
lung,ancestors,50000.0,full,1,2,0.20499829668127917
lung,global,50000.0,full,1,2,0.18967988386889378
lung,ancestors,1000000.0,full,1,2,0.18981332056171552
lung,global,1000000.0,full,1,2,0.1835419104297505
lung,ancestors,0.0,full,1,3,0.1546544648859404
lung,global,0.0,full,1,3,0.1546544648859404
lung,ancestors,200.0,full,1,3,0.15481633119817137
lung,global,200.0,full,1,3,0.15465880974023513
lung,ancestors,500.0,full,1,3,0.1550552248825932
lung,global,500.0,full,1,3,0.15443571598570838
lung,ancestors,1000.0,full,1,3,0.1552903537669099
lung,global,1000.0,full,1,3,0.1522042374880562
lung,ancestors,2000.0,full,1,3,0.15558219122234104
lung,global,2000.0,full,1,3,0.15066596534796625
lung,ancestors,5000.0,full,1,3,0.15597582720409636
lung,global,5000.0,full,1,3,0.14769604387524993
lung,ancestors,10000.0,full,1,3,0.15512667636445557
lung,global,10000.0,full,1,3,0.14387001461904278
lung,ancestors,50000.0,full,1,3,0.14662960910389
lung,global,50000.0,full,1,3,0.13657237957949067
lung,ancestors,1000000.0,full,1,3,0.1357526501201879
lung,global,1000000.0,full,1,3,0.13300714433293664
lung,ancestors,0.0,full,1,4,0.21529383317498219
lung,global,0.0,full,1,4,0.21529383317498219
lung,ancestors,200.0,full,1,4,0.21617495348402455
lung,global,200.0,full,1,4,0.21512814187874213
lung,ancestors,500.0,full,1,4,0.21701962618695225
lung,global,500.0,full,1,4,0.21478768332509074
lung,ancestors,1000.0,full,1,4,0.21854142368496243
lung,global,1000.0,full,1,4,0.21451297982850995
lung,ancestors,2000.0,full,1,4,0.22068145045212204
lung,global,2000.0,full,1,4,0.21289341405214468
lung,ancestors,5000.0,full,1,4,0.22435325828470887
lung,global,5000.0,full,1,4,0.209682319159412
lung,ancestors,10000.0,full,1,4,0.22607154721998873
lung,global,10000.0,full,1,4,0.20532354686677282
lung,ancestors,50000.0,full,1,4,0.22097763016647443
lung,global,50000.0,full,1,4,0.19502870937769012
lung,ancestors,1000000.0,full,1,4,0.2021485205087298
lung,global,1000000.0,full,1,4,0.1881933339163278
lung,ancestors,0.0,full,2,0,0.17080477657152382
lung,global,0.0,full,2,0,0.17080477657152382
lung,ancestors,200.0,full,2,0,0.17127218583476156
lung,global,200.0,full,2,0,0.17134285304650793
lung,ancestors,500.0,full,2,0,0.17219684733266666
lung,global,500.0,full,2,0,0.1715162899837081
lung,ancestors,1000.0,full,2,0,0.17302457768072296
lung,global,1000.0,full,2,0,0.1719707595403603
lung,ancestors,2000.0,full,2,0,0.17481147587058926
lung,global,2000.0,full,2,0,0.1731375291426006
lung,ancestors,5000.0,full,2,0,0.17774158919003413
lung,global,5000.0,full,2,0,0.17269508888109328
lung,ancestors,10000.0,full,2,0,0.18042870175171122
lung,global,10000.0,full,2,0,0.17143947735634274
lung,ancestors,50000.0,full,2,0,0.17726551630310297
lung,global,50000.0,full,2,0,0.1658332556338221
lung,ancestors,1000000.0,full,2,0,0.16405218589677725
lung,global,1000000.0,full,2,0,0.1620702453158545
lung,ancestors,0.0,full,2,1,0.17503464426132004
lung,global,0.0,full,2,1,0.17503464426132004
lung,ancestors,200.0,full,2,1,0.17534260743999744
lung,global,200.0,full,2,1,0.17480099177165798
lung,ancestors,500.0,full,2,1,0.17612738671014652
lung,global,500.0,full,2,1,0.17458143392103223
lung,ancestors,1000.0,full,2,1,0.17698545445067188
lung,global,1000.0,full,2,1,0.17435027716222443
lung,ancestors,2000.0,full,2,1,0.17853509768631248
lung,global,2000.0,full,2,1,0.17341406159748296
lung,ancestors,5000.0,full,2,1,0.18043891027031841
lung,global,5000.0,full,2,1,0.1703128071647959
lung,ancestors,10000.0,full,2,1,0.18222703468762075
lung,global,10000.0,full,2,1,0.16769499318672343
lung,ancestors,50000.0,full,2,1,0.1812584722454844
lung,global,50000.0,full,2,1,0.16408591552214372
lung,ancestors,1000000.0,full,2,1,0.1793899267015766
lung,global,1000000.0,full,2,1,0.16036375636579175
lung,ancestors,0.0,full,2,2,0.20690324441901756
lung,global,0.0,full,2,2,0.20690324441901756
lung,ancestors,200.0,full,2,2,0.2075857169407834
lung,global,200.0,full,2,2,0.20818257064494997
lung,ancestors,500.0,full,2,2,0.20879691118480168
lung,global,500.0,full,2,2,0.20835787966325986
lung,ancestors,1000.0,full,2,2,0.21037097375566585
lung,global,1000.0,full,2,2,0.20916876845735877
lung,ancestors,2000.0,full,2,2,0.2123032009716527
lung,global,2000.0,full,2,2,0.20966128323420838
lung,ancestors,5000.0,full,2,2,0.2161872797810337
lung,global,5000.0,full,2,2,0.21035018802329047
lung,ancestors,10000.0,full,2,2,0.21873385429157294
lung,global,10000.0,full,2,2,0.2116888775447668
lung,ancestors,50000.0,full,2,2,0.2189854165672422
lung,global,50000.0,full,2,2,0.20513691615274568
lung,ancestors,1000000.0,full,2,2,0.20914315405437586
lung,global,1000000.0,full,2,2,0.20348242009665835
lung,ancestors,0.0,full,2,3,0.16795263911433694
lung,global,0.0,full,2,3,0.16795263911433694
lung,ancestors,200.0,full,2,3,0.16819230620683062
lung,global,200.0,full,2,3,0.16747082737880256
lung,ancestors,500.0,full,2,3,0.16846104904806236
lung,global,500.0,full,2,3,0.16667544880284538
lung,ancestors,1000.0,full,2,3,0.168795942012093
lung,global,1000.0,full,2,3,0.16580761731875515
lung,ancestors,2000.0,full,2,3,0.16846699230320236
lung,global,2000.0,full,2,3,0.163725494635851
lung,ancestors,5000.0,full,2,3,0.16791829570698086
lung,global,5000.0,full,2,3,0.15811137666887448
lung,ancestors,10000.0,full,2,3,0.1657493548196989
lung,global,10000.0,full,2,3,0.1535132273063484
lung,ancestors,50000.0,full,2,3,0.15263919775365725
lung,global,50000.0,full,2,3,0.14401504159776599
lung,ancestors,1000000.0,full,2,3,0.13815558916301515
lung,global,1000000.0,full,2,3,0.1388055151398522
lung,ancestors,0.0,full,2,4,0.19491875253313679
lung,global,0.0,full,2,4,0.19491875253313679
lung,ancestors,200.0,full,2,4,0.19540017055972825
lung,global,200.0,full,2,4,0.19517084588434186
lung,ancestors,500.0,full,2,4,0.19597597792831406
lung,global,500.0,full,2,4,0.1950936497646115
lung,ancestors,1000.0,full,2,4,0.19657532430623087
lung,global,1000.0,full,2,4,0.1967191229693907
lung,ancestors,2000.0,full,2,4,0.1994748088182371
lung,global,2000.0,full,2,4,0.19663243258779378
lung,ancestors,5000.0,full,2,4,0.20091554283107216
lung,global,5000.0,full,2,4,0.19356250990741006
lung,ancestors,10000.0,full,2,4,0.20069890209697414
lung,global,10000.0,full,2,4,0.18920627437349435
lung,ancestors,50000.0,full,2,4,0.192710920854355
lung,global,50000.0,full,2,4,0.17886062464516206
lung,ancestors,1000000.0,full,2,4,0.1800982818763503
lung,global,1000000.0,full,2,4,0.17414442999681762
