cohort,target,kappa,feature_set,subsample_n,auprc,auprc_sd
lung,ancestors,0.0,full,40000,0.186843178055705,0.0189650014497094
lung,ancestors,200.0,full,40000,0.1872957670947941,0.0190698736483138
lung,ancestors,500.0,full,40000,0.1878257617912471,0.0191010608904541
lung,ancestors,1000.0,full,40000,0.1886169906836718,0.0192532866941457
lung,ancestors,2000.0,full,40000,0.1897580045010119,0.0196077764215196
lung,ancestors,5000.0,full,40000,0.1913504456220782,0.0200500242625953
lung,ancestors,10000.0,full,40000,0.1921401134875353,0.0205490032068486
lung,ancestors,50000.0,full,40000,0.1860889370688967,0.021712335214306
lung,ancestors,1000000.0,full,40000,0.1737035073998201,0.020739756425474
lung,global,0.0,full,40000,0.186843178055705,0.0189650014497094
lung,global,200.0,full,40000,0.1869045944578042,0.0189026055560042
lung,global,500.0,full,40000,0.186682562954433,0.0188080819728332
lung,global,1000.0,full,40000,0.1864571875645908,0.019031873448251
lung,global,2000.0,full,40000,0.1857864544969727,0.0190928857364366
lung,global,5000.0,full,40000,0.1834470600394128,0.0193009426122915
lung,global,10000.0,full,40000,0.1803462444760087,0.0195501987247602
lung,global,50000.0,full,40000,0.1724877116740051,0.0190104151019911
lung,global,1000000.0,full,40000,0.16839958848010197,0.019004563398727792
