cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
lung,ours,full,40000,0,0,0.80025743534977,0.2112107646557881,0.038625,0.961625,0.0337619501626448,1.1332236578798738,0.3898681827321906,309
lung,ours,full,40000,0,1,0.7869509984982236,0.186338071281545,0.038625,0.960625,0.0343786715295945,1.057642686342581,0.244043548384803,309
lung,ours,full,40000,0,2,0.7838036410923277,0.1696266009218805,0.03875,0.960875,0.0348089403299148,1.0049755177597088,0.0589789121605432,310
lung,ours,full,40000,0,3,0.7761189647216744,0.1662110567856204,0.03875,0.961125,0.0348808061778705,0.9537592520751716,-0.0494254571195493,310
lung,ours,full,40000,0,4,0.7939114476278367,0.2015164481812403,0.03875,0.961625,0.0340387991308319,1.060267277959706,0.2032678518980497,310
lung,ours,full,40000,1,0,0.8000417838022755,0.2017452811219077,0.038625,0.961625,0.0339695695355562,1.0970445667933322,0.2840083409277125,309
lung,ours,full,40000,1,1,0.7616774786988869,0.1836449933442365,0.038625,0.961375,0.0343958485464764,0.9405056375409638,-0.1343821407323727,309
lung,ours,full,40000,1,2,0.7987465917194514,0.2114991619992707,0.03875,0.961125,0.0340781307618493,1.153581469257034,0.5309485041537151,310
lung,ours,full,40000,1,3,0.7763138134988884,0.1552408536683335,0.03875,0.96075,0.035160803914833,0.9402041342979482,-0.0956711422642933,310
lung,ours,full,40000,1,4,0.8084256889970218,0.2191459203612179,0.03875,0.96175,0.0337479753824955,1.1473813216880122,0.4520399432755655,310
lung,ours,full,40000,2,0,0.7906204410736881,0.1735041031162507,0.038625,0.96075,0.0347298600380327,0.9824996193837384,-0.0249075879827409,309
lung,ours,full,40000,2,1,0.7897908663890336,0.1773294063998401,0.038625,0.96125,0.0344809023314791,1.0773504029054106,0.3000227775132836,309
lung,ours,full,40000,2,2,0.7977155082008472,0.2109188059524269,0.03875,0.96175,0.0338885704432771,1.0756752812933168,0.2462844252692237,310
lung,ours,full,40000,2,3,0.7905348378707161,0.1687436268974974,0.03875,0.961125,0.0347635351007254,1.029640878195212,0.1264166012549164,310
lung,ours,full,40000,2,4,0.7889435379000796,0.1968854409354887,0.03875,0.961125,0.0341903936819066,1.0659065429241603,0.2611955854795705,310
lung,ours,full,40000,3,0,0.7919515896990514,0.2137340463618498,0.038625,0.961375,0.0338117692880784,1.0958264694882849,0.3301790621191017,309
lung,ours,full,40000,3,1,0.7851904403036543,0.1641176443683052,0.038625,0.96125,0.0347769942108286,0.9963835045632962,0.0391349498784645,309
lung,ours,full,40000,3,2,0.8011212718654305,0.1971866798153498,0.03875,0.9615,0.0341578493750152,1.1128506271291654,0.3448177722190081,310
lung,ours,full,40000,3,3,0.7800471915768279,0.1607524242677072,0.03875,0.9605,0.034946438820427,0.9781588649735704,0.0003351637588346,310
lung,ours,full,40000,3,4,0.7829208439951341,0.1918316065504091,0.03875,0.961375,0.0342543769952348,1.0312340503740614,0.1371899725891069,310
lung,ours,full,40000,4,0,0.8003933484226299,0.2022967570722702,0.038625,0.9615,0.0339590926904029,1.1059481904113737,0.3617156388979072,309
lung,ours,full,40000,4,1,0.7898508280388249,0.2019975341133793,0.038625,0.961125,0.03398176507149,1.0847951479645062,0.3086674166067133,309
lung,ours,full,40000,4,2,0.7708077100549519,0.1474368488387347,0.03875,0.96,0.0354113458646193,0.9012053793970158,-0.2269335588701463,310
lung,ours,full,40000,4,3,0.8051315071940938,0.2216114108328001,0.03875,0.961125,0.0337310811325832,1.1528362952012965,0.4625838736780822,310
