cohort,target,kappa,feature_set,seed,fold,auprc
ovarian,ancestors,0.0,full,0,0,0.18449056577184292
ovarian,global,0.0,full,0,0,0.18449056577184292
ovarian,ancestors,200.0,full,0,0,0.1882764724478873
ovarian,global,200.0,full,0,0,0.19126471913574986
ovarian,ancestors,500.0,full,0,0,0.1943939373364953
ovarian,global,500.0,full,0,0,0.20023193786530705
ovarian,ancestors,1000.0,full,0,0,0.20184494365467942
ovarian,global,1000.0,full,0,0,0.20903665653965678
ovarian,ancestors,2000.0,full,0,0,0.20887523582990247
ovarian,global,2000.0,full,0,0,0.2100778080205085
ovarian,ancestors,5000.0,full,0,0,0.18854449546573504
ovarian,global,5000.0,full,0,0,0.1614497793703114
ovarian,ancestors,10000.0,full,0,0,0.13493419186580796
ovarian,global,10000.0,full,0,0,0.10823800050287186
ovarian,ancestors,50000.0,full,0,0,0.0804257778464843
ovarian,global,50000.0,full,0,0,0.08552640508797393
ovarian,ancestors,1000000.0,full,0,0,0.085695040122875
ovarian,global,1000000.0,full,0,0,0.08612038277981693
ovarian,ancestors,0.0,full,0,1,0.13622922440330307
ovarian,global,0.0,full,0,1,0.13622922440330307
ovarian,ancestors,200.0,full,0,1,0.13940296539679384
ovarian,global,200.0,full,0,1,0.14188024913790115
ovarian,ancestors,500.0,full,0,1,0.14366823112712818
ovarian,global,500.0,full,0,1,0.14943761270141057
ovarian,ancestors,1000.0,full,0,1,0.15126617363854114
ovarian,global,1000.0,full,0,1,0.15916072425587713
ovarian,ancestors,2000.0,full,0,1,0.16015581902115192
ovarian,global,2000.0,full,0,1,0.1679471253258895
ovarian,ancestors,5000.0,full,0,1,0.1559411318401502
ovarian,global,5000.0,full,0,1,0.14762842141412286
ovarian,ancestors,10000.0,full,0,1,0.12288509540683726
ovarian,global,10000.0,full,0,1,0.10704761037292486
ovarian,ancestors,50000.0,full,0,1,0.08359470784281753
ovarian,global,50000.0,full,0,1,0.08552704015513068
ovarian,ancestors,1000000.0,full,0,1,0.08137219002090308
ovarian,global,1000000.0,full,0,1,0.08434513702383076
ovarian,ancestors,0.0,full,0,2,0.20874397439784906
ovarian,global,0.0,full,0,2,0.20874397439784906
ovarian,ancestors,200.0,full,0,2,0.21410684223693954
ovarian,global,200.0,full,0,2,0.2197507233982481
ovarian,ancestors,500.0,full,0,2,0.2218610272967287
ovarian,global,500.0,full,0,2,0.22946384846468276
ovarian,ancestors,1000.0,full,0,2,0.22847520473435273
ovarian,global,1000.0,full,0,2,0.24039223819109182
ovarian,ancestors,2000.0,full,0,2,0.23318805818082922
ovarian,global,2000.0,full,0,2,0.24323164995833144
ovarian,ancestors,5000.0,full,0,2,0.2102554885017049
ovarian,global,5000.0,full,0,2,0.19658668550949573
ovarian,ancestors,10000.0,full,0,2,0.15674241342326717
