cohort,target,kappa,feature_set,subsample_n,auprc,auprc_sd
ovarian,ancestors,0.0,full,40000,0.1739407640350203,0.0238785095640398
ovarian,ancestors,200.0,full,40000,0.1780784961322278,0.0244906495281587
ovarian,ancestors,500.0,full,40000,0.1838111546357713,0.0251750404991142
ovarian,ancestors,1000.0,full,40000,0.1912604687919361,0.0255290143919461
ovarian,ancestors,2000.0,full,40000,0.1989493190604137,0.0254383191689304
ovarian,ancestors,5000.0,full,40000,0.1864572384486955,0.0215241652763556
ovarian,ancestors,10000.0,full,40000,0.1424203253050205,0.0150775483803621
ovarian,ancestors,50000.0,full,40000,0.0843335894462815,0.0059027651951724
ovarian,ancestors,1000000.0,full,40000,0.0882965219034995,0.0077042365182041
ovarian,global,0.0,full,40000,0.1739407640350203,0.0238785095640398
ovarian,global,200.0,full,40000,0.1809746289821672,0.025050775389883
ovarian,global,500.0,full,40000,0.1893928433060908,0.0259623317616021
ovarian,global,1000.0,full,40000,0.1988874982381228,0.0272255757148029
ovarian,global,2000.0,full,40000,0.2036935389291435,0.0265178603996862
ovarian,global,5000.0,full,40000,0.167532651566856,0.0201378036376124
ovarian,global,10000.0,full,40000,0.1144411637413784,0.0110843215815517
ovarian,global,50000.0,full,40000,0.0875850912329874,0.0063568631772324
ovarian,global,1000000.0,full,40000,0.08701206243483954,0.006283580340071128
