cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
ovarian,ours,full,40000,0,0,0.8264563848646006,0.2089288779166647,0.02625,0.9735,0.0231276573385975,1.2772016773909274,0.7230221350626244,210
ovarian,ours,full,40000,0,1,0.8358105629928481,0.1605640857642187,0.02625,0.973625,0.0237648869100443,1.223362526045709,0.6338167645924692,210
ovarian,ours,full,40000,0,2,0.8422693929946818,0.2330878200798874,0.02625,0.97375,0.0228909775697583,1.4026330209549005,1.127397815898721,210
ovarian,ours,full,40000,0,3,0.8459456568249892,0.2023708953302372,0.02625,0.973875,0.0232280153928383,1.3022025294323565,0.8175244589416224,210
ovarian,ours,full,40000,0,4,0.8266345356405528,0.2070918344727484,0.026375,0.973875,0.0233074171148599,1.246048092784189,0.6730132465620324,211
ovarian,ours,full,40000,1,0,0.8613701937771258,0.2265142236249784,0.02625,0.97375,0.022922234631598,1.4770691174452293,1.2994582414410552,210
ovarian,ours,full,40000,1,1,0.8309526865945351,0.2044323978774463,0.02625,0.9735,0.0231529040064346,1.264688458593754,0.7136538265508736,210
ovarian,ours,full,40000,1,2,0.8178953481264135,0.1855561326506331,0.02625,0.973625,0.0234395234880385,1.2249221540250348,0.6387423550965834,210
ovarian,ours,full,40000,1,3,0.8208010880860688,0.1532848135207218,0.02625,0.9735,0.023802574653845,1.1672341648189446,0.461762609848956,210
ovarian,ours,full,40000,1,4,0.8326117948571294,0.2049759781100569,0.026375,0.973625,0.0232397796272695,1.2896272110424414,0.765431350561251,211
ovarian,ours,full,40000,2,0,0.8271728100739654,0.1829515628719432,0.02625,0.973875,0.0233795846859645,1.2272497253290355,0.5650141060962508,210
ovarian,ours,full,40000,2,1,0.818399046396479,0.228813154665337,0.02625,0.97375,0.0230491536920363,1.2753638541075676,0.7931986387004903,210
ovarian,ours,full,40000,2,2,0.8527626994315056,0.2322671339149066,0.02625,0.97375,0.0228937209823989,1.4360798747348875,1.241223763844722,210
ovarian,ours,full,40000,2,3,0.8329977382480592,0.1958160092823488,0.02625,0.97375,0.0232636630729707,1.2652726153298928,0.7027170956720071,210
ovarian,ours,full,40000,2,4,0.8189818671245571,0.1612222701809562,0.026375,0.973375,0.0239042519841035,1.177075897714566,0.4914054154939984,211
ovarian,ours,full,40000,3,0,0.8191402286203313,0.2150941930181156,0.02625,0.973625,0.0232248485548444,1.280481632115313,0.769629516189055,210
ovarian,ours,full,40000,3,1,0.8204126169081241,0.1703098670078923,0.02625,0.97375,0.0235833706648696,1.1737252202283903,0.4648150546207267,210
ovarian,ours,full,40000,3,2,0.857057888623999,0.2024905578140698,0.02625,0.973625,0.0231961805290397,1.375394426538222,1.0243098203552032,210
ovarian,ours,full,40000,3,3,0.8148193654868878,0.1832383306818698,0.02625,0.973625,0.0234487045348446,1.2030658558139549,0.5595332824802688,210
ovarian,ours,full,40000,3,4,0.849677726335414,0.2423718820895238,0.026375,0.973375,0.0228926600666714,1.404180138027368,1.1195974820404269,211
ovarian,ours,full,40000,4,0,0.8031664527171587,0.1753640430429143,0.02625,0.973625,0.0235403476102908,1.145584811617978,0.3913059777953339,210
ovarian,ours,full,40000,4,1,0.8438150253682988,0.2389181103570643,0.02625,0.973375,0.0230667144955025,1.4274201695913549,1.2105496877794029,210
ovarian,ours,full,40000,4,2,0.8388929641176112,0.2041122339080086,0.02625,0.973875,0.0231273301930901,1.2909897645837238,0.8061882196771621,210
ovarian,ours,full,40000,4,3,0.8264450761048964,0.1644342315109758,0.02625,0.973625,0.0236387433357952,1.202127227500254,0.540556961964937,210
ovarian,ours,full,40000,4,4,0.8491857821122145,0.2050858738299458,0.026375,0.973625,0.0232870978458117,1.3485075237419402,0.9358614733666464,211
ovarian,ours,full,40000,5,0,0.8211143712940888,0.1935825929859579,0.02625,0.973625,0.023339540008459,1.244459840469657,0.6959429416688192,210
ovarian,ours,full,40000,5,1,0.8095302280090472,0.1756899544114127,0.02625,0.97375,0.0235506311493195,1.165458539884283,0.4301635856859235,210
ovarian,ours,full,40000,5,2,0.8478745644599301,0.1691253165351731,0.02625,0.973625,0.0236224085217188,1.2918650427110947,0.8517764507281689,210
ovarian,ours,full,40000,5,3,0.8458096460663856,0.2236939811742537,0.02625,0.973875,0.0229509268363166,1.3643811197450422,0.969888269532295,210
ovarian,ours,full,40000,5,4,0.8449018819224341,0.2399315705985044,0.026375,0.9735,0.0229860223520568,1.400291973680123,1.1054864606574522,211
ovarian,ours,full,40000,6,0,0.8236661776392199,0.1833887068593744,0.02625,0.973875,0.0233765865896613,1.210220528149813,0.5323576062031884,210
ovarian,ours,full,40000,6,1,0.8387483953786906,0.2185029676636318,0.02625,0.97375,0.0230840687437219,1.3544021111765037,0.9732253970732776,210
ovarian,ours,full,40000,6,2,0.8310721926768139,0.1859678366550915,0.02625,0.97375,0.0234195398597519,1.255045729924703,0.7329497506886753,210
ovarian,ours,full,40000,6,3,0.8246347576257718,0.200871243390185,0.02625,0.9735,0.0232999296855868,1.2681426832151932,0.7548493023097467,210
ovarian,ours,full,40000,6,4,0.8375424936978204,0.1860163169239099,0.026375,0.97325,0.0234145062727296,1.248959312526354,0.6535749544510344,211
ovarian,ours,full,40000,7,0,0.8394434256372638,0.2209348944033262,0.02625,0.9735,0.0230299847513425,1.3301479184988072,0.9093994945542786,210
ovarian,ours,full,40000,7,1,0.8472287425881777,0.2242261749504397,0.02625,0.973625,0.022935442756155,1.3290727584582325,0.8691674086193867,210
ovarian,ours,full,40000,7,2,0.837650834403081,0.1688338577764505,0.02625,0.97375,0.0236114578528224,1.2904726529277322,0.8316909103904262,210
ovarian,ours,full,40000,7,3,0.8416645271715875,0.2167194866022462,0.02625,0.97375,0.0230237653358968,1.3495568714237396,0.991297393175562,210
ovarian,ours,full,40000,7,4,0.8105184185499176,0.166316149501412,0.026375,0.97375,0.0237411670846887,1.1659370940978155,0.406773181589076,211
ovarian,ours,full,40000,8,0,0.8235020478024329,0.1785670828512219,0.02625,0.973625,0.0234753849064067,1.1821345178085667,0.4202277603070763,210
ovarian,ours,full,40000,8,1,0.828708356256495,0.1833817047551243,0.02625,0.97375,0.0234907687883045,1.2374776709210826,0.6808185819258069,210
ovarian,ours,full,40000,8,2,0.8541460358212605,0.2237819425986821,0.02625,0.9735,0.0229960201075684,1.44640625791691,1.242533258469707,210
ovarian,ours,full,40000,8,3,0.8010624121278807,0.2012795402878441,0.02625,0.973625,0.0232800819126664,1.184414773934303,0.5440062116130091,210
ovarian,ours,full,40000,8,4,0.8384183795472897,0.193016238013765,0.026375,0.9735,0.0234153833334098,1.2794181765176904,0.7401434566029759,211
