cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
prostate,full,40000,30,23,23,0.08825448380120601
prostate,full,40000,33,23,23,0.2062419071765289
prostate,full,40000,35,33,33,0.06325045542241244
prostate,full,40000,36,35,35,0.012363144078037588
prostate,full,40000,36,33,33,0.13616147576156384
prostate,full,40000,36,33,33,0.10127660822033795
prostate,full,40000,38,36,36,0.11633730405288084
prostate,full,40000,38,36,36,0.04283981643779493
prostate,full,40000,38,36,36,0.04369113693944279
prostate,full,40000,38,35,35,0.12920636733520885
prostate,full,40000,39,38,38,0.023416190465478864
prostate,full,40000,39,36,36,0.12423797283388163
prostate,full,40000,39,38,38,0.01590512372410146
prostate,full,40000,39,38,38,0.010664302238556697
prostate,full,40000,39,36,36,0.09938046195002921
prostate,full,40000,39,36,36,0.062339491391855004
prostate,full,40000,41,30,30,0.03621714975383163
prostate,full,40000,41,23,23,0.0950068641550969
prostate,full,40000,42,30,30,0.03913331659980205
prostate,full,40000,42,23,23,0.0880223881779547
prostate,full,40000,42,41,41,0.012969404213354536
prostate,full,40000,42,30,30,0.02226064313978154
prostate,full,40000,42,39,39,0.04002853936626709
prostate,full,40000,42,39,39,0.042296446390981735
prostate,full,40000,42,39,39,0.12155310855243592
prostate,full,40000,43,41,41,0.0026418045949663815
prostate,full,40000,43,42,42,0.004600450025087923
prostate,full,40000,44,42,42,0.013703705995054891
prostate,full,40000,44,41,41,0.020717143628852012
prostate,full,40000,44,43,43,0.003463796418992493
prostate,full,40000,45,44,44,0.053632813510669224
prostate,full,40000,47,43,43,0.09307252567429462
prostate,full,40000,47,42,42,0.011561008256875097
prostate,full,40000,48,45,45,0.004284088338579553
prostate,full,40000,48,47,47,0.011026378548785128
prostate,full,40000,48,42,42,0.021540962371561938
prostate,full,40000,48,42,42,0.09422847352623571
prostate,full,40000,48,41,41,0.022664436350561066
prostate,full,40000,49,48,48,0.049380448994063124
prostate,full,40000,49,42,42,0.0647495412615615
prostate,full,40000,49,30,30,0.16710325894365582
prostate,full,40000,50,49,49,0.007185073442856357
prostate,full,40000,50,45,45,0.008781824653699005
prostate,full,40000,50,43,43,0.10547947317354694
prostate,full,40000,54,43,43,0.14526494173394716
prostate,full,40000,54,42,42,0.14413266034902786
prostate,full,40000,54,33,33,0.07729379983454861
prostate,full,40000,55,42,42,0.14609114066587706
prostate,full,40000,55,33,33,0.14825343170031585
prostate,full,40000,56,44,44,0.18436884881875865
prostate,full,40000,56,43,43,0.17345188805248302
prostate,full,40000,58,47,47,0.05372850650194279
prostate,full,40000,59,48,48,0.02468151359615893
prostate,full,40000,59,44,44,0.023868735699843994
prostate,full,40000,59,44,44,0.10234394825851599
prostate,full,40000,59,23,23,0.22952440343664032
prostate,full,40000,59,47,47,0.1350542677019443
prostate,full,40000,59,33,33,0.14736515253539884
prostate,full,40000,60,30,30,0.15184345112144154
prostate,full,40000,61,50,50,0.012436921750300124
prostate,full,40000,61,48,48,0.015419472185013619
prostate,full,40000,61,44,44,0.10828475282204271
