cohort,target,kappa,feature_set,seed,fold,auprc
prostate,ancestors,0.0,full,0,0,0.2372859042145467
prostate,global,0.0,full,0,0,0.2372859042145467
prostate,ancestors,200.0,full,0,0,0.23766240529537033
prostate,global,200.0,full,0,0,0.23801214746817115
prostate,ancestors,500.0,full,0,0,0.2381244139746079
prostate,global,500.0,full,0,0,0.23867074145626432
prostate,ancestors,1000.0,full,0,0,0.23871764650986765
prostate,global,1000.0,full,0,0,0.2395319536994095
prostate,ancestors,2000.0,full,0,0,0.23980770014406116
prostate,global,2000.0,full,0,0,0.2404364996236335
prostate,ancestors,5000.0,full,0,0,0.24222251612588366
prostate,global,5000.0,full,0,0,0.2402516676611813
prostate,ancestors,10000.0,full,0,0,0.24412621154145217
prostate,global,10000.0,full,0,0,0.2372844841947858
prostate,ancestors,50000.0,full,0,0,0.23759991391712942
prostate,global,50000.0,full,0,0,0.22286697682660472
prostate,ancestors,1000000.0,full,0,0,0.21049043138092782
prostate,global,1000000.0,full,0,0,0.21107439401009429
prostate,ancestors,0.0,full,0,1,0.24111820828982075
prostate,global,0.0,full,0,1,0.24111820828982075
prostate,ancestors,200.0,full,0,1,0.2415048373510352
prostate,global,200.0,full,0,1,0.24159301409086936
prostate,ancestors,500.0,full,0,1,0.2408417871286237
prostate,global,500.0,full,0,1,0.24143122002633882
prostate,ancestors,1000.0,full,0,1,0.24167235246121405
prostate,global,1000.0,full,0,1,0.24289003952398863
prostate,ancestors,2000.0,full,0,1,0.24369338957367523
prostate,global,2000.0,full,0,1,0.24403357556139432
prostate,ancestors,5000.0,full,0,1,0.24734218384626902
prostate,global,5000.0,full,0,1,0.2454584614022698
prostate,ancestors,10000.0,full,0,1,0.251168118669218
prostate,global,10000.0,full,0,1,0.24494447997898716
prostate,ancestors,50000.0,full,0,1,0.25029793951449364
prostate,global,50000.0,full,0,1,0.2326793707772718
prostate,ancestors,1000000.0,full,0,1,0.2221407810671755
prostate,global,1000000.0,full,0,1,0.2218195618133718
prostate,ancestors,0.0,full,0,2,0.23774274308447124
prostate,global,0.0,full,0,2,0.23774274308447124
prostate,ancestors,200.0,full,0,2,0.23804458336650014
prostate,global,200.0,full,0,2,0.2383298634281415
prostate,ancestors,500.0,full,0,2,0.23878101403430088
prostate,global,500.0,full,0,2,0.23905282469029385
prostate,ancestors,1000.0,full,0,2,0.2394910081997714
prostate,global,1000.0,full,0,2,0.24016383483395512
prostate,ancestors,2000.0,full,0,2,0.2405733646330241
prostate,global,2000.0,full,0,2,0.24070469199898167
prostate,ancestors,5000.0,full,0,2,0.2416886881921656
prostate,global,5000.0,full,0,2,0.2386424203493091
prostate,ancestors,10000.0,full,0,2,0.24106490044557705
prostate,global,10000.0,full,0,2,0.23484694775405499
prostate,ancestors,50000.0,full,0,2,0.2328246505727404
prostate,global,50000.0,full,0,2,0.21654864187226497
prostate,ancestors,1000000.0,full,0,2,0.2078481353299067
prostate,global,1000000.0,full,0,2,0.20398465626991252
prostate,ancestors,0.0,full,0,3,0.21828274642485038
prostate,global,0.0,full,0,3,0.21828274642485038
prostate,ancestors,200.0,full,0,3,0.21835463726306856
prostate,global,200.0,full,0,3,0.21873418977410225
prostate,ancestors,500.0,full,0,3,0.2185808572323254
prostate,global,500.0,full,0,3,0.21949320307502648
prostate,ancestors,1000.0,full,0,3,0.21951497718103885
prostate,global,1000.0,full,0,3,0.22064210238779766
prostate,ancestors,2000.0,full,0,3,0.21901414768947536
prostate,global,2000.0,full,0,3,0.22195515791728831
prostate,ancestors,5000.0,full,0,3,0.2210932091468914
prostate,global,5000.0,full,0,3,0.22328530175796907
prostate,ancestors,10000.0,full,0,3,0.2222065328537642
prostate,global,10000.0,full,0,3,0.22215532413254707
prostate,ancestors,50000.0,full,0,3,0.2151500577973622
prostate,global,50000.0,full,0,3,0.21174373702530525
prostate,ancestors,1000000.0,full,0,3,0.18965683837040875
prostate,global,1000000.0,full,0,3,0.20432048399443095
prostate,ancestors,0.0,full,0,4,0.21347928657129817
prostate,global,0.0,full,0,4,0.21347928657129817
prostate,ancestors,200.0,full,0,4,0.2137801134283217
prostate,global,200.0,full,0,4,0.21351512112821586
prostate,ancestors,500.0,full,0,4,0.2140117553297007
prostate,global,500.0,full,0,4,0.21322588134879847
prostate,ancestors,1000.0,full,0,4,0.21455999966775977
prostate,global,1000.0,full,0,4,0.2125384531251644
prostate,ancestors,2000.0,full,0,4,0.21527792687246225
prostate,global,2000.0,full,0,4,0.21205715022385604
prostate,ancestors,5000.0,full,0,4,0.21641298694711325
prostate,global,5000.0,full,0,4,0.20809979748063626
prostate,ancestors,10000.0,full,0,4,0.21711075316629824
prostate,global,10000.0,full,0,4,0.20293986720754803
prostate,ancestors,50000.0,full,0,4,0.20553796918903786
prostate,global,50000.0,full,0,4,0.1853843641838081
prostate,ancestors,1000000.0,full,0,4,0.17297441706035513
prostate,global,1000000.0,full,0,4,0.17388001648193369
prostate,ancestors,0.0,full,1,0,0.23927392419347365
prostate,global,0.0,full,1,0,0.23927392419347365
prostate,ancestors,200.0,full,1,0,0.23937369837585268
prostate,global,200.0,full,1,0,0.23955878332230432
prostate,ancestors,500.0,full,1,0,0.2397386254891779
prostate,global,500.0,full,1,0,0.24002474559950618
prostate,ancestors,1000.0,full,1,0,0.23993785266332704
prostate,global,1000.0,full,1,0,0.24043080426923133
prostate,ancestors,2000.0,full,1,0,0.2407419220882325
prostate,global,2000.0,full,1,0,0.24106783901280537
prostate,ancestors,5000.0,full,1,0,0.24217753933638653
prostate,global,5000.0,full,1,0,0.24092757336578646
prostate,ancestors,10000.0,full,1,0,0.2430378723714913
prostate,global,10000.0,full,1,0,0.23858386382989985
prostate,ancestors,50000.0,full,1,0,0.2368640383368867
prostate,global,50000.0,full,1,0,0.22707708184984257
prostate,ancestors,1000000.0,full,1,0,0.20881478705728684
prostate,global,1000000.0,full,1,0,0.21604105273363425
prostate,ancestors,0.0,full,1,1,0.21435691120459033
prostate,global,0.0,full,1,1,0.21435691120459033
prostate,ancestors,200.0,full,1,1,0.21453856525279458
prostate,global,200.0,full,1,1,0.21472593169224155
prostate,ancestors,500.0,full,1,1,0.21484309518372338
prostate,global,500.0,full,1,1,0.2154736413424173
prostate,ancestors,1000.0,full,1,1,0.21522815805277193
prostate,global,1000.0,full,1,1,0.21637102338919656
prostate,ancestors,2000.0,full,1,1,0.21607763725550716
prostate,global,2000.0,full,1,1,0.21767763533092852
prostate,ancestors,5000.0,full,1,1,0.2174877745180291
prostate,global,5000.0,full,1,1,0.21835650034568843
prostate,ancestors,10000.0,full,1,1,0.21839089293540134
prostate,global,10000.0,full,1,1,0.21649876736029897
prostate,ancestors,50000.0,full,1,1,0.21239394085990587
prostate,global,50000.0,full,1,1,0.20512529973660854
prostate,ancestors,1000000.0,full,1,1,0.1896090467253902
prostate,global,1000000.0,full,1,1,0.1949099280439333
prostate,ancestors,0.0,full,1,2,0.23959351072368587
prostate,global,0.0,full,1,2,0.23959351072368587
prostate,ancestors,200.0,full,1,2,0.2399741065354017
prostate,global,200.0,full,1,2,0.24033588791684482
prostate,ancestors,500.0,full,1,2,0.2404408368778951
prostate,global,500.0,full,1,2,0.24125655057957798
prostate,ancestors,1000.0,full,1,2,0.24121654194332057
prostate,global,1000.0,full,1,2,0.2421740579210686
prostate,ancestors,2000.0,full,1,2,0.24191318574710058
prostate,global,2000.0,full,1,2,0.24219972872016995
prostate,ancestors,5000.0,full,1,2,0.24367916543341442
prostate,global,5000.0,full,1,2,0.2403315254174826
prostate,ancestors,10000.0,full,1,2,0.24482834257378933
prostate,global,10000.0,full,1,2,0.235116502573537
prostate,ancestors,50000.0,full,1,2,0.2336430862415029
prostate,global,50000.0,full,1,2,0.219764001346319
prostate,ancestors,1000000.0,full,1,2,0.20728937328629463
prostate,global,1000000.0,full,1,2,0.20867864776664474
prostate,ancestors,0.0,full,1,3,0.23291987961465568
prostate,global,0.0,full,1,3,0.23291987961465568
prostate,ancestors,200.0,full,1,3,0.23342124211212673
prostate,global,200.0,full,1,3,0.23317991298453494
prostate,ancestors,500.0,full,1,3,0.23395165853412436
prostate,global,500.0,full,1,3,0.23370259849714775
prostate,ancestors,1000.0,full,1,3,0.23455221156627487
prostate,global,1000.0,full,1,3,0.23385652328498407
prostate,ancestors,2000.0,full,1,3,0.23543052510527965
prostate,global,2000.0,full,1,3,0.23386529009842152
prostate,ancestors,5000.0,full,1,3,0.23771529815038678
prostate,global,5000.0,full,1,3,0.23114176076098555
prostate,ancestors,10000.0,full,1,3,0.2375267214548822
prostate,global,10000.0,full,1,3,0.2250795625623389
prostate,ancestors,50000.0,full,1,3,0.22662389506321629
prostate,global,50000.0,full,1,3,0.20203171809487658
prostate,ancestors,1000000.0,full,1,3,0.19359827235300806
prostate,global,1000000.0,full,1,3,0.18691493537449477
prostate,ancestors,0.0,full,1,4,0.2290360641789871
prostate,global,0.0,full,1,4,0.2290360641789871
prostate,ancestors,200.0,full,1,4,0.22947143143676432
prostate,global,200.0,full,1,4,0.2288544372591096
prostate,ancestors,500.0,full,1,4,0.22998093346059245
prostate,global,500.0,full,1,4,0.22894832980628146
prostate,ancestors,1000.0,full,1,4,0.23026425144062523
prostate,global,1000.0,full,1,4,0.22897639811855208
prostate,ancestors,2000.0,full,1,4,0.23117588877634263
prostate,global,2000.0,full,1,4,0.22871002760527448
prostate,ancestors,5000.0,full,1,4,0.23314112282112
prostate,global,5000.0,full,1,4,0.22695514764648647
prostate,ancestors,10000.0,full,1,4,0.2345128237725786
prostate,global,10000.0,full,1,4,0.22422763358283268
prostate,ancestors,50000.0,full,1,4,0.22671816049003934
prostate,global,50000.0,full,1,4,0.21017017771709437
prostate,ancestors,1000000.0,full,1,4,0.19974933090622304
prostate,global,1000000.0,full,1,4,0.199956367027518
prostate,ancestors,0.0,full,2,0,0.21498783611035127
prostate,global,0.0,full,2,0,0.21498783611035127
prostate,ancestors,200.0,full,2,0,0.2152338591593775
prostate,global,200.0,full,2,0,0.21466323075409113
prostate,ancestors,500.0,full,2,0,0.21533577843103202
prostate,global,500.0,full,2,0,0.21456751389254317
prostate,ancestors,1000.0,full,2,0,0.21615584384145767
prostate,global,1000.0,full,2,0,0.213789077041414
prostate,ancestors,2000.0,full,2,0,0.2166088405214787
prostate,global,2000.0,full,2,0,0.21242689862360142
prostate,ancestors,5000.0,full,2,0,0.21774294425797058
prostate,global,5000.0,full,2,0,0.20862038082406217
prostate,ancestors,10000.0,full,2,0,0.2187134317947783
prostate,global,10000.0,full,2,0,0.20280807847802318
prostate,ancestors,50000.0,full,2,0,0.2070827403905137
prostate,global,50000.0,full,2,0,0.18541715404215794
prostate,ancestors,1000000.0,full,2,0,0.18168087331630506
prostate,global,1000000.0,full,2,0,0.1721858119086701
prostate,ancestors,0.0,full,2,1,0.22327080609709704
prostate,global,0.0,full,2,1,0.22327080609709704
prostate,ancestors,200.0,full,2,1,0.2235476976921114
prostate,global,200.0,full,2,1,0.22382066554279462
prostate,ancestors,500.0,full,2,1,0.22385367788322197
prostate,global,500.0,full,2,1,0.22456679554151418
prostate,ancestors,1000.0,full,2,1,0.22458773740404572
prostate,global,1000.0,full,2,1,0.2253369745854092
prostate,ancestors,2000.0,full,2,1,0.2253807336351765
prostate,global,2000.0,full,2,1,0.22638056193108325
prostate,ancestors,5000.0,full,2,1,0.2276270371918154
prostate,global,5000.0,full,2,1,0.22734200166972568
prostate,ancestors,10000.0,full,2,1,0.22928467077353065
