cohort,target,kappa,feature_set,subsample_n,auprc,auprc_sd
prostate,ancestors,0.0,full,40000,0.2301056240514488,0.0110420417243887
prostate,ancestors,200.0,full,40000,0.2304241734102014,0.0110721912811392
prostate,ancestors,500.0,full,40000,0.2307666640941109,0.0110752664194209
prostate,ancestors,1000.0,full,40000,0.2313728749280508,0.0110564829417315
prostate,ancestors,2000.0,full,40000,0.2322248169747873,0.011242997907855
prostate,ancestors,5000.0,full,40000,0.2341004217537255,0.0113309834768727
prostate,ancestors,10000.0,full,40000,0.235269688743117,0.0114781295888916
prostate,ancestors,50000.0,full,40000,0.2274337949732806,0.0124393388906514
prostate,ancestors,1000000.0,full,40000,0.2002336686395449,0.0128273310778279
prostate,global,0.0,full,40000,0.2301056240514488,0.0110420417243887
prostate,global,200.0,full,40000,0.2304972843214529,0.011184347738027
prostate,global,500.0,full,40000,0.2309940269199162,0.0112821185310305
prostate,global,1000.0,full,40000,0.2316073619170102,0.0116311955280389
prostate,global,2000.0,full,40000,0.2320279445829407,0.0118293733542812
prostate,global,5000.0,full,40000,0.231116194487657,0.0124926463168852
prostate,global,10000.0,full,40000,0.228014018479732,0.0133325700829622
prostate,global,50000.0,full,40000,0.2133579994258033,0.0149300765340204
prostate,global,1000000.0,full,40000,0.2020935645986115,0.01558030874191885
