cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
prostate,ours,full,40000,0,0,0.819417366472603,0.2393419118949873,0.051375,0.9485,0.0439401725924959,1.3064810799247903,0.7790159862105818,411
prostate,ours,full,40000,0,1,0.8100822390199157,0.2427582832026422,0.051375,0.948875,0.0438469705328739,1.2761998328815778,0.7185042230723663,411
prostate,ours,full,40000,0,2,0.8085705748395601,0.2400827434018685,0.051375,0.948625,0.043934130998345,1.285148128475477,0.722296030499607,411
prostate,ours,full,40000,0,3,0.8013294950208057,0.219313764065698,0.051375,0.949,0.0444070660385612,1.189863844676723,0.4490335248902218,411
prostate,ours,full,40000,0,4,0.807448430326883,0.2149529931607148,0.0515,0.94825,0.0445051832965459,1.2058897589278916,0.5486525430234471,412
prostate,ours,full,40000,1,0,0.8184776660033297,0.2404374677595337,0.051375,0.9485,0.043829204795927,1.3041620456940342,0.7538721791026756,411
prostate,ours,full,40000,1,1,0.8079208638190952,0.2156440476944436,0.051375,0.94875,0.0444978595145609,1.2085448909079128,0.533110789247873,411
prostate,ours,full,40000,1,2,0.8105413489045966,0.2416162369245614,0.051375,0.948875,0.0437759363002975,1.246980745411275,0.5955228500955309,411
prostate,ours,full,40000,1,3,0.7980057574687913,0.2347811076873356,0.051375,0.9485,0.0441691062529557,1.2438381145151638,0.6572022698649784,411
prostate,ours,full,40000,1,4,0.8137748476132474,0.2305505039015494,0.0515,0.948875,0.0442711868983417,1.27219566011014,0.7065812869348062,412
prostate,ours,full,40000,2,0,0.7853988308728315,0.2162536468885046,0.051375,0.94875,0.0445342355687436,1.1034884021626976,0.2810772996003444,411
prostate,ours,full,40000,2,1,0.8063349790114326,0.2250813520258467,0.051375,0.948625,0.0442827212346762,1.1977209776250732,0.5112981323810813,411
prostate,ours,full,40000,2,2,0.8127309375620175,0.2305594783282417,0.051375,0.9485,0.0441194817248253,1.2836286545064504,0.7161029319899392,411
prostate,ours,full,40000,2,3,0.8029663564148264,0.2327263253505512,0.051375,0.948875,0.0441308963483408,1.2650959603882872,0.6873164635533888,411
prostate,ours,full,40000,2,4,0.8244184097527523,0.2531438042023701,0.0515,0.94875,0.0437215891580965,1.3539679561366234,0.8807747389617236,412
prostate,ours,full,40000,3,0,0.8043779910672351,0.2168093165038942,0.051375,0.948625,0.0444785374061808,1.2194187701132044,0.5599113793804252,411
prostate,ours,full,40000,3,1,0.8207820321319211,0.215621371906425,0.051375,0.9485,0.0443523732554121,1.2547434627927132,0.6550393202542053,411
prostate,ours,full,40000,3,2,0.8280723251959953,0.2358687483118232,0.051375,0.949,0.0439029790827864,1.3223434056387733,0.8069094555768626,411
prostate,ours,full,40000,3,3,0.7930825092920057,0.219379135368479,0.051375,0.94875,0.0445905135674577,1.1858543877014789,0.5079521811466362,411
prostate,ours,full,40000,3,4,0.797238134049163,0.2435731664832785,0.0515,0.948875,0.0438983604638875,1.222576629471486,0.5537919879708477,412
prostate,ours,full,40000,4,0,0.8217225341198475,0.2404935170094973,0.051375,0.949,0.0437277031961284,1.310056642023821,0.7526807080306716,411
prostate,ours,full,40000,4,1,0.8026984888808524,0.2295086775047428,0.051375,0.94875,0.0441621248336749,1.2355990324051058,0.5995656337945755,411
prostate,ours,full,40000,4,2,0.8073008089888073,0.2409369903977428,0.051375,0.949125,0.0439808185289087,1.265093804869618,0.6730479572124949,411
prostate,ours,full,40000,4,3,0.7983916085485491,0.2184079119458038,0.051375,0.94825,0.044541374451726,1.1668021613760675,0.4222608018019043,411
prostate,ours,full,40000,4,4,0.8115837282679347,0.2409763978600829,0.0515,0.94875,0.0441417823830582,1.2502933717764304,0.6862273900345842,412
prostate,ours,full,40000,5,0,0.8046113932991117,0.2139424157040085,0.051375,0.9485,0.0444372580931372,1.172744615579436,0.4446676300525735,411
prostate,ours,full,40000,5,1,0.8017930934099458,0.2203807544652835,0.051375,0.948875,0.0444067845108708,1.1992815884490655,0.5237437047167336,411
prostate,ours,full,40000,5,2,0.8127774256439161,0.2519215176412441,0.051375,0.94875,0.0436983652630159,1.3293319437573137,0.8282143639225152,411
prostate,ours,full,40000,5,3,0.8081571515181243,0.2356469735429221,0.051375,0.948875,0.0439986586103968,1.229177444710979,0.5708568747745082,411
prostate,ours,full,40000,5,4,0.8198127408631921,0.243990696764892,0.0515,0.94875,0.0439863513459482,1.3245088690797078,0.8252974477280169,412
prostate,ours,full,40000,6,0,0.814008878903035,0.2528226355293889,0.051375,0.9495,0.0437646751504638,1.3190542131472025,0.8168373919192039,411
prostate,ours,full,40000,6,1,0.8026726799802121,0.213586987711379,0.051375,0.948875,0.0445667759062845,1.1526887162641115,0.4248790319625778,411
prostate,ours,full,40000,6,2,0.8132512834718197,0.2118745598615676,0.051375,0.94775,0.0446082130285147,1.1859331866656782,0.4668892018293991,411
prostate,ours,full,40000,6,3,0.7918268501695532,0.2236073284404496,0.051375,0.94875,0.0443555301826907,1.176483869746186,0.4569398397282577,411
prostate,ours,full,40000,6,4,0.8153860400427858,0.2675519111593107,0.0515,0.949,0.0435627859903006,1.3669289009371763,0.8971689557694981,412
prostate,ours,full,40000,7,0,0.8030801720636124,0.2468189550888254,0.051375,0.949125,0.0438553323816576,1.265427378587801,0.6733222397019901,411
prostate,ours,full,40000,7,1,0.7976304864352587,0.2193622297841686,0.051375,0.9485,0.0444644345749621,1.1718444232561414,0.4184638768362743,411
prostate,ours,full,40000,7,2,0.8129737977140047,0.2237338518162493,0.051375,0.9485,0.0442324731871681,1.2525947455539104,0.6358129138932379,411
prostate,ours,full,40000,7,3,0.8007309208904296,0.2126419972760778,0.051375,0.948625,0.0445711374269016,1.2011102736414163,0.545028566461471,411
prostate,ours,full,40000,7,4,0.8255409985618579,0.2400230366860639,0.0515,0.948625,0.0439730312754749,1.290656689089319,0.743665207783925,412
prostate,ours,full,40000,8,0,0.8063813067896003,0.2078643112028178,0.051375,0.948875,0.0446462384148938,1.2078187773485038,0.5235850366598713,411
prostate,ours,full,40000,8,1,0.8044435552930849,0.2328854017041145,0.051375,0.94875,0.0440565292099645,1.236520579927919,0.5995736973516687,411
prostate,ours,full,40000,8,2,0.7926889636331751,0.2159641841206653,0.051375,0.949,0.0444843795525654,1.156857487158652,0.4148083555084682,411
prostate,ours,full,40000,8,3,0.8312606060955814,0.2488763729617939,0.051375,0.949,0.043677206516409,1.3081757077120129,0.7600464758496729,411
prostate,ours,full,40000,8,4,0.8156443362283831,0.2554663341218109,0.0515,0.94875,0.0437268265497415,1.3263342783343126,0.8433366939372976,412
prostate,ours,full,40000,9,0,0.8049259092187149,0.2192115086836028,0.051375,0.948625,0.044386557528095,1.2377773232556586,0.6050535399171091,411
prostate,ours,full,40000,9,1,0.8042455801856894,0.2331591591843058,0.051375,0.94825,0.0441555670095708,1.2237169588712768,0.5979392953475774,411
prostate,ours,full,40000,9,2,0.8131551012334091,0.2270290429576145,0.051375,0.94875,0.0441788020543918,1.243920522123492,0.6147528828299839,411
prostate,ours,full,40000,9,3,0.8134210451226147,0.2218461261099594,0.051375,0.948875,0.0442479340845587,1.2493909309486646,0.621677111915575,411
prostate,ours,full,40000,9,4,0.8086617026884555,0.2496410135890336,0.0515,0.949,0.0438018364892907,1.2597896925933352,0.6567764416701883,412
prostate,spsm_global,full,40000,0,0,0.8195170753930888,0.2400513087388083,0.051375,0.948625,0.0439119678992729,1.2930663175261654,0.7553969051431183,411
prostate,spsm_global,full,40000,0,1,0.8090684782270664,0.2430433352953775,0.051375,0.948875,0.0438211800142597,1.2581792340045297,0.6739696461360488,411
prostate,spsm_global,full,40000,0,2,0.8070246056608377,0.2404915201982133,0.051375,0.948625,0.0439114569070706,1.258950150031672,0.6578765281795954,411
prostate,spsm_global,full,40000,0,3,0.8022887525452226,0.2209633423908901,0.051375,0.949125,0.0443677876158957,1.1871034497194866,0.4581296154479798,411
prostate,spsm_global,full,40000,0,4,0.807129518503923,0.2122602976130779,0.0515,0.94825,0.0445525310363533,1.1833545138507406,0.4983139268184924,412
prostate,spsm_global,full,40000,1,0,0.8183122325532634,0.2409096008823144,0.051375,0.94875,0.0438137949888326,1.2915324043528726,0.7288823416730275,411
prostate,spsm_global,full,40000,1,1,0.8077416442481898,0.2171506375136028,0.051375,0.948875,0.0444668090556915,1.1962438238853226,0.5093292503187847,411
prostate,spsm_global,full,40000,1,2,0.8095112371312172,0.2422224120935597,0.051375,0.948875,0.0437405184870522,1.222754719593235,0.5355916805405119,411
prostate,spsm_global,full,40000,1,3,0.7983975397865845,0.2339053037160715,0.051375,0.9485,0.0441809018363663,1.2305533880598414,0.6333974773741584,411
prostate,spsm_global,full,40000,1,4,0.8127320667277408,0.2291775771919416,0.0515,0.948875,0.0442907327367569,1.24946641717413,0.6567843906475331,412
prostate,spsm_global,full,40000,2,0,0.7833507904096049,0.2133485664601327,0.051375,0.94875,0.044606523897715,1.0743655097371572,0.2075686323431181,411
prostate,spsm_global,full,40000,2,1,0.8058665715103721,0.2258466473832417,0.051375,0.94875,0.0442570586634502,1.1827795035426496,0.482662997311759,411
prostate,spsm_global,full,40000,2,2,0.8135170670572948,0.2301999213530876,0.051375,0.9485,0.0440955804189825,1.2680832751857032,0.6821373375816864,411
prostate,spsm_global,full,40000,2,3,0.8035767930212733,0.2347916255790458,0.051375,0.948875,0.0440811682707908,1.256673254927626,0.6739687793664628,411
prostate,spsm_global,full,40000,2,4,0.8246020159577463,0.253951563311933,0.0515,0.948875,0.0437043319057922,1.348477637204465,0.8834389795337545,412
prostate,spsm_global,full,40000,3,0,0.8045023867622462,0.218219726076787,0.051375,0.948625,0.0444384307358405,1.2075955617074292,0.5390165620782753,411
prostate,spsm_global,full,40000,3,1,0.819903247080308,0.2166629309763478,0.051375,0.948625,0.0443442842285509,1.234286310050958,0.6072470363258821,411
prostate,spsm_global,full,40000,3,2,0.8278546327297257,0.2351201083262294,0.051375,0.949,0.0439172536520396,1.305836444621053,0.7766061815626938,411
prostate,spsm_global,full,40000,3,3,0.7928606489287382,0.2199344244593808,0.051375,0.94875,0.0445752765273486,1.16936717818201,0.4723139635085969,411
prostate,spsm_global,full,40000,3,4,0.7971101854742542,0.2426929827111076,0.0515,0.948875,0.0438913109027329,1.2078882057949958,0.5233540199470437,412
prostate,spsm_global,full,40000,4,0,0.8216369319276621,0.2414244896090692,0.051375,0.949125,0.0436997703898246,1.2983260449540046,0.7328751537580803,411
prostate,spsm_global,full,40000,4,1,0.8021457616174519,0.2311230932553974,0.051375,0.948875,0.0441298022099686,1.217956069656712,0.5610947935507591,411
prostate,spsm_global,full,40000,4,2,0.8070266896093367,0.2401227073142186,0.051375,0.949125,0.0439635253163047,1.2471729214649423,0.63140699699681,411
prostate,spsm_global,full,40000,4,3,0.7978382400702259,0.2177662034940968,0.051375,0.94825,0.0445548522679431,1.1481768546281066,0.3810830905249475,411
prostate,spsm_global,full,40000,4,4,0.811393724634195,0.2395630372995106,0.0515,0.94875,0.0441629768398732,1.2374562855322848,0.6637851019076042,412
prostate,spsm_global,full,40000,5,0,0.8033372992476305,0.2129834368603745,0.051375,0.9485,0.0444568477675769,1.1508444129628832,0.3959809497316961,411
prostate,spsm_global,full,40000,5,1,0.8007578519171845,0.2204181303330761,0.051375,0.948875,0.0443970623349624,1.1777908568809523,0.4730616274651933,411
prostate,spsm_global,full,40000,5,2,0.8128348143795012,0.2523542084145245,0.051375,0.94875,0.0436811866201972,1.310430317747213,0.7823330943587764,411
prostate,spsm_global,full,40000,5,3,0.8084793620168005,0.2349052947938764,0.051375,0.94875,0.0440032141068935,1.2184028854511912,0.5550609232407302,411
prostate,spsm_global,full,40000,5,4,0.820195946845044,0.2450477539985278,0.0515,0.948625,0.0439516728217388,1.316003585815672,0.8126028856951804,412
prostate,spsm_global,full,40000,6,0,0.8143240360375611,0.2534962352970766,0.051375,0.9495,0.043714229610553,1.30407576500983,0.7874364386578908,411
prostate,spsm_global,full,40000,6,1,0.801822428992661,0.2124613848928084,0.051375,0.948875,0.0445831449598714,1.137204853726533,0.3884709600429432,411
prostate,spsm_global,full,40000,6,2,0.8127831965782207,0.2105606072545665,0.051375,0.94775,0.0446146224275481,1.1650462812266775,0.4169431129462798,411
prostate,spsm_global,full,40000,6,3,0.7915450362110097,0.2247117968852472,0.051375,0.94875,0.0443290741673112,1.1630897210557027,0.4275128728049409,411
prostate,spsm_global,full,40000,6,4,0.8155770032908374,0.2668562665278893,0.0515,0.949,0.0435738514846101,1.3550319542577964,0.8816208770091377,412
prostate,spsm_global,full,40000,7,0,0.8019509925846701,0.2467167531157841,0.051375,0.94925,0.0438339743378383,1.2406061513962114,0.6103403240741012,411
prostate,spsm_global,full,40000,7,1,0.7980777338438686,0.2187788642017313,0.051375,0.9485,0.0444720675381132,1.1599025931634095,0.3971782671395512,411
prostate,spsm_global,full,40000,7,2,0.8111072210739132,0.2238497094168085,0.051375,0.9485,0.0442387460853668,1.2331610727857794,0.597786092156692,411
prostate,spsm_global,full,40000,7,3,0.8013676473087089,0.2118561299827262,0.051375,0.948625,0.0445704222339311,1.1936434683509507,0.5382084188268927,411
prostate,spsm_global,full,40000,7,4,0.8259795423023578,0.2415160234894061,0.0515,0.94825,0.0439099329746432,1.2791684173357003,0.716975967461136,412
prostate,spsm_global,full,40000,8,0,0.8053951182384288,0.2076550651406298,0.051375,0.94875,0.0446431575423714,1.193263647682182,0.4955256824039142,411
prostate,spsm_global,full,40000,8,1,0.8046509883205908,0.2325128731102797,0.051375,0.94875,0.0440501917221387,1.2180048763278466,0.5573110790721013,411
prostate,spsm_global,full,40000,8,2,0.7919477191824893,0.215176247896192,0.051375,0.948875,0.0445004340025697,1.138762764862574,0.3753144532544592,411
prostate,spsm_global,full,40000,8,3,0.8306113759863089,0.2488579853775566,0.051375,0.94925,0.0436719948587076,1.293326326494645,0.7322491946603279,411
prostate,spsm_global,full,40000,8,4,0.8158244238475671,0.2572731129040441,0.0515,0.948625,0.0436878704540083,1.3150015183459252,0.8251977906392269,412
prostate,spsm_global,full,40000,9,0,0.8055020408267953,0.2205729035046475,0.051375,0.94875,0.0443541299009128,1.228505815757317,0.5854234242730494,411
prostate,spsm_global,full,40000,9,1,0.8018596194581799,0.2293616614123069,0.051375,0.948375,0.044212833835067,1.1921300462464672,0.524423952490198,411
prostate,spsm_global,full,40000,9,2,0.8131034834321286,0.2283394424142051,0.051375,0.94875,0.0441477093163314,1.2348685265077468,0.6029497696120298,411
prostate,spsm_global,full,40000,9,3,0.8132174593846453,0.2209945365990631,0.051375,0.948875,0.0442521491913204,1.231112315205915,0.5790091765528497,411
prostate,spsm_global,full,40000,9,4,0.8095691779559959,0.2525218656670164,0.0515,0.949125,0.0437489914978521,1.252298099858021,0.6460149570550803,412
prostate,pattern_submodels,full,40000,0,0,0.8186693892652286,0.2372859042145467,0.051375,0.9485,0.044021007914342,1.3129100043539728,0.8042218312887668,411
prostate,pattern_submodels,full,40000,0,1,0.8093733759228285,0.2411182082898207,0.051375,0.948875,0.0439357180410832,1.279601977850017,0.7340232233889535,411
prostate,pattern_submodels,full,40000,0,2,0.8078059260441944,0.2377427430844712,0.051375,0.94875,0.0440000823326889,1.2903470693326076,0.7442493156128205,411
prostate,pattern_submodels,full,40000,0,3,0.8010294064369643,0.2182827464248503,0.051375,0.949,0.0444534836854774,1.1978711911659303,0.4763975956732065,411
prostate,pattern_submodels,full,40000,0,4,0.8067894951661029,0.2134792865712981,0.0515,0.948375,0.0445654085382374,1.2118830800484302,0.5707257226992072,412
prostate,pattern_submodels,full,40000,1,0,0.8182862633488924,0.2392739241934736,0.051375,0.948375,0.0438832779521908,1.313497784740155,0.7831661075448151,411
prostate,pattern_submodels,full,40000,1,1,0.8073226102961804,0.2143569112045903,0.051375,0.94875,0.0445563907350472,1.2142134610488666,0.554891198041198,411
prostate,pattern_submodels,full,40000,1,2,0.8100052932291872,0.2395935107236858,0.051375,0.94875,0.0438505476237748,1.25505562126597,0.6243933668755531,411
prostate,pattern_submodels,full,40000,1,3,0.7974017330115717,0.2329198796146556,0.051375,0.9485,0.0442465276426925,1.248505710016946,0.6759532373907841,411
prostate,pattern_submodels,full,40000,1,4,0.8129300671474121,0.2290360641789871,0.0515,0.94875,0.0443408807604715,1.2768952922786472,0.7264149315826074,412
prostate,pattern_submodels,full,40000,2,0,0.7853722204535377,0.2149878361103512,0.051375,0.94875,0.0445921094807225,1.1111355498852606,0.3087389607247182,411
prostate,pattern_submodels,full,40000,2,1,0.8060082800082974,0.223270806097097,0.051375,0.948625,0.044344096555308,1.2030770490218132,0.5317184514480744,411
prostate,pattern_submodels,full,40000,2,2,0.8117800158315964,0.2278744021710019,0.051375,0.9485,0.0441921699248757,1.2890145892574945,0.7379728939556018,411
prostate,pattern_submodels,full,40000,2,3,0.8022360126178272,0.230579406405512,0.051375,0.949,0.0442017206747416,1.268936464331741,0.7040277371156111,411
