cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
lung,xgboost_native,full,40000,0,0,0.7933020943657509,0.4039922218906339,0.038625,0.969375,0.028153242654831274,0.6441842444016834,-0.7794869115714681,309
lung,xgboost_native,full,40000,0,1,0.8038984750384911,0.42016552668202606,0.038625,0.970875,0.02725867055919406,0.6697492399943212,-0.6281850663096579,309
lung,xgboost_native,full,40000,0,2,0.7821972398171064,0.31180872003236004,0.03875,0.96675,0.03129520396496795,0.5892791399823849,-0.8086783282280057,310
lung,xgboost_native,full,40000,0,3,0.7827280926213348,0.3440173172131903,0.03875,0.96775,0.029855529175750618,0.609541636365644,-0.7594712722949082,310
lung,xgboost_native,full,40000,0,4,0.7852565124376023,0.3285107874182548,0.03875,0.96625,0.031032280394724943,0.6140311604317463,-0.8038277787160615,310
lung,xgboost_native,full,40000,1,0,0.7997590172853657,0.3886905594851275,0.038625,0.970375,0.02818223643718127,0.650914649702209,-0.7181483557275673,309
lung,xgboost_native,full,40000,1,1,0.788177161638514,0.38235707678951075,0.038625,0.969375,0.028869292392604367,0.6054112031777866,-0.8659389431986465,309
lung,xgboost_native,full,40000,1,2,0.7935284617643358,0.35133835013955317,0.03875,0.967875,0.029950863082906978,0.6375048656179472,-0.694836544291244,310
lung,xgboost_native,full,40000,1,3,0.7794613868031377,0.3392596518715263,0.03875,0.967875,0.0301438882734451,0.5986093870231168,-0.8262018787933103,310
lung,xgboost_native,full,40000,1,4,0.7807594697764169,0.356889958207428,0.03875,0.96775,0.029857388289572944,0.6028386190170149,-0.8478384935734815,310
lung,xgboost_native,full,40000,2,0,0.7824044327017794,0.34967322158887626,0.038625,0.968,0.030014280515802447,0.602335261900689,-0.8437094790761099,309
lung,xgboost_native,full,40000,2,1,0.7913429263557328,0.33779711287075936,0.038625,0.967,0.030306575268121513,0.6272015050083486,-0.7308615085468798,309
lung,xgboost_native,full,40000,2,2,0.7844563530349427,0.3613173242407641,0.03875,0.968875,0.02943501392698856,0.6328358393233771,-0.7449733990884009,310
lung,xgboost_native,full,40000,2,3,0.8049179915264902,0.38735537079031856,0.03875,0.969125,0.02870390605876294,0.6290551854596618,-0.8063678466794274,310
lung,xgboost_native,full,40000,2,4,0.7830913628927387,0.35424723336175784,0.03875,0.967875,0.029966469471329107,0.6066410813294273,-0.7647102836589472,310
lung,xgboost_native,full,40000,3,0,0.7866446681049047,0.3441745639037837,0.038625,0.968125,0.029968456248886378,0.611850371547072,-0.7722880910555608,309
lung,xgboost_native,full,40000,3,1,0.7891664236641911,0.3549290207805661,0.038625,0.967875,0.02987848086310071,0.6135097777031739,-0.795219844835016,309
lung,xgboost_native,full,40000,3,2,0.7973174210327614,0.4168496182770103,0.03875,0.970875,0.027682822226138257,0.6877772284013662,-0.6292218838535346,310
lung,xgboost_native,full,40000,3,3,0.7857875749821721,0.34874567362504066,0.03875,0.968,0.030156006790172576,0.599208823342192,-0.8399502461323396,310
lung,xgboost_native,full,40000,3,4,0.7859264230882168,0.35352580192333327,0.03875,0.967375,0.030162774739525895,0.591129695706564,-0.8678219040767758,310
lung,xgboost_native,full,40000,4,0,0.8139602502651988,0.36975497357345954,0.038625,0.968625,0.029273745845588225,0.6488433204619692,-0.6671663563271552,309
lung,xgboost_native,full,40000,4,1,0.8052807488599922,0.3843575504182241,0.038625,0.968375,0.029120939063352044,0.6533341221928475,-0.6666300165220523,309
lung,xgboost_native,full,40000,4,2,0.7863610050757163,0.3740854635555811,0.03875,0.968625,0.02905622690512517,0.6375763701975582,-0.6956381162462342,310
lung,xgboost_native,full,40000,4,3,0.7883764000167792,0.4000012145536697,0.03875,0.96875,0.028367930627416795,0.6514114752618072,-0.6731239096980953,310
lung,xgboost_native,full,40000,4,4,0.7930546583329837,0.34274207409261226,0.03875,0.967875,0.030179799826065043,0.621469914055794,-0.788129082475307,310
lung,xgboost_native,full,40000,5,0,0.7999054499459084,0.3831035869615849,0.038625,0.968125,0.029264642645366826,0.6002247750091586,-0.9041270857024164,309
lung,xgboost_native,full,40000,5,1,0.7822927146805896,0.34129670319592625,0.038625,0.967,0.030542750982408863,0.5995224094060819,-0.8934778574065966,309
lung,xgboost_native,full,40000,5,2,0.7891883048785604,0.3402042714709819,0.03875,0.96725,0.030232084098744203,0.6360056586510795,-0.6534332193588018,310
lung,xgboost_native,full,40000,5,3,0.7883516506564872,0.3928694984706443,0.03875,0.9695,0.02826906534035957,0.6408596038448461,-0.7191346679378062,310
lung,xgboost_native,full,40000,5,4,0.7776672679223123,0.34680704989194594,0.03875,0.96825,0.029908688272970434,0.6001476995927565,-0.7795883150051388,310
