cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
ovarian,xgboost_native,full,40000,0,0,0.8720270187664283,0.5073949883038695,0.02625,0.983375,0.015986313701033587,0.6279531396959409,-0.6790046450421484,210
ovarian,xgboost_native,full,40000,0,1,0.8751112537441164,0.4951334013423889,0.02625,0.983,0.01621784258962051,0.6089366261385628,-0.7719079363489877,210
ovarian,xgboost_native,full,40000,0,2,0.8905318173482486,0.5226959321609186,0.02625,0.983625,0.015616142110538854,0.6478007397903739,-0.6116744499715926,210
ovarian,xgboost_native,full,40000,0,3,0.8747722965951464,0.4864355698367153,0.02625,0.982625,0.016489616859917428,0.6129509822934681,-0.7011374890771643,210
ovarian,xgboost_native,full,40000,0,4,0.873576115058361,0.5038368350175314,0.026375,0.982625,0.016346879047732223,0.6511365370438711,-0.5295254068166989,211
ovarian,xgboost_native,full,40000,1,0,0.8677660614952014,0.49309087364987014,0.02625,0.9835,0.016103477803862076,0.6491072500543902,-0.5376919140167096,210
ovarian,xgboost_native,full,40000,1,1,0.8615321841188337,0.4584904327758345,0.02625,0.98225,0.017238934516354467,0.6065943652441169,-0.7024666726044358,210
ovarian,xgboost_native,full,40000,1,2,0.8726474723393851,0.5103492589981916,0.02625,0.98325,0.015817617477460744,0.6240121162168285,-0.6857303692914682,210
ovarian,xgboost_native,full,40000,1,3,0.8687218045112782,0.48154017764116336,0.02625,0.982625,0.016429990718349406,0.5860401683895912,-0.730355338315563,210
ovarian,xgboost_native,full,40000,1,4,0.8828755950030394,0.5016579299545807,0.026375,0.983125,0.016105235365248292,0.6100935301348817,-0.8092386453369306,211
ovarian,xgboost_native,full,40000,2,0,0.8865496057216211,0.5075511228299299,0.02625,0.98375,0.01577059871459939,0.6489622202324549,-0.711023124822425,210
ovarian,xgboost_native,full,40000,2,1,0.864279601442631,0.48493404970442305,0.02625,0.98225,0.016654023670400066,0.5891489949893071,-0.6871512122637731,210
ovarian,xgboost_native,full,40000,2,2,0.8887428938199156,0.5263480558403401,0.02625,0.984875,0.015043813973798628,0.6912618190399715,-0.5036136561150508,210
ovarian,xgboost_native,full,40000,2,3,0.8725521119872853,0.4861586603988696,0.02625,0.983875,0.015896947418029987,0.5951562014273014,-0.8358034869013021,210
ovarian,xgboost_native,full,40000,2,4,0.8449794612526232,0.4258595591830473,0.026375,0.981125,0.018033535815769396,0.5268106451323264,-0.9337747787298991,211
ovarian,xgboost_native,full,40000,3,0,0.8782135216089002,0.47125604436419366,0.02625,0.982125,0.017117689083102287,0.6167521498344511,-0.7136696434424166,210
ovarian,xgboost_native,full,40000,3,1,0.8646598202824133,0.487587625292025,0.02625,0.983625,0.01612893914621724,0.6121466629472636,-0.6607106878387563,210
