cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
prostate,xgboost_native,full,40000,0,0,0.8254306800180438,0.47906987573469634,0.051375,0.96175,0.034445195525795766,0.7023117530988296,-0.4790011504276426,411
prostate,xgboost_native,full,40000,0,1,0.819967208268851,0.4371410253251478,0.051375,0.959625,0.036517374538823574,0.6692269702020204,-0.4935489520085638,411
prostate,xgboost_native,full,40000,0,2,0.8332361892725386,0.44310599076594703,0.051375,0.959875,0.03643017570976272,0.6789433028164699,-0.49894196593582657,411
prostate,xgboost_native,full,40000,0,3,0.8206675752682122,0.41382250212140476,0.051375,0.959625,0.03699878920153955,0.6561999466854931,-0.5927943509652198,411
prostate,xgboost_native,full,40000,0,4,0.8363168275406747,0.4644765345557694,0.0515,0.96,0.03574340198309456,0.6982160641408148,-0.5109263023628174,412
prostate,xgboost_native,full,40000,1,0,0.8354995176460743,0.43302891840897817,0.051375,0.958625,0.03682077556336729,0.6721851174274992,-0.5579814639042927,411
prostate,xgboost_native,full,40000,1,1,0.8247509921999411,0.44517994112955056,0.051375,0.959875,0.036091823826013385,0.7019664984833066,-0.450951521625903,411
prostate,xgboost_native,full,40000,1,2,0.8223324898151025,0.45302229199822613,0.051375,0.959375,0.03589884367999973,0.6772200070179181,-0.5137757375156897,411
prostate,xgboost_native,full,40000,1,3,0.8230450398979955,0.4327609584801374,0.051375,0.960125,0.03656075898196836,0.6939561630780566,-0.4294177693653147,411
prostate,xgboost_native,full,40000,1,4,0.8362090308663142,0.459758346801251,0.0515,0.9605,0.03561607922672305,0.6969275813641413,-0.501872748454685,412
prostate,xgboost_native,full,40000,2,0,0.8167128822322228,0.4241640608830047,0.051375,0.95825,0.037319000714349085,0.6702557521471122,-0.5127582533382694,411
prostate,xgboost_native,full,40000,2,1,0.8279912115082688,0.4366223103978118,0.051375,0.959375,0.036558987804177136,0.6696804590994905,-0.5697716508361838,411
prostate,xgboost_native,full,40000,2,2,0.836458775170491,0.470500134956238,0.051375,0.96125,0.034856347592062534,0.7220700770793271,-0.4135717680848811,411
prostate,xgboost_native,full,40000,2,3,0.8224392520997383,0.4394916914136623,0.051375,0.95875,0.0367550710607724,0.6842624160957066,-0.4870685002114945,411
prostate,xgboost_native,full,40000,2,4,0.8241665109959005,0.4298523645890127,0.0515,0.960125,0.036699399549387,0.6659414092839915,-0.582732085244705,412
