method,cohort,slope,intercept,brier,n
histgb_native,colorectal,0.8961484277493722,-0.26770020433493313,0.035834331424346826,50
histgb_native,lung,0.9424241464612905,-0.12154725760291264,0.0348469686913949,50
histgb_native,ovarian,0.8735145143545942,-0.3765747885156182,0.02506320518398508,50
histgb_native,prostate,0.9230657849075037,-0.1754701937341932,0.0465046958178684,50
learnpp_mf,colorectal,0.8386372015122309,-0.4429457194743678,0.03577948339085136,50
learnpp_mf,lung,0.9254097481994258,-0.18592298030354432,0.03500063356845575,50
learnpp_mf,ovarian,0.8957257715432388,-0.308472297375857,0.024745152278297638,50
learnpp_mf,prostate,0.9781514783847328,-0.06540726315880886,0.04634675447356542,50
lightgbm_native,colorectal,0.7870515452801431,-0.4925293509372728,0.03597175243034611,50
lightgbm_native,lung,0.823996565536664,-0.3667122770984602,0.035050379302634244,50
lightgbm_native,ovarian,0.7286392187087369,-0.7014567440230407,0.025128060391369913,50
lightgbm_native,prostate,0.8228178366638089,-0.38795874857780893,0.04660964420999723,50
mask_interaction,colorectal,0.8755694633816675,-0.34584511064046347,0.03555812149588551,50
mask_interaction,lung,0.9982907851602463,-0.004919262025470529,0.03461895918853163,50
mask_interaction,ovarian,0.9267187676019542,-0.23707939071577575,0.024578967882575027,50
mask_interaction,prostate,0.9676416253346551,-0.08511170506680953,0.04617171248640001,50
mean_impute,colorectal,0.8476408657689644,-0.42772440880757023,0.03559392476162472,50
mean_impute,lung,0.9257278039929128,-0.19983230632681462,0.03449591550095465,50
mean_impute,ovarian,0.8709859766661965,-0.41008839491800714,0.0246182369722229,50
mean_impute,prostate,0.9335170402345112,-0.1710065740418936,0.04612162612557049,50
mean_indicator,colorectal,0.7736849624562823,-0.6365727291696505,0.03580350964647462,50
mean_indicator,lung,0.8840139947370893,-0.3126266338414104,0.03468236480173047,50
mean_indicator,ovarian,0.8084811972658276,-0.6082333962768838,0.024793712783520997,50
mean_indicator,prostate,0.8955332188555221,-0.26930543209262137,0.046280439076450575,50
mice_impute_lr,colorectal,0.872212102648368,-0.391812963089854,0.036639622424309105,50
mice_impute_lr,lung,0.928918698929109,-0.2181365686671905,0.03645502878334204,50
mice_impute_lr,ovarian,0.8840609984251315,-0.3730419198058879,0.024789979006947488,50
mice_impute_lr,prostate,0.9317705643125198,-0.18019940702582907,0.04647333658604879,50
ours,colorectal,0.8942101235194009,-0.28750037025722797,0.035662778493217424,50
ours,lung,0.978025747520085,-0.0492197478701208,0.03500043251469987,50
ours,ovarian,0.9317891365241799,-0.18882078356293783,0.024751848424706985,50
ours,prostate,1.0031130699119375,0.00497185528291758,0.046288266064484586,50
pattern_submodels,colorectal,0.8983663604816455,-0.2696737433323504,0.03567497022209245,50
pattern_submodels,lung,0.9845759535453508,-0.018535685915450274,0.03503187526639909,50
pattern_submodels,ovarian,0.9373578347594419,-0.16852290681001977,0.02475427927620734,50
pattern_submodels,prostate,1.0096046111049337,0.021522951429353322,0.046289474982024,50
refe,colorectal,0.8490754926711246,-0.42361281035281984,0.03558930644076918,50
refe,lung,0.9252984779101847,-0.20082087875921822,0.0344952189950467,50
refe,ovarian,0.8706658608932157,-0.41079552376613143,0.024617013996095727,50
refe,prostate,0.9326889465500894,-0.17326908339782107,0.0461198009435724,50
refe_tree,colorectal,0.4011845665698362,-1.797482441066976,0.0377407735979183,50
refe_tree,lung,0.4761038357908168,-1.5098397359864353,0.03723475922079575,50
refe_tree,ovarian,0.42177262324090287,-1.95330468072145,0.025975209213879417,50
refe_tree,prostate,0.5011391227551694,-1.3457322564431595,0.048846775073601634,50
spsm_global,colorectal,0.8822174123019608,-0.3569198952784378,0.03571307582030372,50
spsm_global,lung,0.962704238460065,-0.1419196412709783,0.035034861356905284,50
spsm_global,ovarian,0.9354890912860871,-0.1678544463373828,0.024758348387305965,50
spsm_global,prostate,0.9873459842465876,-0.02086581776943496,0.046315363480271696,50
xgboost_native,colorectal,0.49995205142710036,-1.2218748380283742,0.03726412858690814,50
xgboost_native,lung,0.5386916925843248,-1.024443945769614,0.03640424250398861,50
xgboost_native,ovarian,0.4331644214840022,-1.5552118751894428,0.025858644875323158,50
xgboost_native,prostate,0.4942191164920052,-1.1599473779257967,0.04875635106877251,50
