dataset,arm,permuted,seed,fold,auprc,kappa,n_test
cand_mimic4_regime,mean_impute,0,0,0,0.4132048431662405,956.0,6707
cand_mimic4_regime,mean_indicator,0,0,0,0.44903053575641366,956.0,6707
cand_mimic4_regime,mask_interaction,0,0,0,0.44917697292708997,956.0,6707
cand_mimic4_regime,histgb_native,0,0,0,0.49088200389502523,956.0,6707
cand_mimic4_regime,pattern_submodels,0,0,0,0.42764041950663784,956.0,6707
cand_mimic4_regime,ours,0,0,0,0.4270616490387704,956.0,6707
cand_mimic4_regime,ours_projected,0,0,0,0.4271067213994747,956.0,6707
cand_mimic4_regime,exact_submodels,0,0,0,0.2604972154450999,956.0,6707
cand_mimic4_regime,exact_cv,0,0,0,0.36732589552034606,956.0,6707
cand_mimic4_regime,family_cv,0,0,0,0.42764041950663784,956.0,6707
cand_mimic4_regime,mean_indicator,1,0,0,0.3719928859040644,956.0,6707
cand_mimic4_regime,mask_interaction,1,0,0,0.3729228424865226,956.0,6707
cand_mimic4_regime,ours,1,0,0,0.39906083613878635,956.0,6707
cand_mimic4_regime,exact_submodels,1,0,0,0.24359387904144514,956.0,6707
cand_mimic4_regime,mean_impute,1,0,0,0.3815789831860586,956.0,6707
cand_mimic4_regime,mean_impute,0,0,1,0.38254962297790124,975.5,6706
cand_mimic4_regime,mean_indicator,0,0,1,0.41396561708485174,975.5,6706
cand_mimic4_regime,mask_interaction,0,0,1,0.4139070143224124,975.5,6706
cand_mimic4_regime,histgb_native,0,0,1,0.45828072052823476,975.5,6706
cand_mimic4_regime,pattern_submodels,0,0,1,0.38892381894315753,975.5,6706
cand_mimic4_regime,ours,0,0,1,0.3887221872220661,975.5,6706
cand_mimic4_regime,ours_projected,0,0,1,0.38792940236816237,975.5,6706
cand_mimic4_regime,exact_submodels,0,0,1,0.2202139251743074,975.5,6706
cand_mimic4_regime,exact_cv,0,0,1,0.30663224777177833,975.5,6706
cand_mimic4_regime,family_cv,0,0,1,0.38892381894315753,975.5,6706
cand_mimic4_regime,mean_indicator,1,0,1,0.3581379807873732,975.5,6706
cand_mimic4_regime,mask_interaction,1,0,1,0.35781597686646394,975.5,6706
cand_mimic4_regime,ours,1,0,1,0.3578274706745978,975.5,6706
cand_mimic4_regime,exact_submodels,1,0,1,0.18913749087444526,975.5,6706
cand_mimic4_regime,mean_impute,1,0,1,0.35764185577400226,975.5,6706
cand_mimic4_regime,mean_impute,0,0,2,0.37887137090450645,935.0,6706
cand_mimic4_regime,mean_indicator,0,0,2,0.4137548982072309,935.0,6706
cand_mimic4_regime,mask_interaction,0,0,2,0.4139479327595826,935.0,6706
cand_mimic4_regime,histgb_native,0,0,2,0.45753189513662224,935.0,6706
cand_mimic4_regime,pattern_submodels,0,0,2,0.37571469907595223,935.0,6706
cand_mimic4_regime,ours,0,0,2,0.3750645532620737,935.0,6706
cand_mimic4_regime,ours_projected,0,0,2,0.3759758492508922,935.0,6706
cand_mimic4_regime,exact_submodels,0,0,2,0.2110929504666613,935.0,6706
cand_mimic4_regime,exact_cv,0,0,2,0.29249766757382956,935.0,6706
cand_mimic4_regime,family_cv,0,0,2,0.37571469907595223,935.0,6706
cand_mimic4_regime,mean_indicator,1,0,2,0.3583344304188238,935.0,6706
cand_mimic4_regime,mask_interaction,1,0,2,0.35848762148132846,935.0,6706
cand_mimic4_regime,ours,1,0,2,0.3551531701125944,935.0,6706
cand_mimic4_regime,exact_submodels,1,0,2,0.18924816415048734,935.0,6706
cand_mimic4_regime,mean_impute,1,0,2,0.35887792388416384,935.0,6706
cand_mimic4_regime,mean_impute,0,0,3,0.38692145606421613,940.0,6706
cand_mimic4_regime,mean_indicator,0,0,3,0.4404767970814216,940.0,6706
cand_mimic4_regime,mask_interaction,0,0,3,0.44007488602944544,940.0,6706
cand_mimic4_regime,histgb_native,0,0,3,0.45621872963851373,940.0,6706
cand_mimic4_regime,pattern_submodels,0,0,3,0.38463548596520214,940.0,6706
cand_mimic4_regime,ours,0,0,3,0.38423275744163976,940.0,6706
cand_mimic4_regime,ours_projected,0,0,3,0.3853361724603308,940.0,6706
cand_mimic4_regime,exact_submodels,0,0,3,0.23821348552197258,940.0,6706
cand_mimic4_regime,exact_cv,0,0,3,0.31308669633996883,940.0,6706
cand_mimic4_regime,family_cv,0,0,3,0.3845804296578369,940.0,6706
cand_mimic4_regime,mean_indicator,1,0,3,0.36409489599337763,940.0,6706
cand_mimic4_regime,mask_interaction,1,0,3,0.3636385404502602,940.0,6706
cand_mimic4_regime,ours,1,0,3,0.3615365930838571,940.0,6706
cand_mimic4_regime,exact_submodels,1,0,3,0.22101208955440863,940.0,6706
cand_mimic4_regime,mean_impute,1,0,3,0.3739154983443819,940.0,6706
cand_mimic4_regime,mean_impute,0,0,4,0.3849532786039021,962.0,6706
cand_mimic4_regime,mean_indicator,0,0,4,0.4439619850474505,962.0,6706
cand_mimic4_regime,mask_interaction,0,0,4,0.44390374184098236,962.0,6706
cand_mimic4_regime,histgb_native,0,0,4,0.46167792065401075,962.0,6706
cand_mimic4_regime,pattern_submodels,0,0,4,0.39215802128508304,962.0,6706
cand_mimic4_regime,ours,0,0,4,0.39178540455065014,962.0,6706
cand_mimic4_regime,ours_projected,0,0,4,0.3928271808911403,962.0,6706
cand_mimic4_regime,exact_submodels,0,0,4,0.2509309843216701,962.0,6706
cand_mimic4_regime,exact_cv,0,0,4,0.3125758584625369,962.0,6706
cand_mimic4_regime,family_cv,0,0,4,0.39215802128508304,962.0,6706
cand_mimic4_regime,mean_indicator,1,0,4,0.34529127483308086,962.0,6706
cand_mimic4_regime,mask_interaction,1,0,4,0.34541209957886176,962.0,6706
cand_mimic4_regime,ours,1,0,4,0.3719227398689811,962.0,6706
cand_mimic4_regime,exact_submodels,1,0,4,0.2232513940949987,962.0,6706
cand_mimic4_regime,mean_impute,1,0,4,0.34832664196932045,962.0,6706
cand_mimic4_regime,mean_impute,0,1,0,0.4040749284550904,962.0,6707
cand_mimic4_regime,mean_indicator,0,1,0,0.43264488125969897,962.0,6707
cand_mimic4_regime,mask_interaction,0,1,0,0.43293351379327033,962.0,6707
cand_mimic4_regime,histgb_native,0,1,0,0.4690613507548645,962.0,6707
cand_mimic4_regime,pattern_submodels,0,1,0,0.4120337248460211,962.0,6707
cand_mimic4_regime,ours,0,1,0,0.4111287751483578,962.0,6707
cand_mimic4_regime,ours_projected,0,1,0,0.4106917155829199,962.0,6707
cand_mimic4_regime,exact_submodels,0,1,0,0.283539569668904,962.0,6707
cand_mimic4_regime,exact_cv,0,1,0,0.338649136588156,962.0,6707
cand_mimic4_regime,family_cv,0,1,0,0.4120337248460211,962.0,6707
cand_mimic4_regime,mean_indicator,1,1,0,0.3766998884994542,962.0,6707
cand_mimic4_regime,mask_interaction,1,1,0,0.376744972580704,962.0,6707
cand_mimic4_regime,ours,1,1,0,0.385715161120115,962.0,6707
cand_mimic4_regime,exact_submodels,1,1,0,0.19569523346598505,962.0,6707
cand_mimic4_regime,mean_impute,1,1,0,0.38160042250959575,962.0,6707
cand_mimic4_regime,mean_impute,0,1,1,0.37554727154616807,959.0,6706
cand_mimic4_regime,mean_indicator,0,1,1,0.4208327320226014,959.0,6706
cand_mimic4_regime,mask_interaction,0,1,1,0.42083198375421343,959.0,6706
cand_mimic4_regime,histgb_native,0,1,1,0.4593969792599448,959.0,6706
cand_mimic4_regime,pattern_submodels,0,1,1,0.3821565293702266,959.0,6706
cand_mimic4_regime,ours,0,1,1,0.38183612230657776,959.0,6706
cand_mimic4_regime,ours_projected,0,1,1,0.38212846586984356,959.0,6706
cand_mimic4_regime,exact_submodels,0,1,1,0.23348144275610516,959.0,6706
cand_mimic4_regime,exact_cv,0,1,1,0.3053950664506995,959.0,6706
cand_mimic4_regime,family_cv,0,1,1,0.3821565293702266,959.0,6706
cand_mimic4_regime,mean_indicator,1,1,1,0.3050284647695174,959.0,6706
cand_mimic4_regime,mask_interaction,1,1,1,0.3046884614775747,959.0,6706
cand_mimic4_regime,ours,1,1,1,0.3559382026632641,959.0,6706
cand_mimic4_regime,exact_submodels,1,1,1,0.20865911084720742,959.0,6706
cand_mimic4_regime,mean_impute,1,1,1,0.31133718247568676,959.0,6706
cand_mimic4_regime,mean_impute,0,1,2,0.40406789602452986,935.0,6706
cand_mimic4_regime,mean_indicator,0,1,2,0.44699156949479674,935.0,6706
cand_mimic4_regime,mask_interaction,0,1,2,0.44798883602851036,935.0,6706
cand_mimic4_regime,histgb_native,0,1,2,0.48328056692392174,935.0,6706
cand_mimic4_regime,pattern_submodels,0,1,2,0.4035404067890825,935.0,6706
cand_mimic4_regime,ours,0,1,2,0.40326096329017097,935.0,6706
cand_mimic4_regime,ours_projected,0,1,2,0.40374841960625435,935.0,6706
cand_mimic4_regime,exact_submodels,0,1,2,0.24703282181221498,935.0,6706
cand_mimic4_regime,exact_cv,0,1,2,0.3163566654640035,935.0,6706
cand_mimic4_regime,family_cv,0,1,2,0.4035404067890825,935.0,6706
cand_mimic4_regime,mean_indicator,1,1,2,0.3825085148664089,935.0,6706
cand_mimic4_regime,mask_interaction,1,1,2,0.3825090543141614,935.0,6706
cand_mimic4_regime,ours,1,1,2,0.3803580414041363,935.0,6706
cand_mimic4_regime,exact_submodels,1,1,2,0.22768018936142428,935.0,6706
cand_mimic4_regime,mean_impute,1,1,2,0.38608734272543915,935.0,6706
cand_mimic4_regime,mean_impute,0,1,3,0.39464869986423373,974.0,6706
cand_mimic4_regime,mean_indicator,0,1,3,0.4472045769984524,974.0,6706
cand_mimic4_regime,mask_interaction,0,1,3,0.44718269619998663,974.0,6706
cand_mimic4_regime,histgb_native,0,1,3,0.49972385889018817,974.0,6706
cand_mimic4_regime,pattern_submodels,0,1,3,0.4110394029939885,974.0,6706
cand_mimic4_regime,ours,0,1,3,0.41022530844557403,974.0,6706
cand_mimic4_regime,ours_projected,0,1,3,0.41211033918746776,974.0,6706
cand_mimic4_regime,exact_submodels,0,1,3,0.232480465870162,974.0,6706
cand_mimic4_regime,exact_cv,0,1,3,0.3074850715088981,974.0,6706
cand_mimic4_regime,family_cv,0,1,3,0.4110394029939885,974.0,6706
cand_mimic4_regime,mean_indicator,1,1,3,0.3796986455516394,974.0,6706
cand_mimic4_regime,mask_interaction,1,1,3,0.3799258714896993,974.0,6706
cand_mimic4_regime,ours,1,1,3,0.3822007702518458,974.0,6706
cand_mimic4_regime,exact_submodels,1,1,3,0.22855984273795898,974.0,6706
cand_mimic4_regime,mean_impute,1,1,3,0.3835064395375568,974.0,6706
cand_mimic4_regime,mean_impute,0,1,4,0.3524435644387787,944.0,6706
cand_mimic4_regime,mean_indicator,0,1,4,0.405071428166321,944.0,6706
cand_mimic4_regime,mask_interaction,0,1,4,0.4054134245212802,944.0,6706
cand_mimic4_regime,histgb_native,0,1,4,0.43475085130311214,944.0,6706
cand_mimic4_regime,pattern_submodels,0,1,4,0.3583299158554136,944.0,6706
cand_mimic4_regime,ours,0,1,4,0.35782186814734696,944.0,6706
cand_mimic4_regime,ours_projected,0,1,4,0.3572550768751746,944.0,6706
cand_mimic4_regime,exact_submodels,0,1,4,0.23572003163027774,944.0,6706
cand_mimic4_regime,exact_cv,0,1,4,0.3114514149698777,944.0,6706
cand_mimic4_regime,family_cv,0,1,4,0.3583299158554136,944.0,6706
cand_mimic4_regime,mean_indicator,1,1,4,0.28952653469218803,944.0,6706
cand_mimic4_regime,mask_interaction,1,1,4,0.28922752678041613,944.0,6706
cand_mimic4_regime,ours,1,1,4,0.3351170710721132,944.0,6706
cand_mimic4_regime,exact_submodels,1,1,4,0.20406690210495787,944.0,6706
cand_mimic4_regime,mean_impute,1,1,4,0.29283275823501137,944.0,6706
cand_mimic4_regime,mean_impute,0,2,0,0.39268452524059466,942.5,6707
cand_mimic4_regime,mean_indicator,0,2,0,0.4348747763502706,942.5,6707
cand_mimic4_regime,mask_interaction,0,2,0,0.43463936968212724,942.5,6707
cand_mimic4_regime,histgb_native,0,2,0,0.47240578915649056,942.5,6707
cand_mimic4_regime,pattern_submodels,0,2,0,0.3865299596132615,942.5,6707
cand_mimic4_regime,ours,0,2,0,0.38630100565627895,942.5,6707
cand_mimic4_regime,ours_projected,0,2,0,0.3867665909424402,942.5,6707
cand_mimic4_regime,exact_submodels,0,2,0,0.2748909056990965,942.5,6707
cand_mimic4_regime,exact_cv,0,2,0,0.3262717049401697,942.5,6707
cand_mimic4_regime,family_cv,0,2,0,0.38652599237147633,942.5,6707
cand_mimic4_regime,mean_indicator,1,2,0,0.36688410470106325,942.5,6707
cand_mimic4_regime,mask_interaction,1,2,0,0.36712840496439675,942.5,6707
cand_mimic4_regime,ours,1,2,0,0.36491122968381295,942.5,6707
cand_mimic4_regime,exact_submodels,1,2,0,0.2037179896749776,942.5,6707
cand_mimic4_regime,mean_impute,1,2,0,0.3669256593549694,942.5,6707
cand_mimic4_regime,mean_impute,0,2,1,0.374626833849017,962.5,6706
cand_mimic4_regime,mean_indicator,0,2,1,0.4206820869581864,962.5,6706
cand_mimic4_regime,mask_interaction,0,2,1,0.4216588083413634,962.5,6706
cand_mimic4_regime,histgb_native,0,2,1,0.4703448685364394,962.5,6706
cand_mimic4_regime,pattern_submodels,0,2,1,0.3938797440614932,962.5,6706
cand_mimic4_regime,ours,0,2,1,0.39216195017053823,962.5,6706
cand_mimic4_regime,ours_projected,0,2,1,0.3930255397995648,962.5,6706
cand_mimic4_regime,exact_submodels,0,2,1,0.25892477554236587,962.5,6706
cand_mimic4_regime,exact_cv,0,2,1,0.33614807670215346,962.5,6706
cand_mimic4_regime,family_cv,0,2,1,0.3938797440614932,962.5,6706
cand_mimic4_regime,mean_indicator,1,2,1,0.34348266320876114,962.5,6706
cand_mimic4_regime,mask_interaction,1,2,1,0.34463468206109416,962.5,6706
cand_mimic4_regime,ours,1,2,1,0.36427335703807395,962.5,6706
cand_mimic4_regime,exact_submodels,1,2,1,0.19132516678254652,962.5,6706
cand_mimic4_regime,mean_impute,1,2,1,0.3464039576997512,962.5,6706
cand_mimic4_regime,mean_impute,0,2,2,0.4114026357451218,949.0,6706
cand_mimic4_regime,mean_indicator,0,2,2,0.45403168734507815,949.0,6706
cand_mimic4_regime,mask_interaction,0,2,2,0.45388749554607133,949.0,6706
cand_mimic4_regime,histgb_native,0,2,2,0.48698322682335754,949.0,6706
cand_mimic4_regime,pattern_submodels,0,2,2,0.41306019833270635,949.0,6706
cand_mimic4_regime,ours,0,2,2,0.4124620002665001,949.0,6706
cand_mimic4_regime,ours_projected,0,2,2,0.4144224051949979,949.0,6706
cand_mimic4_regime,exact_submodels,0,2,2,0.25230925097380796,949.0,6706
cand_mimic4_regime,exact_cv,0,2,2,0.34627058026318747,949.0,6706
cand_mimic4_regime,family_cv,0,2,2,0.41306019833270635,949.0,6706
cand_mimic4_regime,mean_indicator,1,2,2,0.39678283520608687,949.0,6706
cand_mimic4_regime,mask_interaction,1,2,2,0.3972389488548498,949.0,6706
cand_mimic4_regime,ours,1,2,2,0.3873493888588997,949.0,6706
cand_mimic4_regime,exact_submodels,1,2,2,0.25199679322484553,949.0,6706
cand_mimic4_regime,mean_impute,1,2,2,0.40348707037238407,949.0,6706
cand_mimic4_regime,mean_impute,0,2,3,0.38109121156374126,976.5,6706
cand_mimic4_regime,mean_indicator,0,2,3,0.4267886643208179,976.5,6706
cand_mimic4_regime,mask_interaction,0,2,3,0.42659750193967827,976.5,6706
cand_mimic4_regime,histgb_native,0,2,3,0.467710365753597,976.5,6706
cand_mimic4_regime,pattern_submodels,0,2,3,0.3876116447532979,976.5,6706
cand_mimic4_regime,ours,0,2,3,0.38741539520813173,976.5,6706
cand_mimic4_regime,ours_projected,0,2,3,0.38837369307980774,976.5,6706
cand_mimic4_regime,exact_submodels,0,2,3,0.23121886513582546,976.5,6706
cand_mimic4_regime,exact_cv,0,2,3,0.3045841277935757,976.5,6706
cand_mimic4_regime,family_cv,0,2,3,0.3876116447532979,976.5,6706
cand_mimic4_regime,mean_indicator,1,2,3,0.3505306548294821,976.5,6706
cand_mimic4_regime,mask_interaction,1,2,3,0.3512929786369717,976.5,6706
cand_mimic4_regime,ours,1,2,3,0.3602983577365201,976.5,6706
cand_mimic4_regime,exact_submodels,1,2,3,0.20145017228624235,976.5,6706
cand_mimic4_regime,mean_impute,1,2,3,0.35469180019694246,976.5,6706
cand_mimic4_regime,mean_impute,0,2,4,0.3820396282853152,952.0,6706
cand_mimic4_regime,mean_indicator,0,2,4,0.4261338695798484,952.0,6706
cand_mimic4_regime,mask_interaction,0,2,4,0.4260187686295143,952.0,6706
cand_mimic4_regime,histgb_native,0,2,4,0.460082985104894,952.0,6706
cand_mimic4_regime,pattern_submodels,0,2,4,0.3840860947403971,952.0,6706
cand_mimic4_regime,ours,0,2,4,0.3840233408331696,952.0,6706
cand_mimic4_regime,ours_projected,0,2,4,0.3839874114771132,952.0,6706
cand_mimic4_regime,exact_submodels,0,2,4,0.22518871276608904,952.0,6706
cand_mimic4_regime,exact_cv,0,2,4,0.3020039694072467,952.0,6706
cand_mimic4_regime,family_cv,0,2,4,0.3840860947403971,952.0,6706
cand_mimic4_regime,mean_indicator,1,2,4,0.35486921091910356,952.0,6706
cand_mimic4_regime,mask_interaction,1,2,4,0.3545925951504009,952.0,6706
cand_mimic4_regime,ours,1,2,4,0.35782008713472524,952.0,6706
cand_mimic4_regime,exact_submodels,1,2,4,0.22805880988374042,952.0,6706
cand_mimic4_regime,mean_impute,1,2,4,0.3553327131468404,952.0,6706
