dataset,arm,permuted,seed,fold,auprc,kappa,n_test
cand_porto,mean_impute,0,0,0,0.06130641662253594,62059.5,59401
cand_porto,mean_indicator,0,0,0,0.06423777581989577,62059.5,59401
cand_porto,mask_interaction,0,0,0,0.06425990436225512,62059.5,59401
cand_porto,histgb_native,0,0,0,0.0612313949266013,62059.5,59401
cand_porto,pattern_submodels,0,0,0,0.06203006364586825,62059.5,59401
cand_porto,ours,0,0,0,0.0619771236911886,62059.5,59401
cand_porto,ours_projected,0,0,0,0.061979588968549645,62059.5,59401
cand_porto,exact_submodels,0,0,0,0.05887622650842071,62059.5,59401
cand_porto,exact_cv,0,0,0,0.05882050783775179,62059.5,59401
cand_porto,family_cv,0,0,0,0.0619528012252413,62059.5,59401
cand_porto,mean_indicator,1,0,0,0.060383648033931064,62059.5,59401
cand_porto,mask_interaction,1,0,0,0.06043868768741901,62059.5,59401
cand_porto,ours,1,0,0,0.06055436405821443,62059.5,59401
cand_porto,exact_submodels,1,0,0,0.05569317577144434,62059.5,59401
cand_porto,mean_impute,1,0,0,0.06124507897544497,62059.5,59401
cand_porto,mean_impute,0,0,1,0.06281094041222086,62939.5,59401
cand_porto,mean_indicator,0,0,1,0.0663884945116373,62939.5,59401
cand_porto,mask_interaction,0,0,1,0.06639864712414702,62939.5,59401
cand_porto,histgb_native,0,0,1,0.06716974588830418,62939.5,59401
cand_porto,pattern_submodels,0,0,1,0.0628231315843163,62939.5,59401
cand_porto,ours,0,0,1,0.06287470763361037,62939.5,59401
cand_porto,ours_projected,0,0,1,0.06312109121332349,62939.5,59401
cand_porto,exact_submodels,0,0,1,0.060955627741146365,62939.5,59401
cand_porto,exact_cv,0,0,1,0.06171839659374345,62939.5,59401
cand_porto,family_cv,0,0,1,0.06290045823757275,62939.5,59401
cand_porto,mean_indicator,1,0,1,0.06332428737377581,62939.5,59401
cand_porto,mask_interaction,1,0,1,0.06323004064860469,62939.5,59401
cand_porto,ours,1,0,1,0.06227472820919619,62939.5,59401
cand_porto,exact_submodels,1,0,1,0.05399412059304114,62939.5,59401
cand_porto,mean_impute,1,0,1,0.06288612880923988,62939.5,59401
cand_porto,mean_impute,0,0,2,0.062091299845870467,62859.0,59401
cand_porto,mean_indicator,0,0,2,0.06565325773032624,62859.0,59401
cand_porto,mask_interaction,0,0,2,0.06560202705853949,62859.0,59401
cand_porto,histgb_native,0,0,2,0.06455406273893285,62859.0,59401
cand_porto,pattern_submodels,0,0,2,0.06312983405856037,62859.0,59401
cand_porto,ours,0,0,2,0.06301853584850883,62859.0,59401
cand_porto,ours_projected,0,0,2,0.06301853584850883,62859.0,59401
cand_porto,exact_submodels,0,0,2,0.05934157730808696,62859.0,59401
cand_porto,exact_cv,0,0,2,0.05931125212113543,62859.0,59401
cand_porto,family_cv,0,0,2,0.06298407557597402,62859.0,59401
cand_porto,mean_indicator,1,0,2,0.061650156428631295,62859.0,59401
cand_porto,mask_interaction,1,0,2,0.061641688854144006,62859.0,59401
cand_porto,ours,1,0,2,0.06059436243794636,62859.0,59401
cand_porto,exact_submodels,1,0,2,0.05642139752696661,62859.0,59401
cand_porto,mean_impute,1,0,2,0.061849830471064245,62859.0,59401
cand_porto,mean_impute,0,0,3,0.0594252963036282,62893.0,59401
cand_porto,mean_indicator,0,0,3,0.06256852165026658,62893.0,59401
cand_porto,mask_interaction,0,0,3,0.06256526765996796,62893.0,59401
cand_porto,histgb_native,0,0,3,0.06201254811428642,62893.0,59401
cand_porto,pattern_submodels,0,0,3,0.05977960449255292,62893.0,59401
cand_porto,ours,0,0,3,0.059827706303549166,62893.0,59401
cand_porto,ours_projected,0,0,3,0.059876149178632626,62893.0,59401
cand_porto,exact_submodels,0,0,3,0.05600440066934553,62893.0,59401
cand_porto,exact_cv,0,0,3,0.05604351329674225,62893.0,59401
cand_porto,family_cv,0,0,3,0.05983338347881364,62893.0,59401
cand_porto,mean_indicator,1,0,3,0.0590266880509592,62893.0,59401
cand_porto,mask_interaction,1,0,3,0.05901373000177138,62893.0,59401
cand_porto,ours,1,0,3,0.05888330284959544,62893.0,59401
cand_porto,exact_submodels,1,0,3,0.053719416537196994,62893.0,59401
cand_porto,mean_impute,1,0,3,0.05914700930201292,62893.0,59401
cand_porto,mean_impute,0,0,4,0.05677893221226938,62838.5,59401
cand_porto,mean_indicator,0,0,4,0.059287298803044446,62838.5,59401
cand_porto,mask_interaction,0,0,4,0.05928493769775608,62838.5,59401
cand_porto,histgb_native,0,0,4,0.058647885466455024,62838.5,59401
cand_porto,pattern_submodels,0,0,4,0.05802128754400317,62838.5,59401
cand_porto,ours,0,0,4,0.05799556028762452,62838.5,59401
cand_porto,ours_projected,0,0,4,0.057982224289292915,62838.5,59401
cand_porto,exact_submodels,0,0,4,0.054885233314728714,62838.5,59401
cand_porto,exact_cv,0,0,4,0.05506011118264574,62838.5,59401
cand_porto,family_cv,0,0,4,0.058012833658769365,62838.5,59401
cand_porto,mean_indicator,1,0,4,0.05658382442178282,62838.5,59401
