dataset,arm,permuted,seed,fold,auprc,kappa,n_test
sweep_41275,mean_impute,0,0,0,0.7584682139643915,38414.0,12942
sweep_41275,mean_indicator,0,0,0,0.7678931178662063,38414.0,12942
sweep_41275,mask_interaction,0,0,0,0.7678901084161494,38414.0,12942
sweep_41275,histgb_native,0,0,0,0.8165186075708808,38414.0,12942
sweep_41275,pattern_submodels,0,0,0,0.7539213605134587,38414.0,12942
sweep_41275,ours,0,0,0,0.7526443626905582,38414.0,12942
sweep_41275,ours_projected,0,0,0,0.7526443626905582,38414.0,12942
sweep_41275,exact_submodels,0,0,0,0.7716220338381243,38414.0,12942
sweep_41275,exact_cv,0,0,0,0.7716747429941998,38414.0,12942
sweep_41275,family_cv,0,0,0,0.7716747429941998,38414.0,12942
sweep_41275,mean_indicator,1,0,0,0.7602673222860163,38414.0,12942
sweep_41275,mask_interaction,1,0,0,0.7602392499356367,38414.0,12942
sweep_41275,ours,1,0,0,0.7502864601567469,38414.0,12942
sweep_41275,exact_submodels,1,0,0,0.7585573356974231,38414.0,12942
sweep_41275,mean_impute,1,0,0,0.7584314958363351,38414.0,12942
sweep_41275,mean_impute,0,0,1,0.7711902029623943,35732.5,12941
sweep_41275,mean_indicator,0,0,1,0.7779568969733375,35732.5,12941
sweep_41275,mask_interaction,0,0,1,0.7779502693185507,35732.5,12941
sweep_41275,histgb_native,0,0,1,0.8278718603929793,35732.5,12941
sweep_41275,pattern_submodels,0,0,1,0.7664145666506446,35732.5,12941
sweep_41275,ours,0,0,1,0.765226156159446,35732.5,12941
sweep_41275,ours_projected,0,0,1,0.7662049385022858,35732.5,12941
sweep_41275,exact_submodels,0,0,1,0.7796225457502615,35732.5,12941
sweep_41275,exact_cv,0,0,1,0.7799129497467706,35732.5,12941
sweep_41275,family_cv,0,0,1,0.7799129497467706,35732.5,12941
sweep_41275,mean_indicator,1,0,1,0.7721993568302421,35732.5,12941
sweep_41275,mask_interaction,1,0,1,0.7722433169655506,35732.5,12941
sweep_41275,ours,1,0,1,0.7634940730184572,35732.5,12941
sweep_41275,exact_submodels,1,0,1,0.770864906236783,35732.5,12941
sweep_41275,mean_impute,1,0,1,0.7700749320739295,35732.5,12941
sweep_41275,mean_impute,0,0,2,0.7568950032307666,38424.0,12941
sweep_41275,mean_indicator,0,0,2,0.7638576256356078,38424.0,12941
sweep_41275,mask_interaction,0,0,2,0.7638899852210628,38424.0,12941
sweep_41275,histgb_native,0,0,2,0.8161329768667429,38424.0,12941
sweep_41275,pattern_submodels,0,0,2,0.7522005434715522,38424.0,12941
sweep_41275,ours,0,0,2,0.7508495042016393,38424.0,12941
sweep_41275,ours_projected,0,0,2,0.7515706933546864,38424.0,12941
