dataset,arm,permuted,seed,fold,auprc,kappa,n_test
sweep_42739,mean_impute,0,0,0,0.5961977739167065,36114.5,20000
sweep_42739,mean_indicator,0,0,0,0.6224451184529074,36114.5,20000
sweep_42739,mask_interaction,0,0,0,0.6223792466488506,36114.5,20000
sweep_42739,histgb_native,0,0,0,0.8344102981386315,36114.5,20000
sweep_42739,pattern_submodels,0,0,0,0.6137154270821648,36114.5,20000
sweep_42739,ours,0,0,0,0.6110366655330456,36114.5,20000
sweep_42739,ours_projected,0,0,0,0.6101846610538769,36114.5,20000
sweep_42739,exact_submodels,0,0,0,0.649014554273766,36114.5,20000
sweep_42739,exact_cv,0,0,0,0.6567349724700025,36114.5,20000
sweep_42739,family_cv,0,0,0,0.6567349724700025,36114.5,20000
sweep_42739,mean_indicator,1,0,0,0.5945222652257631,36114.5,20000
sweep_42739,mask_interaction,1,0,0,0.5949045216253392,36114.5,20000
sweep_42739,ours,1,0,0,0.5886742374773106,36114.5,20000
sweep_42739,exact_submodels,1,0,0,0.5422944011109171,36114.5,20000
sweep_42739,mean_impute,1,0,0,0.5964028661072543,36114.5,20000
sweep_42739,mean_impute,0,0,1,0.5981023418498832,36143.5,20000
sweep_42739,mean_indicator,0,0,1,0.6191526408394902,36143.5,20000
sweep_42739,mask_interaction,0,0,1,0.6192070942459421,36143.5,20000
sweep_42739,histgb_native,0,0,1,0.8359775859803207,36143.5,20000
sweep_42739,pattern_submodels,0,0,1,0.6141865759087717,36143.5,20000
sweep_42739,ours,0,0,1,0.6117866374312506,36143.5,20000
sweep_42739,ours_projected,0,0,1,0.6113354658514905,36143.5,20000
sweep_42739,exact_submodels,0,0,1,0.6540709645546969,36143.5,20000
sweep_42739,exact_cv,0,0,1,0.6581473126228752,36143.5,20000
sweep_42739,family_cv,0,0,1,0.6581473126228752,36143.5,20000
sweep_42739,mean_indicator,1,0,1,0.5974941635565848,36143.5,20000
sweep_42739,mask_interaction,1,0,1,0.5979530841671153,36143.5,20000
sweep_42739,ours,1,0,1,0.5948654674560594,36143.5,20000
sweep_42739,exact_submodels,1,0,1,0.5582535805929101,36143.5,20000
sweep_42739,mean_impute,1,0,1,0.5981813662856047,36143.5,20000
sweep_42739,mean_impute,0,0,2,0.6017806454122121,36430.5,20000
sweep_42739,mean_indicator,0,0,2,0.6271335122858682,36430.5,20000
sweep_42739,mask_interaction,0,0,2,0.6272180302553151,36430.5,20000
sweep_42739,histgb_native,0,0,2,0.8435308047916998,36430.5,20000
sweep_42739,pattern_submodels,0,0,2,0.6181692029541132,36430.5,20000
sweep_42739,ours,0,0,2,0.6152502575020883,36430.5,20000
sweep_42739,ours_projected,0,0,2,0.6152618263152598,36430.5,20000
sweep_42739,exact_submodels,0,0,2,0.669472084274644,36430.5,20000
sweep_42739,exact_cv,0,0,2,0.6767963528295917,36430.5,20000
sweep_42739,family_cv,0,0,2,0.6767963528295917,36430.5,20000
sweep_42739,mean_indicator,1,0,2,0.6023537588387948,36430.5,20000
sweep_42739,mask_interaction,1,0,2,0.6026218893481974,36430.5,20000
sweep_42739,ours,1,0,2,0.5955068116367618,36430.5,20000
sweep_42739,exact_submodels,1,0,2,0.550860150979628,36430.5,20000
sweep_42739,mean_impute,1,0,2,0.6024972858511874,36430.5,20000
sweep_42739,mean_impute,0,0,3,0.6056587384169106,36485.0,20000
sweep_42739,mean_indicator,0,0,3,0.6302423739179915,36485.0,20000
sweep_42739,mask_interaction,0,0,3,0.6301327123626197,36485.0,20000
sweep_42739,histgb_native,0,0,3,0.8407830219036085,36485.0,20000
sweep_42739,pattern_submodels,0,0,3,0.6206569577180572,36485.0,20000
sweep_42739,ours,0,0,3,0.6185662023264221,36485.0,20000
sweep_42739,ours_projected,0,0,3,0.6188730466931727,36485.0,20000
sweep_42739,exact_submodels,0,0,3,0.6697512553125254,36485.0,20000
sweep_42739,exact_cv,0,0,3,0.6779553489103367,36485.0,20000
sweep_42739,family_cv,0,0,3,0.6779553489103367,36485.0,20000
sweep_42739,mean_indicator,1,0,3,0.6054357864639274,36485.0,20000
sweep_42739,mask_interaction,1,0,3,0.6078105318055154,36485.0,20000
sweep_42739,ours,1,0,3,0.603590610925263,36485.0,20000
sweep_42739,exact_submodels,1,0,3,0.5580190722461174,36485.0,20000
sweep_42739,mean_impute,1,0,3,0.6062327189459085,36485.0,20000
sweep_42739,mean_impute,0,0,4,0.6034792653243005,36467.0,20000
sweep_42739,mean_indicator,0,0,4,0.6326608446940838,36467.0,20000
sweep_42739,mask_interaction,0,0,4,0.6331241189188339,36467.0,20000
sweep_42739,histgb_native,0,0,4,0.8415074052211552,36467.0,20000
sweep_42739,pattern_submodels,0,0,4,0.6201862064962592,36467.0,20000
sweep_42739,ours,0,0,4,0.6174207046393309,36467.0,20000
sweep_42739,ours_projected,0,0,4,0.6168368934571212,36467.0,20000
sweep_42739,exact_submodels,0,0,4,0.6534448693125016,36467.0,20000
sweep_42739,exact_cv,0,0,4,0.6636926063553815,36467.0,20000
sweep_42739,family_cv,0,0,4,0.6636926063553815,36467.0,20000
sweep_42739,mean_indicator,1,0,4,0.6070830785900065,36467.0,20000
sweep_42739,mask_interaction,1,0,4,0.6075705508895066,36467.0,20000
sweep_42739,ours,1,0,4,0.5998135382966081,36467.0,20000
sweep_42739,exact_submodels,1,0,4,0.5656989657615279,36467.0,20000
sweep_42739,mean_impute,1,0,4,0.6043017575613182,36467.0,20000
