cohort,feature_set,subsample,n,d,prevalence,missing_rate,n_patterns,median_support_ratio,frac_with_ancestor,iota,verdict
colorectal,baseline,full,154855,188,0.038707177682348,0.5120191709883715,18303,20.050632911392405,0.9999453641479539,0.17579012105169622,MARGINAL
colorectal,baseline,n40000,40000,188,0.0387,0.5115289893617021,6949,5.470588235294118,0.9998560944020722,0.15105249008730914,MARGINAL
colorectal,full,full,154855,379,0.038707177682348,0.73025495209622,24957,3.925925925925926,0.9999599310814601,0.26466546554077863,MARGINAL
colorectal,full,n40000,40000,379,0.0387,0.730062401055409,9108,1.393796992481203,0.9998902064119456,0.24995048190555902,HOPELESS
lung,baseline,full,154855,121,0.038707177682348,0.27585731359995264,11726,75.66147585458492,0.9999147194269146,0.17260685199791714,MARGINAL
lung,baseline,n40000,40000,121,0.0387,0.2756318181818182,4585,18.927835051546392,0.9997818974918211,0.15044078412066353,MARGINAL
lung,full,full,154855,136,0.038707177682348,0.2815058489250855,14530,51.365887964774956,0.9999311768754301,0.26044599380910893,MARGINAL
lung,full,n40000,40000,136,0.0387,0.2813325367647059,5638,13.395833333333332,0.9998226321390564,0.24897664284825338,MARGINAL
ovarian,baseline,full,78194,116,0.02626800010230964,0.12513593511452065,7419,68.13592233009709,0.9998652109448712,0.12155623999146759,MARGINAL
ovarian,baseline,n40000,40000,116,0.026275,0.12510560344827587,4608,35.027272727272724,0.9997829861111112,0.1196748564732445,MARGINAL
ovarian,full,full,78194,150,0.02626800010230964,0.19561296263140393,10080,38.51754385964912,0.9999007936507937,0.2467689241030654,MARGINAL
ovarian,full,n40000,40000,150,0.026275,0.19552416666666667,6227,19.741071428571427,0.9998394090252127,0.2375254116858614,MARGINAL
prostate,baseline,full,76661,91,0.051395103116317294,0.14393180422843485,5358,45.68235294117647,0.9998133631952221,0.1500275023720795,MARGINAL
prostate,baseline,n40000,40000,91,0.0514,0.14374697802197803,3472,23.49411764705882,0.9997119815668203,0.14488708554527618,MARGINAL
prostate,full,full,76661,114,0.051395103116317294,0.176188079805441,6484,32.7985337576722,0.9998457742134484,0.21346323480806317,MARGINAL
prostate,full,n40000,40000,114,0.0514,0.1761138157894737,4191,17.010416666666668,0.9997613934621808,0.2106515087050258,MARGINAL
