cohort,target,kappa,feature_set,subsample_n,auprc,auprc_sd
prostate,ancestors,0.0,baseline,40000,0.1569857199802342,0.0086401162647385
prostate,ancestors,200.0,baseline,40000,0.156999505204819,0.0086871099498303
prostate,ancestors,500.0,baseline,40000,0.157081061399941,0.0087152527927226
prostate,ancestors,1000.0,baseline,40000,0.15709803502215,0.0087350619133382
prostate,ancestors,2000.0,baseline,40000,0.1571689638591205,0.0087832015534763
prostate,ancestors,5000.0,baseline,40000,0.1570193965423554,0.0086975617613727
prostate,ancestors,10000.0,baseline,40000,0.1569491673990549,0.0087954365356062
prostate,ancestors,50000.0,baseline,40000,0.1552764869036358,0.0086828755098263
prostate,ancestors,1000000.0,baseline,40000,0.1484799328822568,0.0092867870713485
prostate,global,0.0,baseline,40000,0.1569857199802342,0.0086401162647385
prostate,global,200.0,baseline,40000,0.1569634428691944,0.0087434667920758
prostate,global,500.0,baseline,40000,0.1569012242389695,0.0088003050418348
prostate,global,1000.0,baseline,40000,0.1566718012134887,0.0088301263860025
prostate,global,2000.0,baseline,40000,0.1562440490188184,0.008945711124605
prostate,global,5000.0,baseline,40000,0.1547656407824843,0.009009418136478
prostate,global,10000.0,baseline,40000,0.1526269519392821,0.0094258330450338
prostate,global,50000.0,baseline,40000,0.1460251902733021,0.010440418257587
prostate,global,1000000.0,baseline,40000,0.1411926742472948,0.0108408140709472
lung,ancestors,0.0,baseline,40000,0.1571360769002637,0.0138190335325246
lung,ancestors,200.0,baseline,40000,0.1576884785647716,0.0141157721587833
lung,ancestors,500.0,baseline,40000,0.1581392699555633,0.0143558868858595
lung,ancestors,1000.0,baseline,40000,0.1585941100218663,0.0144920445369787
lung,ancestors,2000.0,baseline,40000,0.1595156278905554,0.0148407493687089
lung,ancestors,5000.0,baseline,40000,0.1608511089405346,0.0153948601313203
lung,ancestors,10000.0,baseline,40000,0.161551506486548,0.0162719115877552
lung,ancestors,50000.0,baseline,40000,0.158674348136849,0.0170151452265268
lung,ancestors,1000000.0,baseline,40000,0.1523611233030072,0.0176171111508382
lung,global,0.0,baseline,40000,0.1571360769002637,0.0138190335325246
lung,global,200.0,baseline,40000,0.1576087843360348,0.0140721850225065
lung,global,500.0,baseline,40000,0.1579248575234224,0.0142484148559895
lung,global,1000.0,baseline,40000,0.1581642698181683,0.0142129079301014
lung,global,2000.0,baseline,40000,0.1582220254780409,0.0143463652853844
lung,global,5000.0,baseline,40000,0.1572748098189182,0.0149275809940954
lung,global,10000.0,baseline,40000,0.155519916078179,0.0147827243355824
lung,global,50000.0,baseline,40000,0.1500981978627814,0.015244419198398
lung,global,1000000.0,baseline,40000,0.1470953891378326,0.0151429861802694
colorectal,ancestors,0.0,baseline,40000,0.1290510334879328,0.013093349266399
colorectal,ancestors,200.0,baseline,40000,0.1292478164752484,0.0131788628362409
colorectal,ancestors,500.0,baseline,40000,0.1294898928761456,0.0132404158791289
colorectal,ancestors,1000.0,baseline,40000,0.1299050528957678,0.013441139568206
colorectal,ancestors,2000.0,baseline,40000,0.1304912037896389,0.0135415799099518
colorectal,ancestors,5000.0,baseline,40000,0.1315659437035097,0.0139178934217488
colorectal,ancestors,10000.0,baseline,40000,0.1322438660261901,0.0141519823870516
colorectal,ancestors,50000.0,baseline,40000,0.1313684175994444,0.0143865058730978
colorectal,ancestors,1000000.0,baseline,40000,0.1277284794538965,0.0145216421764899
colorectal,global,0.0,baseline,40000,0.1290510334879328,0.013093349266399
colorectal,global,200.0,baseline,40000,0.1290751799124542,0.0131177408691527
colorectal,global,500.0,baseline,40000,0.1290108664709663,0.0130653646674283
colorectal,global,1000.0,baseline,40000,0.1288950131091225,0.0129848233810744
colorectal,global,2000.0,baseline,40000,0.1286114179745733,0.0131129504984883
colorectal,global,5000.0,baseline,40000,0.1276640121532269,0.0127614018027317
colorectal,global,10000.0,baseline,40000,0.1261543388272664,0.0126641120469176
colorectal,global,50000.0,baseline,40000,0.1231345644342134,0.0127737647700502
colorectal,global,1000000.0,baseline,40000,0.1213668070460957,0.0127828298280258
ovarian,ancestors,0.0,baseline,40000,0.0991132708532117,0.010959665645239
ovarian,ancestors,200.0,baseline,40000,0.099138461664024,0.0109747748320861
ovarian,ancestors,500.0,baseline,40000,0.0991863944351891,0.0110200139837503
ovarian,ancestors,1000.0,baseline,40000,0.0992497561072124,0.0110204158873522
ovarian,ancestors,2000.0,baseline,40000,0.099716310686016,0.0110565849605935
ovarian,ancestors,5000.0,baseline,40000,0.1000669501832411,0.0111486791016827
ovarian,ancestors,10000.0,baseline,40000,0.1001253799553368,0.0110883974291719
ovarian,ancestors,50000.0,baseline,40000,0.0994527991497376,0.0114701369044975
ovarian,ancestors,1000000.0,baseline,40000,0.0957256885642618,0.011369492808018
ovarian,global,0.0,baseline,40000,0.0991132708532117,0.010959665645239
ovarian,global,200.0,baseline,40000,0.0991320269393134,0.0109377471246576
ovarian,global,500.0,baseline,40000,0.0991194070055622,0.0109434382694285
ovarian,global,1000.0,baseline,40000,0.0990863828162158,0.0106737568589761
ovarian,global,2000.0,baseline,40000,0.0989214067689356,0.010567959790425
ovarian,global,5000.0,baseline,40000,0.0985706194824984,0.010608110304903
ovarian,global,10000.0,baseline,40000,0.0981274377798156,0.0105755964590443
ovarian,global,50000.0,baseline,40000,0.0971285320288934,0.0110065457731113
ovarian,global,1000000.0,baseline,40000,0.09598021903744348,0.011397528861448448
