cohort,target,versus,n,median,p,x_floor,clears,out_of_sample
colorectal,ancestors,kappa=0,15,0.0036119835336525796,0.00030517578125,1.8059917668262897,True,False
colorectal,ancestors,kappa->inf,15,0.004213759631485903,0.00115966796875,2.106879815742951,True,False
colorectal,global,kappa=0,15,-0.002225252390691379,0.00201416015625,-1.1126261953456895,True,False
colorectal,global,kappa->inf,15,0.004474566390405721,0.0001220703125,2.2372831952028602,True,False
lung,ancestors,kappa=0,15,0.004388879311290089,0.0008544921875,2.1944396556450445,True,False
lung,ancestors,kappa->inf,15,0.008342012853064212,0.00018310546875,4.171006426532106,True,False
lung,global,kappa=0,15,-0.0018013137951472802,0.072998046875,-0.9006568975736401,False,False
lung,global,kappa->inf,15,0.008182997917514201,6.103515625e-05,4.0914989587571,True,False
ovarian,ancestors,kappa=0,15,0.0008705116615320974,0.012451171875,0.4352558307660487,False,True
ovarian,ancestors,kappa->inf,15,0.0056755959585513965,0.01507568359375,2.837797979275698,True,True
ovarian,global,kappa=0,15,-0.0015831422170236031,0.10699462890625,-0.7915711085118016,False,True
ovarian,global,kappa->inf,15,0.0013202671162151902,0.063720703125,0.6601335581075951,False,True
prostate,ancestors,kappa=0,15,-0.00031104325516240205,0.846923828125,-0.15552162758120103,False,True
prostate,ancestors,kappa->inf,15,0.008164426772083594,6.103515625e-05,4.082213386041797,True,True
prostate,global,kappa=0,15,-0.0041340961707996005,0.0001220703125,-2.0670480853998003,True,True
prostate,global,kappa->inf,15,0.010301636725664004,6.103515625e-05,5.150818362832002,True,True
