dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_airbnb,holdout,0,0,tree,,12000,216,0.9242864729759449,0.3628878618679669,0.11440398030726279,0.8928390768711993,0.38757640545895444,0.11871964925829818
cand_airbnb,holdout,0,0,global,,12000,216,0.9242864729759449,0.3564832329906132,0.11320640292727452,0.8928390768711993,0.39386771210207205,0.11816257765973928
cand_airbnb,holdout,0,0,pattern_k0,0,12000,216,0.9242684933065753,0.35568286542148225,0.11283120588315576,0.8664256673509709,0.4139585755779629,0.12150564012988757
cand_airbnb,holdout,0,0,hier_cv,10,12000,216,0.9248158869677398,0.3550649678834876,0.11267843343217404,0.8845270639626539,0.38214685859724934,0.11563877103141042
cand_airbnb,holdout,0,1,tree,,12000,226,0.9257674281404273,0.35938896183045516,0.11323365488819019,0.8602271421456907,0.3721020175229262,0.11665633831928607
cand_airbnb,holdout,0,1,global,,12000,226,0.9257674281404273,0.35148638346645006,0.1117081573034759,0.8602271421456907,0.3821674167527098,0.11794373556601426
cand_airbnb,holdout,0,1,pattern_k0,0,12000,226,0.9259938574048118,0.3503378503025758,0.11131918122262412,0.875945104969254,0.36463279498721274,0.11372008273597203
cand_airbnb,holdout,0,1,hier_cv,10,12000,226,0.9261791271053115,0.35027266009193986,0.11135083999710779,0.8718663351857533,0.3680919253213091,0.11469082038036675
cand_airbnb,holdout,0,2,tree,,12000,236,0.927153355816738,0.35790757902902304,0.11261052050690414,0.9387943741530335,0.3517475831449478,0.10955051755970253
cand_airbnb,holdout,0,2,global,,12000,236,0.927153355816738,0.3497484495975793,0.11118543967034455,0.9387943741530335,0.34400271250919157,0.1077749084772715
cand_airbnb,holdout,0,2,pattern_k0,0,12000,236,0.9272448884726111,0.34949292550776606,0.11102038065036511,0.9454018306442113,0.3387476126757152,0.1039309369982383
cand_airbnb,holdout,0,2,hier_cv,10,12000,236,0.9271381336703725,0.3497111750565467,0.11110977987849924,0.9399614759477489,0.34335955198348006,0.1057824206046545
cand_airbnb,holdout,0,3,tree,,12000,200,0.9282347335989374,0.35314094004218743,0.11046361893981874,0.8282589428253821,0.40249675485764913,0.12667386912484704
cand_airbnb,holdout,0,3,global,,12000,200,0.9282347335989374,0.34505185896879026,0.10872134616894365,0.8282589428253821,0.4217608595375299,0.12837191670378187
cand_airbnb,holdout,0,3,pattern_k0,0,12000,200,0.9282175996098632,0.34456829727520166,0.10852312522924107,0.8369655344271019,0.4148690671711856,0.12953672065515978
cand_airbnb,holdout,0,3,hier_cv,10,12000,200,0.9283570802202691,0.3444824560042781,0.10851500088135964,0.833658111159761,0.40880344308174876,0.1267013259075801
cand_airbnb,holdout,0,4,tree,,12000,207,0.9288835229713265,0.355995362482666,0.11184388478261209,0.9075817085011095,0.3550710992304617,0.11398340990361172
cand_airbnb,holdout,0,4,global,,12000,207,0.9288835229713265,0.34744756299524304,0.11024955236531202,0.9075817085011095,0.3544864033356503,0.11483995823702878
cand_airbnb,holdout,0,4,pattern_k0,0,12000,207,0.9292825337764179,0.3466414423355701,0.11002399834921164,0.9152629176839682,0.35047014104039537,0.11183196647250081
cand_airbnb,holdout,0,4,hier_cv,10,12000,207,0.9292245651502317,0.3467573508164922,0.11004483665382961,0.9112281041718889,0.3512032665936678,0.11246142484640748
cand_airbnb,holdout,1,0,tree,,12000,202,0.9264234426270118,0.3585894916290747,0.11234408900497694,0.84799308950886,0.4190993854427095,0.1302900229963414
cand_airbnb,holdout,1,0,global,,12000,202,0.9264234426270118,0.350912883591949,0.11056418563942702,0.84799308950886,0.4326461395657245,0.1300444167740406
cand_airbnb,holdout,1,0,pattern_k0,0,12000,202,0.9266499909770826,0.3501238273494587,0.11028665808507336,0.8445718894440423,0.42877697234340384,0.12576108717416057
cand_airbnb,holdout,1,0,hier_cv,10,12000,202,0.9269911709021251,0.3499171444865671,0.11029324225216353,0.8572028442881525,0.41439910718510914,0.1262901965365199
cand_airbnb,holdout,1,1,tree,,12000,229,0.9287567715773947,0.3558516153186733,0.11162497617549699,0.9004715802013387,0.3407368007511612,0.10737459047707185
cand_airbnb,holdout,1,1,global,,12000,229,0.9287567715773947,0.3459322680061114,0.1096497418263967,0.9004715802013387,0.34481555845438516,0.10903247542081979
