dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_nhanes,holdout,0,0,tree,,2943,884,0.5890078140913748,0.1554184693177646,0.04382072164344204,0.775193633744013,0.18887844203766288,0.056456632383662546
cand_nhanes,holdout,0,0,global,,2943,884,0.5890078140913748,0.15541824037745794,0.04379069307206636,0.775193633744013,0.18923256310569445,0.05645061235637046
cand_nhanes,holdout,0,0,pattern_k0,0,2943,884,0.5779589203812154,0.15739514057009432,0.044510411972905096,0.7569088152948518,0.1969342272403492,0.059150162878823964
cand_nhanes,holdout,0,0,hier_cv,10000,2943,884,0.5889633036050562,0.15541870381111877,0.04379145797736608,0.7752228766719879,0.18923735132018701,0.056451931782885996
cand_nhanes,holdout,0,1,tree,,2943,888,0.5769074481384142,0.1557596956271004,0.04443976432374117,0.72661931274109,0.1986268773201741,0.06040032980058729
cand_nhanes,holdout,0,1,global,,2943,888,0.5769074481384142,0.1560616958551699,0.04440395673583522,0.72661931274109,0.19883051503331248,0.06030411248532103
cand_nhanes,holdout,0,1,pattern_k0,0,2943,888,0.565412619879413,0.16262389061858884,0.04478152580269307,0.706130505178632,0.22038602739977467,0.06146870582103156
cand_nhanes,holdout,0,1,hier_cv,10000,2943,888,0.576943635143824,0.1560489632776291,0.04440335569394914,0.7265888611733589,0.19882786397912272,0.06030370080511006
cand_nhanes,holdout,0,2,tree,,2943,952,0.5157202576102651,0.16612865336101676,0.047786937877077794,0.655255007183192,0.2082655211242364,0.06348522498790787
cand_nhanes,holdout,0,2,global,,2943,952,0.5157202576102651,0.16575856369849334,0.047653429401334726,0.655255007183192,0.20743147089691535,0.06322866479502885
cand_nhanes,holdout,0,2,pattern_k0,0,2943,952,0.31271822206957833,0.6653331913933609,0.06134346068429551,0.6094987773721708,0.35888466242500305,0.06673743507476275
cand_nhanes,holdout,0,2,hier_cv,1000,2943,952,0.5153540549301281,0.16591229985811085,0.047684305474794866,0.655392226419652,0.20744508606922407,0.06323070332580416
cand_nhanes,holdout,0,3,tree,,2943,899,0.6127992643664816,0.1533744542779203,0.04249167452938476,0.7695654075295689,0.19830677333384464,0.057163735154412955
cand_nhanes,holdout,0,3,global,,2943,899,0.6127992643664816,0.15343544376523777,0.04247566361742149,0.7695654075295689,0.19799769280809307,0.0571616070086126
cand_nhanes,holdout,0,3,pattern_k0,0,2943,899,0.5682434847344817,0.16595254596585937,0.04365782806717204,0.6924895031007039,0.23818752525231862,0.06067219182475838
cand_nhanes,holdout,0,3,hier_cv,10000,2943,899,0.6128053299797779,0.1534346951934872,0.042476492099629115,0.7695260099573369,0.19800507576193377,0.05716211960770177
cand_nhanes,holdout,0,4,tree,,2943,905,0.6066816907120912,0.15228622644778286,0.04291419051780563,0.77168284325544,0.1925344241521111,0.058203548794253594
cand_nhanes,holdout,0,4,global,,2943,905,0.6066816907120912,0.15255222154486328,0.042909116267501386,0.77168284325544,0.19235965919306225,0.05811776552849857
cand_nhanes,holdout,0,4,pattern_k0,0,2943,905,0.6005171155790008,0.15448359180683113,0.043363120752289985,0.760814980591254,0.1972651446677857,0.05975125950574762
cand_nhanes,holdout,0,4,hier_cv,10000,2943,905,0.6066229485689784,0.15253847696354614,0.04290770329222659,0.7716902088566426,0.1923560389445887,0.058117147864470864
cand_nhanes,holdout,1,0,tree,,2943,869,0.5728226502057957,0.1583798711242263,0.04461409147280406,0.7420950828809035,0.19756945717662952,0.05984585931635844
