dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_porto,holdout,0,0,tree,,12000,214,0.06711674103903723,0.15225306281437617,0.03474648829344868,0.05987531286368415,0.1911116106939576,0.04523469004372899
cand_porto,holdout,0,0,global,,12000,214,0.06711674103903723,0.1524886931365091,0.034768534165563796,0.05987531286368415,0.1886784318502015,0.044713471562918515
cand_porto,holdout,0,0,pattern_k0,0,12000,214,0.06467442542268204,0.1525386503853663,0.03478429664202167,0.07916675640575195,0.18109047820160487,0.044096632522227834
cand_porto,holdout,0,0,hier_cv,10000,12000,214,0.06717117784014943,0.15246800751020595,0.0347675110687463,0.05973406992583105,0.18867365501334307,0.04471326511198168
cand_porto,holdout,0,1,tree,,12000,231,0.06094136277109667,0.15309534575481332,0.034852790575068064,0.07969396289175579,0.1755169276162694,0.04142959741364577
cand_porto,holdout,0,1,global,,12000,231,0.06094136277109667,0.15301635218189813,0.034824823903511035,0.07969396289175579,0.17488411360288247,0.041222370973348084
cand_porto,holdout,0,1,pattern_k0,0,12000,231,0.0551529152841153,0.15418952252515608,0.03492012498401222,0.045846988071578984,0.19715838673423156,0.042763490292079764
cand_porto,holdout,0,1,hier_cv,1000,12000,231,0.06078601697399669,0.1530930355736162,0.03482779666143743,0.07932923101084306,0.17493549271411768,0.041230538886582846
cand_porto,holdout,0,2,tree,,12000,224,0.05853803216619754,0.15415780674996143,0.03491213346948385,0.16078426367346677,0.20234122397417456,0.04928285902478383
cand_porto,holdout,0,2,global,,12000,224,0.05853803216619754,0.15372748645178613,0.03486588566450874,0.16078426367346677,0.20223530883985394,0.04956258029312726
cand_porto,holdout,0,2,pattern_k0,0,12000,224,0.05612819571583762,0.1539695758245484,0.03489483253662956,0.1366953812753609,0.2058905624257748,0.05005814993335578
cand_porto,holdout,0,2,hier_cv,1000,12000,224,0.05861134246043197,0.15368984073646674,0.034863101274667394,0.1619559466280988,0.2022227017833708,0.04955573429993806
cand_porto,holdout,0,3,tree,,12000,235,0.06986503456129983,0.15230617590723433,0.03478790142722348,0.27030574173831373,0.18681361601465704,0.045788162801131335
cand_porto,holdout,0,3,global,,12000,235,0.06986503456129983,0.15260567812722992,0.034824935300494485,0.27030574173831373,0.19006330682448533,0.046851813199298376
cand_porto,holdout,0,3,pattern_k0,0,12000,235,0.07144299252324822,0.15251829632894465,0.034806531539126176,0.16206624171299197,0.1961643655037932,0.04748047757987087
cand_porto,holdout,0,3,hier_cv,1000,12000,235,0.06986347804329031,0.1524598612832357,0.03481617864413706,0.2696017688044735,0.19010057446957562,0.046852473473264905
