dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
sweep_42739,holdout,0,0,tree,,12000,1344,0.7469849850161909,0.4424975010134926,0.14488024635150357,0.768925663688935,0.488518163644943,0.1611892243671946
sweep_42739,holdout,0,0,global,,12000,1344,0.7469849850161909,0.43962282460526975,0.14438790693245582,0.768925663688935,0.4895330400313413,0.1617609170664148
sweep_42739,holdout,0,0,pattern_k0,0,12000,1344,0.7544270176511871,0.4368997913596266,0.14328164738488613,0.7668818264007257,0.48281701925712844,0.15831899271624725
sweep_42739,holdout,0,0,hier_cv,10,12000,1344,0.7554641148094268,0.43670483368329005,0.1432527376104148,0.7741479200389658,0.48273066854652075,0.15844232235187897
sweep_42739,holdout,0,1,tree,,12000,1308,0.7458535882289605,0.44488938626249863,0.14562515757256705,0.7743195845614133,0.4863653610121156,0.16093158609454367
sweep_42739,holdout,0,1,global,,12000,1308,0.7458535882289605,0.4422372442746215,0.14520965679867914,0.7743195845614133,0.484461593497981,0.1608276708600747
sweep_42739,holdout,0,1,pattern_k0,0,12000,1308,0.7516311230036594,0.4437874540061713,0.1450315936406796,0.7806394310106319,0.5043805977571126,0.15962571166000922
sweep_42739,holdout,0,1,hier_cv,10,12000,1308,0.7530805338606379,0.44054188676259853,0.1447442646315138,0.7894281914818763,0.47562330044233364,0.15740465283095517
sweep_42739,holdout,0,2,tree,,12000,1320,0.752538527632631,0.44371400064644034,0.1446240149800074,0.7493582396051254,0.49301783853299425,0.16303442667860008
sweep_42739,holdout,0,2,global,,12000,1320,0.752538527632631,0.44150544097956146,0.14412371586346856,0.7493582396051254,0.49443419481546946,0.16365867967749775
sweep_42739,holdout,0,2,pattern_k0,0,12000,1320,0.7612690853486395,0.43963179767398164,0.14343213671686092,0.7653242725781535,0.4921500275396884,0.1607902916515955
sweep_42739,holdout,0,2,hier_cv,10,12000,1320,0.7615192485518957,0.43888081998548995,0.14328419444556306,0.7683603205254457,0.4847905140058292,0.15969140886390026
sweep_42739,holdout,0,3,tree,,12000,1305,0.7591326920118209,0.44057306284745434,0.14351334909669425,0.7585400062326381,0.49664819110501296,0.16516273901372935
sweep_42739,holdout,0,3,global,,12000,1305,0.7591326920118209,0.4369986851998172,0.14273832420013602,0.7585400062326381,0.4980513764663974,0.16597139607559014
sweep_42739,holdout,0,3,pattern_k0,0,12000,1305,0.7646093255500427,0.4346945537891479,0.1419104184582319,0.779269258941713,0.4873302879160486,0.16098237603905027
sweep_42739,holdout,0,3,hier_cv,10,12000,1305,0.7647136312072899,0.4345231241802268,0.14192623900711615,0.7720653154329838,0.4881527448649889,0.16187043881576568
