dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_acs_income,holdout,0,0,tree,,12000,4377,0.789225175683104,0.3320667606816447,0.10525154334481476,0.7673337435610137,0.25266226577604967,0.07860805473359404
cand_acs_income,holdout,0,0,global,,12000,4377,0.789225175683104,0.33118932908376997,0.10515386785779132,0.7673337435610137,0.25250995039599955,0.07861532489104162
cand_acs_income,holdout,0,0,pattern_k0,0,12000,4377,0.7611892019785288,0.34946292330247697,0.1083621133796385,0.6844214141101921,0.3002094733175549,0.08759184670534648
cand_acs_income,holdout,0,0,hier_cv,10,12000,4377,0.7892630545596064,0.33100279926384557,0.1050931924875945,0.7646309497570214,0.2536678055480616,0.07892729507007049
cand_acs_income,holdout,0,0,switch_cv,global,12000,4377,0.789225175683104,0.33118932908376997,0.10515386785779132,0.7673337435610137,0.25250995039599955,0.07861532489104162
cand_acs_income,holdout,0,1,tree,,12000,4285,0.7921628799018988,0.3287542046515902,0.10398006043112568,0.7833439467635124,0.25483593814632277,0.08019439214596079
cand_acs_income,holdout,0,1,global,,12000,4285,0.7921628799018988,0.3272791205620981,0.10370533819368825,0.7833439467635124,0.25391370767059357,0.08006941918543294
cand_acs_income,holdout,0,1,pattern_k0,0,12000,4285,0.7688761958789185,0.3411917880221828,0.10572327620040621,0.7172564735568572,0.2913298915172855,0.0855025285424932
cand_acs_income,holdout,0,1,hier_cv,100,12000,4285,0.7921623670287214,0.3269980333237034,0.10358820135269621,0.7846888631300182,0.2532517675873208,0.07986451263857014
cand_acs_income,holdout,0,1,switch_cv,global,12000,4285,0.7921628799018988,0.3272791205620981,0.10370533819368825,0.7833439467635124,0.25391370767059357,0.08006941918543294
cand_acs_income,holdout,0,2,tree,,12000,4252,0.7926531217783109,0.32765981283918255,0.10396531265756793,0.7723769446379108,0.24548565812419798,0.07763255499192122
cand_acs_income,holdout,0,2,global,,12000,4252,0.7926531217783109,0.3263275147868507,0.10381991748928283,0.7723769446379108,0.2443676782969748,0.07759314453161588
cand_acs_income,holdout,0,2,pattern_k0,0,12000,4252,0.7839660614124238,0.33075439022298403,0.10484311181004474,0.7461260465651357,0.2584073955093312,0.08102562422903326
cand_acs_income,holdout,0,2,hier_cv,100,12000,4252,0.793519182803633,0.3258867319761342,0.10369663327572133,0.7737299560639824,0.24451537935559056,0.0775992529637187
cand_acs_income,holdout,0,2,switch_cv,global,12000,4252,0.7926531217783109,0.3263275147868507,0.10381991748928283,0.7723769446379108,0.2443676782969748,0.07759314453161588
cand_acs_income,holdout,0,3,tree,,12000,4397,0.7916060529263867,0.3287055846597946,0.10356208720646995,0.7549967483500046,0.2575879100504873,0.08095400868331812
cand_acs_income,holdout,0,3,global,,12000,4397,0.7916060529263867,0.3275989343323261,0.10331182078858882,0.7549967483500046,0.2566913171437679,0.08072717453921792
cand_acs_income,holdout,0,3,pattern_k0,0,12000,4397,0.7613282961118595,0.34823516419780737,0.1062446022492581,0.6684785911057598,0.3159601410542324,0.08980552715128168
cand_acs_income,holdout,0,3,hier_cv,100,12000,4397,0.792671218211741,0.3269742071772872,0.1030810873124553,0.7550071276569824,0.25672733983231033,0.08071806782628159
cand_acs_income,holdout,0,3,switch_cv,global,12000,4397,0.7916060529263867,0.3275989343323261,0.10331182078858882,0.7549967483500046,0.2566913171437679,0.08072717453921792
cand_acs_income,holdout,0,4,tree,,12000,4323,0.7954986977823439,0.3274449636685331,0.1035400369608107,0.7733959403868093,0.24915943901198206,0.0784575626172806
cand_acs_income,holdout,0,4,global,,12000,4323,0.7954986977823439,0.3262682527452869,0.10331224289428885,0.7733959403868093,0.24883431202107523,0.07844759558907989
