dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_airbnb,holdout,0,0,tree,,12000,216,0.9242864729759449,0.3628878618679669,0.11440398030726279,0.8928390768711993,0.38757640545895444,0.11871964925829818
cand_airbnb,holdout,0,0,global,,12000,216,0.9242864729759449,0.35648323280169636,0.11320640289532438,0.8928390768711993,0.39386770972486956,0.1181625774540331
cand_airbnb,holdout,0,0,pattern_k0,0,12000,216,0.9242684933065753,0.35568286500202784,0.1128312058697445,0.8664256673509709,0.41395857642888495,0.12150564054662098
cand_airbnb,holdout,0,0,hier_cv,10,12000,216,0.9248158869677398,0.35506496855264214,0.1126784336900112,0.8845270639626539,0.3821468583661527,0.1156387708525643
cand_airbnb,holdout,0,0,switch_cv,k0,12000,216,0.9242684933065753,0.35568286500202784,0.1128312058697445,0.8664256673509709,0.41395857642888495,0.12150564054662098
cand_airbnb,holdout,0,1,tree,,12000,226,0.9257674281404273,0.35938896183045516,0.11323365488819019,0.8602271421456907,0.3721020175229262,0.11665633831928607
cand_airbnb,holdout,0,1,global,,12000,226,0.9257674281404273,0.35148638346645006,0.1117081573034759,0.8602271421456907,0.3821674167527098,0.11794373556601426
cand_airbnb,holdout,0,1,pattern_k0,0,12000,226,0.9259938574048118,0.3503378502117022,0.11131918118934099,0.875945104969254,0.36463279296603973,0.11372008134692235
cand_airbnb,holdout,0,1,hier_cv,10,12000,226,0.9261791133158449,0.3502726604053716,0.11135084008549583,0.8718663351857533,0.3680919257075405,0.11469082038915804
cand_airbnb,holdout,0,1,switch_cv,global,12000,226,0.9257674281404273,0.35148638346645006,0.1117081573034759,0.8602271421456907,0.3821674167527098,0.11794373556601426
cand_airbnb,holdout,0,2,tree,,12000,236,0.927153355816738,0.35790757902902304,0.11261052050690414,0.9387943741530335,0.3517475831449478,0.10955051755970253
cand_airbnb,holdout,0,2,global,,12000,236,0.927153355816738,0.3497484495975793,0.11118543967034455,0.9387943741530335,0.34400271250919157,0.1077749084772715
cand_airbnb,holdout,0,2,pattern_k0,0,12000,236,0.9272448884726111,0.34949292557454753,0.11102038070823854,0.9454018306442113,0.33874762700953454,0.10393094415792804
cand_airbnb,holdout,0,2,hier_cv,10,12000,236,0.9271381336703725,0.3497111755730762,0.11110978005477405,0.9399614759477489,0.343359553503066,0.1057824208589228
cand_airbnb,holdout,0,2,switch_cv,k0,12000,236,0.9272448884726111,0.34949292557454753,0.11102038070823854,0.9454018306442113,0.33874762700953454,0.10393094415792804
cand_airbnb,holdout,0,3,tree,,12000,200,0.9282347335989374,0.35314094004218743,0.11046361893981874,0.8282589428253821,0.40249675485764913,0.12667386912484704
cand_airbnb,holdout,0,3,global,,12000,200,0.9282347335989374,0.34505185920367665,0.10872134605469931,0.8282589428253821,0.42176086526489587,0.12837191746421792
