dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_higgs,holdout,0,0,tree,,12000,0,0.8365537050859954,0.3722938467714681,0.11766389385066356,nan,nan,nan
cand_higgs,holdout,0,0,global,,12000,0,0.8365537050859954,0.37145708322080767,0.11764541786268376,nan,nan,nan
cand_higgs,holdout,0,0,pattern_k0,0,12000,0,0.8371818094264929,0.37086930521896766,0.11742508222164019,nan,nan,nan
cand_higgs,holdout,0,0,hier_cv,10,12000,0,0.837210490327771,0.37080079911934083,0.11738711833477752,nan,nan,nan
cand_higgs,holdout,0,0,switch_cv,k0,12000,0,0.8371818094264929,0.37086930521896766,0.11742508222164019,nan,nan,nan
cand_higgs,holdout,0,1,tree,,12000,0,0.8432371212523354,0.36892260812398353,0.11602617574275238,nan,nan,nan
cand_higgs,holdout,0,1,global,,12000,0,0.8432371212523354,0.3674291050436788,0.11582279891927034,nan,nan,nan
cand_higgs,holdout,0,1,pattern_k0,0,12000,0,0.8430377888937023,0.36751968722858497,0.11578891700316475,nan,nan,nan
cand_higgs,holdout,0,1,hier_cv,10,12000,0,0.8430941898611615,0.3674197471201084,0.11576979814274159,nan,nan,nan
cand_higgs,holdout,0,1,switch_cv,k0,12000,0,0.8430377888937023,0.36751968722858497,0.11578891700316475,nan,nan,nan
cand_higgs,holdout,0,2,tree,,12000,0,0.8349135504633096,0.37175056184413036,0.11726624614534349,nan,nan,nan
cand_higgs,holdout,0,2,global,,12000,0,0.8349135504633096,0.37070256835823695,0.1170985236401427,nan,nan,nan
cand_higgs,holdout,0,2,pattern_k0,0,12000,0,0.8350186210089297,0.3702928800614778,0.11689089772508054,nan,nan,nan
cand_higgs,holdout,0,2,hier_cv,10,12000,0,0.8348679358699234,0.3704173081159776,0.11694196076235401,nan,nan,nan
cand_higgs,holdout,0,2,switch_cv,k0,12000,0,0.8350186210089297,0.3702928800614778,0.11689089772508054,nan,nan,nan
cand_higgs,holdout,0,3,tree,,12000,0,0.8447776095928956,0.36569342550757333,0.11531162530499084,nan,nan,nan
cand_higgs,holdout,0,3,global,,12000,0,0.8447776095928956,0.36418418673683695,0.11517415125378229,nan,nan,nan
cand_higgs,holdout,0,3,pattern_k0,0,12000,0,0.8451496530893143,0.3634919711341566,0.11494069453786532,nan,nan,nan
cand_higgs,holdout,0,3,hier_cv,10,12000,0,0.8450692891623841,0.36350199854276777,0.1149362800746079,nan,nan,nan
cand_higgs,holdout,0,3,switch_cv,k0,12000,0,0.8451496530893143,0.3634919711341566,0.11494069453786532,nan,nan,nan
cand_higgs,holdout,0,4,tree,,12000,0,0.8364949334553659,0.37437002982927925,0.11883306826230398,nan,nan,nan
cand_higgs,holdout,0,4,global,,12000,0,0.8364949334553659,0.37334852054627976,0.11884700075812425,nan,nan,nan
