dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
cand_nhanes,holdout,0,0,tree,,2943,884,0.5890078140913748,0.1554184693177646,0.04382072164344204,0.775193633744013,0.18887844203766288,0.056456632383662546
cand_nhanes,holdout,0,0,global,,2943,884,0.5890078140913748,0.15541824037745794,0.04379069307206636,0.775193633744013,0.18923256310569445,0.05645061235637046
cand_nhanes,holdout,0,0,pattern_k0,0,2943,884,0.5779589203812154,0.15739514048318498,0.04451041199245042,0.7569088152948518,0.1969342272240473,0.05915016308965648
cand_nhanes,holdout,0,0,hier_cv,10000,2943,884,0.5889633036050562,0.1554187038127812,0.043791457977092135,0.7752228766719879,0.18923735131619643,0.05645193178160486
cand_nhanes,holdout,0,0,switch_cv,global,2943,884,0.5890078140913748,0.15541824037745794,0.04379069307206636,0.775193633744013,0.18923256310569445,0.05645061235637046
cand_nhanes,holdout,0,1,tree,,2943,888,0.5769074481384142,0.1557596956271004,0.04443976432374117,0.72661931274109,0.1986268773201741,0.06040032980058729
cand_nhanes,holdout,0,1,global,,2943,888,0.5769074481384142,0.1560616959539837,0.04440395689830729,0.72661931274109,0.1988305153213445,0.06030411276577632
cand_nhanes,holdout,0,1,pattern_k0,0,2943,888,0.565412619879413,0.16261839587364132,0.04478187603952174,0.706130505178632,0.22036781700324798,0.061469866252330016
cand_nhanes,holdout,0,1,hier_cv,10000,2943,888,0.576943635143824,0.15604896338198132,0.044403355856255246,0.7265888611733589,0.1988278642677003,0.060303701085417126
cand_nhanes,holdout,0,1,switch_cv,global,2943,888,0.5769074481384142,0.1560616959539837,0.04440395689830729,0.72661931274109,0.1988305153213445,0.06030411276577632
cand_nhanes,holdout,0,2,tree,,2943,952,0.5157202576102651,0.16612865336101676,0.047786937877077794,0.655255007183192,0.2082655211242364,0.06348522498790787
cand_nhanes,holdout,0,2,global,,2943,952,0.5157202576102651,0.16575856366893252,0.047653429412135975,0.655255007183192,0.20743147066860973,0.06322866477398897
cand_nhanes,holdout,0,2,pattern_k0,0,2943,952,0.31271822206957833,0.6653329966577178,0.06134346046009703,0.6094987773721708,0.3588841667881736,0.06673743453568451
cand_nhanes,holdout,0,2,hier_cv,1000,2943,952,0.5153540549301281,0.16591229985590802,0.04768430548025947,0.655392226419652,0.20744508581710738,0.06323070330102942
cand_nhanes,holdout,0,2,switch_cv,global,2943,952,0.5157202576102651,0.16575856366893252,0.047653429412135975,0.655255007183192,0.20743147066860973,0.06322866477398897
cand_nhanes,holdout,0,3,tree,,2943,899,0.6127992643664816,0.1533744542779203,0.04249167452938476,0.7695654075295689,0.19830677333384464,0.057163735154412955
cand_nhanes,holdout,0,3,global,,2943,899,0.6127992643664816,0.1534354441074592,0.04247566368226757,0.7695654075295689,0.19799769299266898,0.05716160723692985
cand_nhanes,holdout,0,3,pattern_k0,0,2943,899,0.5682434847344817,0.16595257650750236,0.043657828147801045,0.6924895031007039,0.23818762618362263,0.06067219270783172
cand_nhanes,holdout,0,3,hier_cv,10000,2943,899,0.6128053299797779,0.15343469553046007,0.04247649216449784,0.7695260099573369,0.19800507594237096,0.057162119835329483
cand_nhanes,holdout,0,3,switch_cv,global,2943,899,0.6127992643664816,0.1534354441074592,0.04247566368226757,0.7695654075295689,0.19799769299266898,0.05716160723692985
