dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
mimic4,holdout,0,0,tree,,6694,3525,0.45440006793722604,0.2616045544049191,0.07691270332243873,0.4346693564131768,0.30090246966811157,0.08990708623255324
mimic4,holdout,0,0,global,,6694,3525,0.45440006793722604,0.2615442914824833,0.07699771338266863,0.4346693564131768,0.3010524576830134,0.09000803804431659
mimic4,holdout,0,0,pattern_k0,0,6694,3525,0.40588244019396796,0.28241160495446005,0.0800427486361178,0.37337073182278474,0.34213819433978404,0.09581047770355887
mimic4,holdout,0,0,hier_cv,100,6694,3525,0.45501284906186007,0.2611104542466649,0.07693220462031056,0.4351802977305502,0.30101019554869546,0.08995141233162136
mimic4,holdout,0,0,switch_cv,global,6694,3525,0.45440006793722604,0.2615442914824833,0.07699771338266863,0.4346693564131768,0.3010524576830134,0.09000803804431659
mimic4,holdout,0,1,tree,,6694,3535,0.4434283687328038,0.26531447461567603,0.07757420243596223,0.4250761390272483,0.2956095096869028,0.0870831077225019
mimic4,holdout,0,1,global,,6694,3535,0.4434283687328038,0.2651424495415752,0.0774989129227113,0.4250761390272483,0.2956188856864754,0.08702431895525053
mimic4,holdout,0,1,pattern_k0,0,6694,3535,0.41433601457881236,0.27415054138123524,0.07927069440691625,0.3792349527892517,0.31401547070439684,0.09065929733728155
mimic4,holdout,0,1,hier_cv,1000,6694,3535,0.4434911084471961,0.2650498914432279,0.0774886605161013,0.4245368878527884,0.29566592649355594,0.08702773981742144
mimic4,holdout,0,1,switch_cv,global,6694,3535,0.4434283687328038,0.2651424495415752,0.0774989129227113,0.4250761390272483,0.2956188856864754,0.08702431895525053
mimic4,holdout,0,2,tree,,6694,3623,0.4614851103135574,0.2585829272407237,0.07619857884018141,0.45242053741314747,0.2856993323042662,0.08570242218373623
mimic4,holdout,0,2,global,,6694,3623,0.4614851103135574,0.2583494716795842,0.07616915223301524,0.45242053741314747,0.2854429673204687,0.0856629561657446
mimic4,holdout,0,2,pattern_k0,0,6694,3623,0.4165889235321107,0.27084865069894465,0.07882279971366002,0.39505461365312816,0.30862110267705206,0.09028073690273926
mimic4,holdout,0,2,hier_cv,10000,6694,3623,0.4613163943423127,0.2583490426130606,0.07617072044471437,0.4520388641708715,0.28543927969713406,0.08566367868664253
mimic4,holdout,0,2,switch_cv,global,6694,3623,0.4614851103135574,0.2583494716795842,0.07616915223301524,0.45242053741314747,0.2854429673204687,0.0856629561657446
mimic4,holdout,0,3,tree,,6694,3676,0.4525624478509834,0.25858507445755485,0.07673385072143557,0.44315224010475324,0.2919304572676133,0.08841813476692174
mimic4,holdout,0,3,global,,6694,3676,0.4525624478509834,0.25815790150914214,0.07668705289215356,0.44315224010475324,0.29150463780853747,0.08834765393138305
mimic4,holdout,0,3,pattern_k0,0,6694,3676,0.4311529550113683,0.30692219010918104,0.07825031473904422,0.4080778704443184,0.3413591702833622,0.09118162645278692
mimic4,holdout,0,3,hier_cv,10000,6694,3676,0.4525539568454427,0.2581557232433016,0.07669009805615926,0.4430664781376508,0.29152367588891265,0.08835463022342056
mimic4,holdout,0,3,switch_cv,global,6694,3676,0.4525624478509834,0.25815790150914214,0.07668705289215356,0.44315224010475324,0.29150463780853747,0.08834765393138305
mimic4,holdout,0,4,tree,,6694,3629,0.4178865769812187,0.26637374517007106,0.0790100916728427,0.38808684279785255,0.3020028413050935,0.09060701422082301
mimic4,holdout,0,4,global,,6694,3629,0.4178865769812187,0.26628817116746745,0.07902646070792012,0.38808684279785255,0.30207644167063785,0.09064260476701591
mimic4,holdout,0,4,pattern_k0,0,6694,3629,0.4007029644670018,0.27114916619645585,0.08065027072857285,0.36479414794973825,0.3122425463339036,0.09341706336827581
mimic4,holdout,0,4,hier_cv,1000,6694,3629,0.41827701376772985,0.26615467981899327,0.07901743856540457,0.388433398543113,0.30198288177820476,0.09062462992752138
mimic4,holdout,0,4,switch_cv,global,6694,3629,0.4178865769812187,0.26628817116746745,0.07902646070792012,0.38808684279785255,0.30207644167063785,0.09064260476701591
mimic4,holdout,1,0,tree,,6694,3571,0.4642096059698248,0.258523707498741,0.07599602604726653,0.431756721284679,0.303166010796977,0.0903256578683298
