dataset,slice,seed,fold,arm,kappa,n_test,n_small,auprc,logloss,brier,small_auprc,small_logloss,small_brier
sweep_41275,holdout,0,0,tree,,12000,53,0.8098680458940996,0.5014236804688638,0.16691906900460307,0.723081031988049,0.46039207304297297,0.1488890925840555
sweep_41275,holdout,0,0,global,,12000,53,0.8098680458940996,0.5003005005698421,0.16663593682009445,0.723081031988049,0.463190270824169,0.1493537784357725
sweep_41275,holdout,0,0,pattern_k0,0,12000,53,0.8118473281608312,0.49855415103617784,0.16584454727918133,0.7192183677345179,0.4640363884521752,0.15111689266229117
sweep_41275,holdout,0,0,hier_cv,10,12000,53,0.8114001893831562,0.4989767325287468,0.16603534710193363,0.7191398481651301,0.46431044749681866,0.15122320092652167
sweep_41275,holdout,0,0,switch_cv,k0,12000,53,0.8118473281608312,0.49855415103617784,0.16584454727918133,0.7192183677345179,0.4640363884521752,0.15111689266229117
sweep_41275,holdout,0,1,tree,,12000,63,0.8063374202160698,0.5053124114928458,0.16867179881354977,0.7891956124947683,0.6400961075047862,0.2180724278089826
sweep_41275,holdout,0,1,global,,12000,63,0.8063374202160698,0.5045962608752192,0.16852130308104968,0.7891956124947683,0.654107455640656,0.22102911949698412
sweep_41275,holdout,0,1,pattern_k0,0,12000,63,0.8068668908764586,0.5039306939910235,0.16828686252203684,0.7962593702532711,0.5978192455594042,0.20550476028080802
sweep_41275,holdout,0,1,hier_cv,10,12000,63,0.8069617813696104,0.5039229762399643,0.16828840556497116,0.7900875456768065,0.6129131878785337,0.21069480892708953
sweep_41275,holdout,0,1,switch_cv,k0,12000,63,0.8068668908764586,0.5039306939910235,0.16828686252203684,0.7962593702532711,0.5978192455594042,0.20550476028080802
sweep_41275,holdout,0,2,tree,,12000,55,0.7944251542042828,0.5119670585471803,0.17127326329393155,0.6126312492853846,0.43431592469635333,0.14060460834609853
sweep_41275,holdout,0,2,global,,12000,55,0.7944251542042828,0.5116758343875748,0.17121536286441028,0.6126312492853846,0.4351636746402292,0.14090320087315736
sweep_41275,holdout,0,2,pattern_k0,0,12000,55,0.794494416838103,0.510670232941831,0.17067396809585625,0.6190233620983971,0.4667343506247419,0.14950736909519793
sweep_41275,holdout,0,2,hier_cv,10,12000,55,0.7946143158478787,0.5106629619253982,0.170687480298791,0.6064336346733517,0.4431428237114383,0.14348470972468955
sweep_41275,holdout,0,2,switch_cv,k0,12000,55,0.794494416838103,0.510670232941831,0.17067396809585625,0.6190233620983971,0.4667343506247419,0.14950736909519793
sweep_41275,holdout,0,3,tree,,12000,54,0.8067462133596037,0.5065999158700814,0.16928302190862432,0.7278165772934795,0.45238420509174593,0.1447329342527792
sweep_41275,holdout,0,3,global,,12000,54,0.8067462133596037,0.5056313446647704,0.16909262287651863,0.7278165772934795,0.4532174734974944,0.14473530051697153
sweep_41275,holdout,0,3,pattern_k0,0,12000,54,0.8086743132999696,0.504017855798059,0.16835013158519813,0.672981165338989,0.49881975295566494,0.16274944855839293
sweep_41275,holdout,0,3,hier_cv,10,12000,54,0.8083887440070886,0.5043351921691891,0.16849748564883027,0.7197088455644242,0.4690379881118159,0.15102770686686387
sweep_41275,holdout,0,3,switch_cv,k0,12000,54,0.8086743132999696,0.504017855798059,0.16835013158519813,0.672981165338989,0.49881975295566494,0.16274944855839293
sweep_41275,holdout,0,4,tree,,12000,57,0.7921899609329635,0.5121749618853652,0.17158086949858295,0.775988623590377,0.5491914278607112,0.18918344904382195
sweep_41275,holdout,0,4,global,,12000,57,0.7921899609329635,0.5120645391609887,0.1716066691051085,0.775988623590377,0.5613756624628112,0.19229284048806033
sweep_41275,holdout,0,4,pattern_k0,0,12000,57,0.7946448637982201,0.5102632967725302,0.17089725428213265,0.7657904883922418,0.5149613905999383,0.17839174700059252
sweep_41275,holdout,0,4,hier_cv,10,12000,57,0.7942983423009855,0.5105437929554709,0.17103632994754026,0.7767396717846071,0.5263185740414967,0.18208031635774305
sweep_41275,holdout,0,4,switch_cv,k0,12000,57,0.7946448637982201,0.5102632967725302,0.17089725428213265,0.7657904883922418,0.5149613905999383,0.17839174700059252
sweep_41275,holdout,1,0,tree,,12000,67,0.7995003479560937,0.5111240177593146,0.17104241063229703,0.7962045188036371,0.3979649052403052,0.1312313308184317
sweep_41275,holdout,1,0,global,,12000,67,0.7995003479560937,0.5107327983848733,0.17099035724080944,0.7962045188036371,0.3950436236615506,0.1310608789768423
sweep_41275,holdout,1,0,pattern_k0,0,12000,67,0.800058857810642,0.5103858261521121,0.17080741433275512,0.7624998111350985,0.4186100510324765,0.1359859353612031
sweep_41275,holdout,1,0,hier_cv,10,12000,67,0.800181406919309,0.5102433984390409,0.17073679724613328,0.7927074817474775,0.4038955165885645,0.13132937518777987
sweep_41275,holdout,1,0,switch_cv,k0,12000,67,0.800058857810642,0.5103858261521121,0.17080741433275512,0.7624998111350985,0.4186100510324765,0.1359859353612031
sweep_41275,holdout,1,1,tree,,12000,50,0.8077188276472438,0.5020165350231284,0.16737355871128304,0.8073520603628571,0.45521205255463343,0.1478977634444926
sweep_41275,holdout,1,1,global,,12000,50,0.8077188276472438,0.5010466332889415,0.16714586835747178,0.8073520603628571,0.45852255093905775,0.14856519151795988
sweep_41275,holdout,1,1,pattern_k0,0,12000,50,0.8093932588539064,0.49955994793603803,0.16648373481753448,0.7934541754955078,0.4553866855338953,0.14903291515438752
sweep_41275,holdout,1,1,hier_cv,10,12000,50,0.8091681921473557,0.4996618642993946,0.1665391190622696,0.8100057601710284,0.44551664688441195,0.14527508312371004
sweep_41275,holdout,1,1,switch_cv,k0,12000,50,0.8093932588539064,0.49955994793603803,0.16648373481753448,0.7934541754955078,0.4553866855338953,0.14903291515438752
sweep_41275,holdout,1,2,tree,,12000,52,0.8069121573138609,0.5039885765776126,0.16818938034409817,0.5898805596612614,0.680846312260386,0.23327118014706383
sweep_41275,holdout,1,2,global,,12000,52,0.8069121573138609,0.5030688365920396,0.16800763878603436,0.5898805596612614,0.697776487531666,0.23691343491246253
sweep_41275,holdout,1,2,pattern_k0,0,12000,52,0.8076204783603157,0.5019581397196964,0.16752685719089894,0.59040280476555,0.6493473134582716,0.22720500294253354
sweep_41275,holdout,1,2,hier_cv,10,12000,52,0.8074660354530157,0.5021666955969092,0.16761066083259504,0.5739369098969642,0.6632097176935067,0.23014336750973227
sweep_41275,holdout,1,2,switch_cv,k0,12000,52,0.8076204783603157,0.5019581397196964,0.16752685719089894,0.59040280476555,0.6493473134582716,0.22720500294253354
sweep_41275,holdout,1,3,tree,,12000,50,0.7920042721943416,0.5150433046690671,0.17251098044013757,0.7022549357907414,0.4237823081665105,0.1378602946949963
sweep_41275,holdout,1,3,global,,12000,50,0.7920042721943416,0.5149553319433718,0.1725214644307242,0.7022549357907414,0.42305146344646005,0.13815029951231544
sweep_41275,holdout,1,3,pattern_k0,0,12000,50,0.7939550184937347,0.5130175809860191,0.17164921557684631,0.711945196510414,0.4466670072682227,0.141387546878794
sweep_41275,holdout,1,3,hier_cv,10,12000,50,0.7935891358991763,0.5133605502081975,0.17182577861764367,0.7096450456808514,0.43042902244327413,0.13754223302428914
