idea,cohort,arm,permuted,seed,fold,auprc,auroc,n_test,kappa_chosen
M1,mimic4,idea_M1_mean_impute,1,2,0,0.3378615488022815,0.7763026857288858,13398,
M1,mimic4,idea_M1_mean_indicator,1,2,0,0.33818901924531086,0.7745460004927524,13398,
M1,mimic4,idea_M1_mask_interaction,1,2,0,0.3335826967722839,0.7723566740579532,13398,
M1,mimic4,idea_M1_histgb_native,1,2,0,0.4158813186622677,0.8280980098276735,13398,
M1,mimic4,idea_M1_pattern_submodels,1,2,0,0.32606663299109706,0.7706894427791237,13398,
M1,mimic4,idea_M1_spsm_global,1,2,0,0.32570369673844846,0.7709839536082709,13398,
M1,mimic4,idea_M1_ours,1,2,0,0.3259140609624471,0.77065100352683,13398,
M1,mimic4,idea_M1_rooted_cv,1,2,0,0.3383736127130266,0.7732847481715691,13398,0.0
M1,mimic4,idea_M1_mean_impute,1,2,1,0.34824373061215985,0.7755600478482945,13398,
M1,mimic4,idea_M1_mean_indicator,1,2,1,0.35010986322883414,0.7764786201944448,13398,
M1,mimic4,idea_M1_mask_interaction,1,2,1,0.34754523864519027,0.77329482313578,13398,
M1,mimic4,idea_M1_histgb_native,1,2,1,0.41218903271320767,0.8208125318438129,13398,
M1,mimic4,idea_M1_pattern_submodels,1,2,1,0.34007798171710135,0.7723219321345117,13398,
M1,mimic4,idea_M1_spsm_global,1,2,1,0.33944493007065896,0.7718903467656205,13398,
M1,mimic4,idea_M1_ours,1,2,1,0.3406474819234583,0.7727420609979686,13398,
M1,mimic4,idea_M1_rooted_cv,1,2,1,0.3533045332716605,0.7775317922300612,13398,5000.0
M1,mimic4,idea_M1_mean_impute,1,2,2,0.3320450211685793,0.7670097044580683,13398,
M1,mimic4,idea_M1_mean_indicator,1,2,2,0.33250114936312347,0.7674176643468478,13398,
M1,mimic4,idea_M1_mask_interaction,1,2,2,0.32892706809281613,0.766170643679483,13398,
M1,mimic4,idea_M1_histgb_native,1,2,2,0.3920076551799533,0.8089653082766071,13398,
M1,mimic4,idea_M1_pattern_submodels,1,2,2,0.3257044445215059,0.7642686927848013,13398,
M1,mimic4,idea_M1_spsm_global,1,2,2,0.3253201033349795,0.7643207885358796,13398,
M1,mimic4,idea_M1_ours,1,2,2,0.32612902846631797,0.764416202416958,13398,
M1,mimic4,idea_M1_rooted_cv,1,2,2,0.33458926116058724,0.7670957707426728,13398,0.0
M1,mimic4,idea_M1_mean_impute,1,2,3,0.3539664219852498,0.780300533206282,13398,
M1,mimic4,idea_M1_mean_indicator,1,2,3,0.3520332729447718,0.7787044881059529,13398,
M1,mimic4,idea_M1_mask_interaction,1,2,3,0.3497281039481216,0.7770865559504662,13398,
M1,mimic4,idea_M1_histgb_native,1,2,3,0.408409226464551,0.8249395811832198,13398,
M1,mimic4,idea_M1_pattern_submodels,1,2,3,0.3454709304368212,0.7767801371782581,13398,
M1,mimic4,idea_M1_spsm_global,1,2,3,0.34511703279714756,0.7769228020195595,13398,
M1,mimic4,idea_M1_ours,1,2,3,0.3458334554793599,0.7769483369172436,13398,
M1,mimic4,idea_M1_rooted_cv,1,2,3,0.35518487251849834,0.779682394890695,13398,0.0
M1,mimic4,idea_M1_mean_impute,1,2,4,0.3304332392752435,0.7638850341847143,13397,
M1,mimic4,idea_M1_mean_indicator,1,2,4,0.33196600850642494,0.7639584969562571,13397,
M1,mimic4,idea_M1_mask_interaction,1,2,4,0.33066627242084773,0.7624833953032878,13397,
M1,mimic4,idea_M1_histgb_native,1,2,4,0.40783687596698953,0.8220939570596412,13397,
M1,mimic4,idea_M1_pattern_submodels,1,2,4,0.3183599524510877,0.7566124194290778,13397,
M1,mimic4,idea_M1_spsm_global,1,2,4,0.31780321443632603,0.756513347352859,13397,
M1,mimic4,idea_M1_ours,1,2,4,0.31868538799459456,0.7567163395919279,13397,
M1,mimic4,idea_M1_rooted_cv,1,2,4,0.332549112990901,0.7644008420841297,13397,0.0
