dataset,drop,obs_rate,arm,auprc,prevalence
eicu,none,,mean_impute,0.31341261103467816,0.08810727323785454
eicu,none,,mean_indicator,0.345159070561889,0.08810727323785454
eicu,none,,histgb_native,0.3660280884630319,0.08810727323785454
eicu,none,,pattern_submodels,0.29653458030860846,0.08810727323785454
eicu,none,,ours,0.2942127901718753,0.08810727323785454
eicu,none,,ours_projected,0.29579052489656776,0.08810727323785454
eicu,male,1.0,mean_impute,0.3133756792445115,0.08810727323785454
eicu,male,1.0,mean_indicator,0.3451265818624941,0.08810727323785454
eicu,male,1.0,histgb_native,0.3655044755831726,0.08810727323785454
eicu,male,1.0,pattern_submodels,0.08810727323785454,0.08810727323785454
eicu,male,1.0,ours,0.08810727323785454,0.08810727323785454
eicu,male,1.0,ours_projected,0.29283809719499876,0.08810727323785454
eicu,age,1.0,mean_impute,0.3024352298599071,0.08810727323785454
eicu,age,1.0,mean_indicator,0.32948307581779573,0.08810727323785454
eicu,age,1.0,histgb_native,0.3528571823302139,0.08810727323785454
eicu,age,1.0,pattern_submodels,0.08810727323785454,0.08810727323785454
eicu,age,1.0,ours,0.08810727323785454,0.08810727323785454
eicu,age,1.0,ours_projected,0.283218166003291,0.08810727323785454
eicu,potassium,0.9324186074502016,mean_impute,0.31343891147601743,0.08810727323785454
eicu,potassium,0.9324186074502016,mean_indicator,0.3427505267522956,0.08810727323785454
eicu,potassium,0.9324186074502016,histgb_native,0.36386319009613166,0.08810727323785454
eicu,potassium,0.9324186074502016,pattern_submodels,0.26465003357578865,0.08810727323785454
eicu,potassium,0.9324186074502016,ours,0.2620659338744462,0.08810727323785454
eicu,potassium,0.9324186074502016,ours_projected,0.29018096196358656,0.08810727323785454
eicu,sodium,0.9226996449419269,mean_impute,0.3073001952440249,0.08810727323785454
eicu,sodium,0.9226996449419269,mean_indicator,0.34207067544226827,0.08810727323785454
eicu,sodium,0.9226996449419269,histgb_native,0.3627406037364113,0.08810727323785454
eicu,sodium,0.9226996449419269,pattern_submodels,0.2629525211246024,0.08810727323785454
eicu,sodium,0.9226996449419269,ours,0.25987299441597667,0.08810727323785454
eicu,sodium,0.9226996449419269,ours_projected,0.28699536860511426,0.08810727323785454
eicu,creatinine,0.92194740326172,mean_impute,0.3098913517426367,0.08810727323785454
eicu,creatinine,0.92194740326172,mean_indicator,0.340681048200648,0.08810727323785454
eicu,creatinine,0.92194740326172,histgb_native,0.36143234448894207,0.08810727323785454
eicu,creatinine,0.92194740326172,pattern_submodels,0.27882816973277424,0.08810727323785454
eicu,creatinine,0.92194740326172,ours,0.27646619860290456,0.08810727323785454
eicu,creatinine,0.92194740326172,ours_projected,0.2910797036179515,0.08810727323785454
eicu,chloride,0.9204730095685142,mean_impute,0.2858817521302393,0.08810727323785454
eicu,chloride,0.9204730095685142,mean_indicator,0.32580463460130155,0.08810727323785454
eicu,chloride,0.9204730095685142,histgb_native,0.36274553304065194,0.08810727323785454
eicu,chloride,0.9204730095685142,pattern_submodels,0.2627623105207785,0.08810727323785454
eicu,chloride,0.9204730095685142,ours,0.25958884866919163,0.08810727323785454
eicu,chloride,0.9204730095685142,ours_projected,0.2810383777893545,0.08810727323785454
eicu,all_six,,mean_impute,0.2938242430245535,0.08810727323785454
eicu,all_six,,mean_indicator,0.32211926321370526,0.08810727323785454
eicu,all_six,,histgb_native,0.33547522128165497,0.08810727323785454
eicu,all_six,,pattern_submodels,0.08810727323785454,0.08810727323785454
eicu,all_six,,ours,0.08810727323785454,0.08810727323785454
eicu,all_six,,ours_projected,0.2758097708239479,0.08810727323785454
