dataset,drop,obs_rate,arm,auprc,prevalence
mimic4,none,,mean_impute,0.36895617773720407,0.10955084154964645
mimic4,none,,mean_indicator,0.39672956681476124,0.10955084154964645
mimic4,none,,histgb_native,0.431931310990156,0.10955084154964645
mimic4,none,,pattern_submodels,0.3736485014301711,0.10955084154964645
mimic4,none,,ours,0.3726758167881068,0.10955084154964645
mimic4,none,,ours_projected,0.37241016940834143,0.10955084154964645
mimic4,male,1.0,mean_impute,0.3689258899951343,0.10955084154964645
mimic4,male,1.0,mean_indicator,0.3968177889359553,0.10955084154964645
mimic4,male,1.0,histgb_native,0.431710976710141,0.10955084154964645
mimic4,male,1.0,pattern_submodels,0.10955084154964645,0.10955084154964645
mimic4,male,1.0,ours,0.10955084154964645,0.10955084154964645
mimic4,male,1.0,ours_projected,0.37042928425821686,0.10955084154964645
mimic4,age,1.0,mean_impute,0.3613865727244638,0.10955084154964645
mimic4,age,1.0,mean_indicator,0.3860969878801839,0.10955084154964645
mimic4,age,1.0,histgb_native,0.4187223726259356,0.10955084154964645
mimic4,age,1.0,pattern_submodels,0.10955084154964645,0.10955084154964645
mimic4,age,1.0,ours,0.10955084154964645,0.10955084154964645
mimic4,age,1.0,ours_projected,0.36255880917698363,0.10955084154964645
mimic4,Sodium,0.983994195228136,mean_impute,0.36607391471391465,0.10955084154964645
mimic4,Sodium,0.983994195228136,mean_indicator,0.38984127874463825,0.10955084154964645
mimic4,Sodium,0.983994195228136,histgb_native,0.4181081071599246,0.10955084154964645
mimic4,Sodium,0.983994195228136,pattern_submodels,0.328958208309642,0.10955084154964645
mimic4,Sodium,0.983994195228136,ours,0.32844982648466026,0.10955084154964645
mimic4,Sodium,0.983994195228136,ours_projected,0.36940009495009113,0.10955084154964645
mimic4,Chloride,0.9838661487899611,mean_impute,0.36974240862971275,0.10955084154964645
mimic4,Chloride,0.9838661487899611,mean_indicator,0.3912972997360914,0.10955084154964645
mimic4,Chloride,0.9838661487899611,histgb_native,0.4295292981166633,0.10955084154964645
mimic4,Chloride,0.9838661487899611,pattern_submodels,0.33359853261789657,0.10955084154964645
mimic4,Chloride,0.9838661487899611,ours,0.3336024954196909,0.10955084154964645
mimic4,Chloride,0.9838661487899611,ours_projected,0.3713568255163559,0.10955084154964645
mimic4,Creatinine,0.9836527380596697,mean_impute,0.35902841628370263,0.10955084154964645
mimic4,Creatinine,0.9836527380596697,mean_indicator,0.38945781395512796,0.10955084154964645
mimic4,Creatinine,0.9836527380596697,histgb_native,0.42954296654237956,0.10955084154964645
mimic4,Creatinine,0.9836527380596697,pattern_submodels,0.3318528793066947,0.10955084154964645
mimic4,Creatinine,0.9836527380596697,ours,0.33184509664216183,0.10955084154964645
mimic4,Creatinine,0.9836527380596697,ours_projected,0.36721242966191736,0.10955084154964645
mimic4,Urea Nitrogen,0.983567373767553,mean_impute,0.3590616955459417,0.10955084154964645
mimic4,Urea Nitrogen,0.983567373767553,mean_indicator,0.38604918052165316,0.10955084154964645
mimic4,Urea Nitrogen,0.983567373767553,histgb_native,0.42227707997149627,0.10955084154964645
mimic4,Urea Nitrogen,0.983567373767553,pattern_submodels,0.33475548917474274,0.10955084154964645
mimic4,Urea Nitrogen,0.983567373767553,ours,0.3346969883034885,0.10955084154964645
mimic4,Urea Nitrogen,0.983567373767553,ours_projected,0.3670895815346261,0.10955084154964645
mimic4,all_six,,mean_impute,0.3481412572368283,0.10955084154964645
mimic4,all_six,,mean_indicator,0.3695058212829849,0.10955084154964645
mimic4,all_six,,histgb_native,0.386891458502597,0.10955084154964645
mimic4,all_six,,pattern_submodels,0.10955084154964645,0.10955084154964645
mimic4,all_six,,ours,0.10955084154964645,0.10955084154964645
mimic4,all_six,,ours_projected,0.34544758109297014,0.10955084154964645
