idea,cohort,arm,permuted,seed,fold,auprc,auroc,n_test,kappa_chosen
R1,colorectal,idea_R1_mean_impute,0,0,0,0.1336699316725326,0.7467915287840488,8000,
R1,colorectal,idea_R1_ours_asis,0,0,0,0.11857130136176962,0.7332541839438304,8000,
R1,colorectal,idea_R1_rooted_kinf,0,0,0,0.1336699316725326,0.7467915287840486,8000,
R1,colorectal,idea_R1_rooted_cv,0,0,0,0.13364352679097172,0.7467116085906499,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,0,1,0.16123279782703118,0.7832365568757939,8000,
R1,colorectal,idea_R1_ours_asis,0,0,1,0.1516606744517677,0.7783038176294209,8000,
R1,colorectal,idea_R1_rooted_kinf,0,0,1,0.1612327978270312,0.783236556875794,8000,
R1,colorectal,idea_R1_rooted_cv,0,0,1,0.16169880502037395,0.7834207384382459,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,0,2,0.14914049172882882,0.7643240184507157,8000,
R1,colorectal,idea_R1_ours_asis,0,0,2,0.12942234971196112,0.7514559223011946,8000,
R1,colorectal,idea_R1_rooted_kinf,0,0,2,0.1491398677879115,0.7643236139716768,8000,
R1,colorectal,idea_R1_rooted_cv,0,0,2,0.14914466999724152,0.7642912556485497,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,0,3,0.15395573835288917,0.7766567865920052,8000,
R1,colorectal,idea_R1_ours_asis,0,0,3,0.14834254705936478,0.7744843296730678,8000,
R1,colorectal,idea_R1_rooted_kinf,0,0,3,0.15394708846143138,0.7766567865920052,8000,
R1,colorectal,idea_R1_rooted_cv,0,0,3,0.15377052013149586,0.7768525544469235,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,0,4,0.144378635141904,0.7913252189445039,8000,
R1,colorectal,idea_R1_ours_asis,0,0,4,0.13721063238042325,0.7832423120669041,8000,
R1,colorectal,idea_R1_rooted_kinf,0,0,4,0.14437489346713037,0.7913254211840234,8000,
R1,colorectal,idea_R1_rooted_cv,0,0,4,0.14478149810324742,0.7917149344986644,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,1,0,0.13236866149709878,0.7678442116075763,8000,
R1,colorectal,idea_R1_ours_asis,0,1,0,0.12882373502628466,0.7602327259804321,8000,
R1,colorectal,idea_R1_rooted_kinf,0,1,0,0.13236861489201115,0.7678442116075763,8000,
R1,colorectal,idea_R1_rooted_cv,0,1,0,0.132440723498565,0.7681833653216948,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,1,1,0.15185977876815526,0.7872471712511242,8000,
R1,colorectal,idea_R1_ours_asis,0,1,1,0.14576206938974992,0.7875226322222804,8000,
R1,colorectal,idea_R1_rooted_kinf,0,1,1,0.15185977876815526,0.7872471712511242,8000,
R1,colorectal,idea_R1_rooted_cv,0,1,1,0.15185977876815526,0.7872471712511242,8000,inf
R1,colorectal,idea_R1_mean_impute,0,1,2,0.14809656336228721,0.77163396588462,8000,
R1,colorectal,idea_R1_ours_asis,0,1,2,0.1400835468181069,0.7673810710281371,8000,
R1,colorectal,idea_R1_rooted_kinf,0,1,2,0.14809650849550887,0.7716341681241394,8000,
R1,colorectal,idea_R1_rooted_cv,0,1,2,0.14810897023022696,0.7718966750205071,8000,1000000.0
R1,colorectal,idea_R1_mean_impute,0,1,3,0.13749489481915955,0.7632636766497487,8000,
R1,colorectal,idea_R1_ours_asis,0,1,3,0.12884571889612467,0.7533494909226813,8000,
R1,colorectal,idea_R1_rooted_kinf,0,1,3,0.1374947944611526,0.7632632721707096,8000,
R1,colorectal,idea_R1_rooted_cv,0,1,3,0.1374947944611526,0.7632632721707096,8000,inf
R1,colorectal,idea_R1_mean_impute,0,1,4,0.1424177472117427,0.7549433405762047,8000,
