idea,cohort,arm,permuted,seed,fold,auprc,auroc,n_test,kappa_chosen
R1,lung,idea_R1_mean_impute,0,0,0,0.17925455853207428,0.7731718864289425,8000,
R1,lung,idea_R1_ours_asis,0,0,0,0.1527644349152818,0.7496345781004876,8000,
R1,lung,idea_R1_rooted_kinf,0,0,0,0.17925455853207428,0.7731720892720729,8000,
R1,lung,idea_R1_rooted_cv,0,0,0,0.17961160160655656,0.773352213971916,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,0,1,0.2318122483137564,0.8002281173845083,8000,
R1,lung,idea_R1_ours_asis,0,0,1,0.1965251422027973,0.7969517951414201,8000,
R1,lung,idea_R1_rooted_kinf,0,0,1,0.2318122483137564,0.8002281173845082,8000,
R1,lung,idea_R1_rooted_cv,0,0,1,0.229822133683531,0.8025048286807205,8000,50000.0
R1,lung,idea_R1_mean_impute,0,0,2,0.18571401304432036,0.7934014098521387,8000,
R1,lung,idea_R1_ours_asis,0,0,2,0.16019294735487224,0.7698617409748592,8000,
R1,lung,idea_R1_rooted_kinf,0,0,2,0.1857140130443204,0.7934016120916582,8000,
R1,lung,idea_R1_rooted_cv,0,0,2,0.1865637420600653,0.7934145554209089,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,0,3,0.18610077145939002,0.8095023047215648,8000,
R1,lung,idea_R1_ours_asis,0,0,3,0.15401640847488762,0.7921157732263997,8000,
R1,lung,idea_R1_rooted_kinf,0,0,3,0.18610077145939002,0.8095023047215646,8000,
R1,lung,idea_R1_rooted_cv,0,0,3,0.18160786651510494,0.8084636025491887,8000,50000.0
R1,lung,idea_R1_mean_impute,0,0,4,0.20616096085949828,0.8238388620224923,8000,
R1,lung,idea_R1_ours_asis,0,0,4,0.17447087949589443,0.7991249904947426,8000,
R1,lung,idea_R1_rooted_kinf,0,0,4,0.20616096085949828,0.8238390642620118,8000,
R1,lung,idea_R1_rooted_cv,0,0,4,0.2070142520068714,0.8240870099129722,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,1,0,0.16633973714858336,0.7927586219486815,8000,
R1,lung,idea_R1_ours_asis,0,1,0,0.1457830261682306,0.7745753580485518,8000,
R1,lung,idea_R1_rooted_kinf,0,1,0,0.16633890635978224,0.7927586219486814,8000,
R1,lung,idea_R1_rooted_cv,0,1,0,0.16622873241531527,0.7929505115500908,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,1,1,0.23983868637914135,0.8153011875653916,8000,
R1,lung,idea_R1_ours_asis,0,1,1,0.2063369077263053,0.8029273509214555,8000,
R1,lung,idea_R1_rooted_kinf,0,1,1,0.23983868637914135,0.8153011875653915,8000,
R1,lung,idea_R1_rooted_cv,0,1,1,0.23983868637914135,0.8153011875653915,8000,inf
R1,lung,idea_R1_mean_impute,0,1,2,0.22127600518929091,0.8072671535515686,8000,
R1,lung,idea_R1_ours_asis,0,1,2,0.16912300394362142,0.7856683773433493,8000,
R1,lung,idea_R1_rooted_kinf,0,1,2,0.22127600518929091,0.8072671535515688,8000,
R1,lung,idea_R1_rooted_cv,0,1,2,0.21211782964188164,0.8030876716406803,8000,10000.0
R1,lung,idea_R1_mean_impute,0,1,3,0.18758678904846932,0.7949932371104664,8000,
R1,lung,idea_R1_ours_asis,0,1,3,0.15481188432991877,0.7794523434706567,8000,
R1,lung,idea_R1_rooted_kinf,0,1,3,0.18758655896145668,0.7949936415895056,8000,
R1,lung,idea_R1_rooted_cv,0,1,3,0.18721025447529757,0.7950749418763621,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,1,4,0.18166774077774292,0.7831949880193309,8000,
R1,lung,idea_R1_ours_asis,0,1,4,0.15575400071848283,0.7625176150621522,8000,
R1,lung,idea_R1_rooted_kinf,0,1,4,0.18166774077774292,0.7831949880193307,8000,
R1,lung,idea_R1_rooted_cv,0,1,4,0.1800981589487345,0.7795716647871875,8000,50000.0
R1,lung,idea_R1_mean_impute,0,2,0,0.18579823285123193,0.8005045925713166,8000,
R1,lung,idea_R1_ours_asis,0,2,0,0.15902795715825097,0.7766713361155297,8000,
R1,lung,idea_R1_rooted_kinf,0,2,0,0.18579823285123193,0.8005045925713166,8000,
R1,lung,idea_R1_rooted_cv,0,2,0,0.18570900603083793,0.8008409064816088,8000,1000000.0
R1,lung,idea_R1_mean_impute,0,2,1,0.1766330329533101,0.7869662335154458,8000,
R1,lung,idea_R1_ours_asis,0,2,1,0.15063925747848395,0.7747114657890861,8000,
R1,lung,idea_R1_rooted_kinf,0,2,1,0.17663263751986488,0.7869656249860544,8000,
R1,lung,idea_R1_rooted_cv,0,2,1,0.1769668019450545,0.7885761994418569,8000,50000.0
R1,lung,idea_R1_mean_impute,0,2,2,0.1954063549863998,0.7965662560934768,8000,
