cohort,target,kappa,feature_set,seed,fold,auprc
colorectal,ancestors,0.0,baseline,0,0,0.1342454145356319
colorectal,global,0.0,baseline,0,0,0.1342454145356319
colorectal,ancestors,200.0,baseline,0,0,0.13449447010962312
colorectal,global,200.0,baseline,0,0,0.13427044043658903
colorectal,ancestors,500.0,baseline,0,0,0.13477613644287634
colorectal,global,500.0,baseline,0,0,0.13423421234275798
colorectal,ancestors,1000.0,baseline,0,0,0.1350683089182376
colorectal,global,1000.0,baseline,0,0,0.13455708845111533
colorectal,ancestors,2000.0,baseline,0,0,0.13564088563103505
colorectal,global,2000.0,baseline,0,0,0.13367572376382292
colorectal,ancestors,5000.0,baseline,0,0,0.1364334073192434
colorectal,global,5000.0,baseline,0,0,0.1337104421582439
colorectal,ancestors,10000.0,baseline,0,0,0.1378573980692845
colorectal,global,10000.0,baseline,0,0,0.13216247663721534
colorectal,ancestors,50000.0,baseline,0,0,0.13969192404564612
colorectal,global,50000.0,baseline,0,0,0.12947925244837755
colorectal,ancestors,1000000.0,baseline,0,0,0.13660816019666105
colorectal,global,1000000.0,baseline,0,0,0.12768791024680967
colorectal,ancestors,0.0,baseline,0,1,0.11418961351957302
colorectal,global,0.0,baseline,0,1,0.11418961351957302
colorectal,ancestors,200.0,baseline,0,1,0.11431026739638367
colorectal,global,200.0,baseline,0,1,0.11430630418173536
colorectal,ancestors,500.0,baseline,0,1,0.11470654433475841
colorectal,global,500.0,baseline,0,1,0.11428260444075836
colorectal,ancestors,1000.0,baseline,0,1,0.11496154060156875
colorectal,global,1000.0,baseline,0,1,0.11440536455443566
colorectal,ancestors,2000.0,baseline,0,1,0.11546370226576677
colorectal,global,2000.0,baseline,0,1,0.11439535128815087
colorectal,ancestors,5000.0,baseline,0,1,0.11652532463753121
colorectal,global,5000.0,baseline,0,1,0.11444230265010646
colorectal,ancestors,10000.0,baseline,0,1,0.11755612547063883
colorectal,global,10000.0,baseline,0,1,0.11401495565984515
colorectal,ancestors,50000.0,baseline,0,1,0.11884738316978888
colorectal,global,50000.0,baseline,0,1,0.11287693259328667
colorectal,ancestors,1000000.0,baseline,0,1,0.11670013149264419
colorectal,global,1000000.0,baseline,0,1,0.11211677197145552
colorectal,ancestors,0.0,baseline,0,2,0.12845954994588102
colorectal,global,0.0,baseline,0,2,0.12845954994588102
colorectal,ancestors,200.0,baseline,0,2,0.12861687025555668
colorectal,global,200.0,baseline,0,2,0.12875385642818765
colorectal,ancestors,500.0,baseline,0,2,0.1288695336179621
colorectal,global,500.0,baseline,0,2,0.1291879392287871
colorectal,ancestors,1000.0,baseline,0,2,0.12909542506456037
colorectal,global,1000.0,baseline,0,2,0.12921034025501396
colorectal,ancestors,2000.0,baseline,0,2,0.12947113351310924
colorectal,global,2000.0,baseline,0,2,0.12844011592540294
colorectal,ancestors,5000.0,baseline,0,2,0.13009742705832222
colorectal,global,5000.0,baseline,0,2,0.12742603104151332
colorectal,ancestors,10000.0,baseline,0,2,0.13029244583506028
colorectal,global,10000.0,baseline,0,2,0.12623429755518967
colorectal,ancestors,50000.0,baseline,0,2,0.12643520790715793
colorectal,global,50000.0,baseline,0,2,0.12224544542589656
colorectal,ancestors,1000000.0,baseline,0,2,0.1209036838651256
colorectal,global,1000000.0,baseline,0,2,0.11896225100320477
colorectal,ancestors,0.0,baseline,0,3,0.10728032322111966
colorectal,global,0.0,baseline,0,3,0.10728032322111966
colorectal,ancestors,200.0,baseline,0,3,0.10743414861829195
colorectal,global,200.0,baseline,0,3,0.107341127936454
colorectal,ancestors,500.0,baseline,0,3,0.10759917840564692
colorectal,global,500.0,baseline,0,3,0.10748953471932048
colorectal,ancestors,1000.0,baseline,0,3,0.10788078067584193
colorectal,global,1000.0,baseline,0,3,0.10775047021328207
colorectal,ancestors,2000.0,baseline,0,3,0.10829641371875168
colorectal,global,2000.0,baseline,0,3,0.10804920417687297
colorectal,ancestors,5000.0,baseline,0,3,0.10912393946255433
colorectal,global,5000.0,baseline,0,3,0.1076923722780635
colorectal,ancestors,10000.0,baseline,0,3,0.10992994264135274
colorectal,global,10000.0,baseline,0,3,0.10693263926522069
colorectal,ancestors,50000.0,baseline,0,3,0.10983050722403889
colorectal,global,50000.0,baseline,0,3,0.1045053175760563
colorectal,ancestors,1000000.0,baseline,0,3,0.10757761828641976
colorectal,global,1000000.0,baseline,0,3,0.10293273259096229
colorectal,ancestors,0.0,baseline,0,4,0.1563224702634728
colorectal,global,0.0,baseline,0,4,0.1563224702634728
colorectal,ancestors,200.0,baseline,0,4,0.1566207976763528
colorectal,global,200.0,baseline,0,4,0.15636875938394756
colorectal,ancestors,500.0,baseline,0,4,0.1570077273723084
colorectal,global,500.0,baseline,0,4,0.15568689457617968
colorectal,ancestors,1000.0,baseline,0,4,0.15806902982855364
colorectal,global,1000.0,baseline,0,4,0.15486901542748502
colorectal,ancestors,2000.0,baseline,0,4,0.15881295976707432
colorectal,global,2000.0,baseline,0,4,0.153856567090768
colorectal,ancestors,5000.0,baseline,0,4,0.15977395970101266
colorectal,global,5000.0,baseline,0,4,0.1506868960631007
colorectal,ancestors,10000.0,baseline,0,4,0.1605983418560144
colorectal,global,10000.0,baseline,0,4,0.14840055781413664
colorectal,ancestors,50000.0,baseline,0,4,0.15525360568559682
colorectal,global,50000.0,baseline,0,4,0.1453121622097581
colorectal,ancestors,1000000.0,baseline,0,4,0.15064155731412338
colorectal,global,1000000.0,baseline,0,4,0.14280758804088778
colorectal,ancestors,0.0,baseline,1,0,0.13549001404580238
colorectal,global,0.0,baseline,1,0,0.13549001404580238
colorectal,ancestors,200.0,baseline,1,0,0.13534904635638478
colorectal,global,200.0,baseline,1,0,0.13552146768292278
colorectal,ancestors,500.0,baseline,1,0,0.13529717128524935
colorectal,global,500.0,baseline,1,0,0.13563748493760935
colorectal,ancestors,1000.0,baseline,1,0,0.13565258230477367
colorectal,global,1000.0,baseline,1,0,0.13601283192830002
colorectal,ancestors,2000.0,baseline,1,0,0.13543973351100658
colorectal,global,2000.0,baseline,1,0,0.13605800339871268
colorectal,ancestors,5000.0,baseline,1,0,0.13507531970389788
colorectal,global,5000.0,baseline,1,0,0.1352666230581504
colorectal,ancestors,10000.0,baseline,1,0,0.13401067809064504
colorectal,global,10000.0,baseline,1,0,0.13427706560258867
colorectal,ancestors,50000.0,baseline,1,0,0.13391639296674793
colorectal,global,50000.0,baseline,1,0,0.1366735404251664
colorectal,ancestors,1000000.0,baseline,1,0,0.13306111145531116
colorectal,global,1000000.0,baseline,1,0,0.13456580565784756
colorectal,ancestors,0.0,baseline,1,1,0.1229368669835846
colorectal,global,0.0,baseline,1,1,0.1229368669835846
colorectal,ancestors,200.0,baseline,1,1,0.12319982428278314
colorectal,global,200.0,baseline,1,1,0.1229541559830336
colorectal,ancestors,500.0,baseline,1,1,0.1234902158304366
colorectal,global,500.0,baseline,1,1,0.12270886069309382
colorectal,ancestors,1000.0,baseline,1,1,0.12389055073903005
