cohort,target,kappa,feature_set,subsample_n,auprc,auprc_sd
colorectal,ancestors,0.0,baseline,40000,0.1290484809460919,0.0130929174528765
colorectal,ancestors,200.0,baseline,40000,0.1292467998317462,0.0131768321034996
colorectal,ancestors,500.0,baseline,40000,0.1294896217452474,0.0132398804199326
colorectal,ancestors,1000.0,baseline,40000,0.1299053113685157,0.0134411349639129
colorectal,ancestors,2000.0,baseline,40000,0.1304913849524567,0.0135414850315098
colorectal,ancestors,5000.0,baseline,40000,0.1315659230002668,0.0139175590372593
colorectal,ancestors,10000.0,baseline,40000,0.1322446685642518,0.0141530794777285
colorectal,ancestors,50000.0,baseline,40000,0.1313681155006869,0.0143866694728575
colorectal,ancestors,1000000.0,baseline,40000,0.1277284376658509,0.0145216646819701
colorectal,global,0.0,baseline,40000,0.1290484809460919,0.0130929174528765
colorectal,global,200.0,baseline,40000,0.1290752483861048,0.0131178213588307
colorectal,global,500.0,baseline,40000,0.1290125032186382,0.0130657097650358
colorectal,global,1000.0,baseline,40000,0.1288937406343014,0.0129845055929943
colorectal,global,2000.0,baseline,40000,0.1286114738435167,0.0131119599555666
colorectal,global,5000.0,baseline,40000,0.1276641315035497,0.0127603216713155
colorectal,global,10000.0,baseline,40000,0.1261540042247269,0.0126635139726253
colorectal,global,50000.0,baseline,40000,0.1231331386480621,0.0127740672462402
colorectal,global,1000000.0,baseline,40000,0.12136613568662916,0.012783485264068547
