cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,19,14,14,0.1877155992704558
lung,baseline,40000,20,19,19,0.10501481435758919
lung,baseline,40000,27,20,20,0.15516078299374247
lung,baseline,40000,28,27,27,0.010662148139075699
lung,baseline,40000,32,14,14,0.26375506268998916
lung,baseline,40000,33,14,14,0.23596973310199496
lung,baseline,40000,33,32,32,0.00733449494110093
lung,baseline,40000,34,33,33,0.019878884498757857
lung,baseline,40000,34,32,32,0.003461417155142328
lung,baseline,40000,35,33,33,0.0063876362580649795
lung,baseline,40000,36,14,14,0.26592583973414385
lung,baseline,40000,37,33,33,0.17953121559697613
lung,baseline,40000,37,14,14,0.2690582910132329
lung,baseline,40000,39,33,33,0.14553000056047793
lung,baseline,40000,39,19,19,0.24771263308421568
lung,baseline,40000,40,34,34,0.12025015394270563
lung,baseline,40000,40,33,33,0.12218534262265299
lung,baseline,40000,40,34,34,0.15685549766844079
lung,baseline,40000,40,19,19,0.26328824223769215
lung,baseline,40000,41,19,19,0.4354238006821965
lung,baseline,40000,43,40,40,0.10469290350420021
lung,baseline,40000,44,34,34,0.12704584045485762
lung,baseline,40000,44,33,33,0.12922989516039818
lung,baseline,40000,44,35,35,0.011870707498067446
lung,baseline,40000,44,34,34,0.012659300562812467
lung,baseline,40000,46,35,35,0.022930894185718174
lung,baseline,40000,46,34,34,0.026682825077392027
lung,baseline,40000,47,44,44,0.01108954957250357
lung,baseline,40000,47,37,37,0.016904203290119026
lung,baseline,40000,49,34,34,0.1342730922939815
lung,baseline,40000,51,40,40,0.2026966643916274
lung,baseline,40000,51,39,39,0.24019283584257514
lung,baseline,40000,51,37,37,0.21435097235856168
lung,baseline,40000,51,36,36,0.18982550580738344
lung,baseline,40000,51,27,27,0.2770106076093008
lung,baseline,40000,51,37,37,0.1730278423419766
lung,baseline,40000,52,49,49,0.007233460255485462
lung,baseline,40000,53,19,19,0.24361605103859332
lung,baseline,40000,53,47,47,0.1024180154864575
lung,baseline,40000,53,46,46,0.1034054540173969
lung,baseline,40000,53,44,44,0.02839213850816864
lung,baseline,40000,53,40,40,0.033250444309381524
lung,baseline,40000,54,40,40,0.02779747498538933
lung,baseline,40000,54,35,35,0.11377640822723124
lung,baseline,40000,55,27,27,0.16820555973639498
lung,baseline,40000,56,19,19,0.4574638960197032
lung,baseline,40000,56,34,34,0.07573499954345685
lung,baseline,40000,57,14,14,0.18258335729439104
lung,baseline,40000,57,28,28,0.20297114757728102
lung,baseline,40000,58,34,34,0.1794838639513776
lung,baseline,40000,58,33,33,0.18456400060641265
lung,baseline,40000,58,34,34,0.1705683112002289
lung,baseline,40000,58,19,19,0.27465165917657847
lung,baseline,40000,59,14,14,0.20689171738928874
lung,baseline,40000,60,35,35,0.03906960973980963
lung,baseline,40000,60,34,34,0.0472274143879417
lung,baseline,40000,61,14,14,0.1823659852337574
lung,baseline,40000,61,47,47,0.14033804770545968
lung,baseline,40000,61,46,46,0.13767436899166907
lung,baseline,40000,61,47,47,0.028951228837955145
lung,baseline,40000,61,47,47,0.1432683328131715
lung,baseline,40000,62,14,14,0.1545505199397427
lung,baseline,40000,62,19,19,0.43848199710617786
lung,baseline,40000,62,61,61,0.14069715774307856
lung,baseline,40000,62,61,61,0.013050671597059322
lung,baseline,40000,62,58,58,0.01735620586542946
lung,baseline,40000,62,37,37,0.13431625276322368
lung,baseline,40000,62,34,34,0.15520869365717022
lung,baseline,40000,62,33,33,0.19487119749979054
lung,baseline,40000,62,61,61,0.1404604975738137
lung,baseline,40000,62,61,61,0.029121027071924627
lung,baseline,40000,62,46,46,0.03563122887086025
lung,baseline,40000,62,14,14,0.24728245461413076
lung,baseline,40000,62,14,14,0.28233706341005316
lung,baseline,40000,63,49,49,0.12561640688229841
lung,baseline,40000,63,37,37,0.13281875752095243
lung,baseline,40000,63,35,35,0.15941256977887844
lung,baseline,40000,63,47,47,0.23111239846614234
lung,baseline,40000,63,46,46,0.21312374768092723
lung,baseline,40000,63,28,28,0.26414677028530487
lung,baseline,40000,63,53,53,0.1474160741713994
lung,baseline,40000,63,52,52,0.1629428403990244
lung,baseline,40000,63,28,28,0.2162795858019678
lung,baseline,40000,63,47,47,0.23998596328539396
