cohort,target,kappa,feature_set,seed,fold,auprc
lung,ancestors,0.0,baseline,0,0,0.1797342154687036
lung,global,0.0,baseline,0,0,0.1797342154687036
lung,ancestors,200.0,baseline,0,0,0.18040022259506142
lung,global,200.0,baseline,0,0,0.17998236029110945
lung,ancestors,500.0,baseline,0,0,0.18104809302487843
lung,global,500.0,baseline,0,0,0.18020635788669
lung,ancestors,1000.0,baseline,0,0,0.1814759842577456
lung,global,1000.0,baseline,0,0,0.18014274490731186
lung,ancestors,2000.0,baseline,0,0,0.1826625731238625
lung,global,2000.0,baseline,0,0,0.17915707248268317
lung,ancestors,5000.0,baseline,0,0,0.18491797682049496
lung,global,5000.0,baseline,0,0,0.17693907416145874
lung,ancestors,10000.0,baseline,0,0,0.18702349565431226
lung,global,10000.0,baseline,0,0,0.17308689654663809
lung,ancestors,50000.0,baseline,0,0,0.1819461215848832
lung,global,50000.0,baseline,0,0,0.16503436824438517
lung,ancestors,1000000.0,baseline,0,0,0.17021611921378124
lung,global,1000000.0,baseline,0,0,0.15982449510591917
lung,ancestors,0.0,baseline,0,1,0.1480457342896954
lung,global,0.0,baseline,0,1,0.1480457342896954
lung,ancestors,200.0,baseline,0,1,0.14838879420405948
lung,global,200.0,baseline,0,1,0.1479884065298859
lung,ancestors,500.0,baseline,0,1,0.14876510653499697
lung,global,500.0,baseline,0,1,0.14785485052350694
lung,ancestors,1000.0,baseline,0,1,0.14940346411796523
lung,global,1000.0,baseline,0,1,0.1483211060309262
lung,ancestors,2000.0,baseline,0,1,0.1501304693665588
lung,global,2000.0,baseline,0,1,0.1483440903591636
lung,ancestors,5000.0,baseline,0,1,0.15152474148335462
lung,global,5000.0,baseline,0,1,0.14567112705615565
lung,ancestors,10000.0,baseline,0,1,0.15053817833953637
lung,global,10000.0,baseline,0,1,0.14500787960379732
lung,ancestors,50000.0,baseline,0,1,0.1473167646034664
lung,global,50000.0,baseline,0,1,0.14102956204708236
lung,ancestors,1000000.0,baseline,0,1,0.1396720896516519
lung,global,1000000.0,baseline,0,1,0.13893476148516024
lung,ancestors,0.0,baseline,0,2,0.14729749081441887
lung,global,0.0,baseline,0,2,0.14729749081441887
lung,ancestors,200.0,baseline,0,2,0.14814242270994835
lung,global,200.0,baseline,0,2,0.14807881075990043
lung,ancestors,500.0,baseline,0,2,0.14855471793614777
lung,global,500.0,baseline,0,2,0.14850106816237338
lung,ancestors,1000.0,baseline,0,2,0.14894952163636718
lung,global,1000.0,baseline,0,2,0.1489724953684717
lung,ancestors,2000.0,baseline,0,2,0.14980787821997987
lung,global,2000.0,baseline,0,2,0.14874442440926416
lung,ancestors,5000.0,baseline,0,2,0.15071351242155168
lung,global,5000.0,baseline,0,2,0.14745012095602736
lung,ancestors,10000.0,baseline,0,2,0.15106691603086014
lung,global,10000.0,baseline,0,2,0.1457423373136897
lung,ancestors,50000.0,baseline,0,2,0.14913813183055843
lung,global,50000.0,baseline,0,2,0.14299470931031755
lung,ancestors,1000000.0,baseline,0,2,0.14756123320039558
lung,global,1000000.0,baseline,0,2,0.14097254921709887
lung,ancestors,0.0,baseline,0,3,0.1358536761092857
lung,global,0.0,baseline,0,3,0.1358536761092857
lung,ancestors,200.0,baseline,0,3,0.13598167323868612
lung,global,200.0,baseline,0,3,0.1363484817261201
lung,ancestors,500.0,baseline,0,3,0.13602870906804887
lung,global,500.0,baseline,0,3,0.13676581467759072
lung,ancestors,1000.0,baseline,0,3,0.13604215150392052
lung,global,1000.0,baseline,0,3,0.1378379472594239
lung,ancestors,2000.0,baseline,0,3,0.1369174373941774
lung,global,2000.0,baseline,0,3,0.13877183636857868
lung,ancestors,5000.0,baseline,0,3,0.13874792784197296
lung,global,5000.0,baseline,0,3,0.14061493112717427
lung,ancestors,10000.0,baseline,0,3,0.13933915449753947
lung,global,10000.0,baseline,0,3,0.13979506813979714
lung,ancestors,50000.0,baseline,0,3,0.13767627179093958
lung,global,50000.0,baseline,0,3,0.13588904739725888
lung,ancestors,1000000.0,baseline,0,3,0.13585505244543009
lung,global,1000000.0,baseline,0,3,0.13469997893410698
lung,ancestors,0.0,baseline,0,4,0.16917241838162625
lung,global,0.0,baseline,0,4,0.16917241838162625
lung,ancestors,200.0,baseline,0,4,0.16936414964215177
lung,global,200.0,baseline,0,4,0.16948742515057
lung,ancestors,500.0,baseline,0,4,0.16961307827532496
lung,global,500.0,baseline,0,4,0.1698515171508568
lung,ancestors,1000.0,baseline,0,4,0.1700415585366749
lung,global,1000.0,baseline,0,4,0.1696351013837108
lung,ancestors,2000.0,baseline,0,4,0.17102158092946024
lung,global,2000.0,baseline,0,4,0.16926723876235863
lung,ancestors,5000.0,baseline,0,4,0.1722740784212505
lung,global,5000.0,baseline,0,4,0.16719098442605582
lung,ancestors,10000.0,baseline,0,4,0.17228586686457542
lung,global,10000.0,baseline,0,4,0.16365715844080936
lung,ancestors,50000.0,baseline,0,4,0.17050026139311425
lung,global,50000.0,baseline,0,4,0.15729271192819233
lung,ancestors,1000000.0,baseline,0,4,0.166634005391179
lung,global,1000000.0,baseline,0,4,0.15330596166244426
lung,ancestors,0.0,baseline,1,0,0.17027491256789684
lung,global,0.0,baseline,1,0,0.17027491256789684
lung,ancestors,200.0,baseline,1,0,0.17043424512491867
lung,global,200.0,baseline,1,0,0.17058681036051773
lung,ancestors,500.0,baseline,1,0,0.17013658991356193
lung,global,500.0,baseline,1,0,0.170484331925498
lung,ancestors,1000.0,baseline,1,0,0.17015816550564716
lung,global,1000.0,baseline,1,0,0.17074888025421223
lung,ancestors,2000.0,baseline,1,0,0.17011347563238377
lung,global,2000.0,baseline,1,0,0.17070910029989528
lung,ancestors,5000.0,baseline,1,0,0.17058053573596985
lung,global,5000.0,baseline,1,0,0.1704061689798005
lung,ancestors,10000.0,baseline,1,0,0.16911950717834304
lung,global,10000.0,baseline,1,0,0.16989658109571318
lung,ancestors,50000.0,baseline,1,0,0.16442368987311384
lung,global,50000.0,baseline,1,0,0.16582113785959754
lung,ancestors,1000000.0,baseline,1,0,0.1561591407667249
lung,global,1000000.0,baseline,1,0,0.16268822534345437
lung,ancestors,0.0,baseline,1,1,0.1490163359362802
lung,global,0.0,baseline,1,1,0.1490163359362802
lung,ancestors,200.0,baseline,1,1,0.14949476741238232
lung,global,200.0,baseline,1,1,0.14924275252246902
lung,ancestors,500.0,baseline,1,1,0.14971285478357763
lung,global,500.0,baseline,1,1,0.14956301290340865
lung,ancestors,1000.0,baseline,1,1,0.15028027477894676
lung,global,1000.0,baseline,1,1,0.1497395941198817
lung,ancestors,2000.0,baseline,1,1,0.15125588252237882
lung,global,2000.0,baseline,1,1,0.14999875330474347
lung,ancestors,5000.0,baseline,1,1,0.1533053594679334
lung,global,5000.0,baseline,1,1,0.14929111261104608
lung,ancestors,10000.0,baseline,1,1,0.15474558342580808
lung,global,10000.0,baseline,1,1,0.14721502214113297
lung,ancestors,50000.0,baseline,1,1,0.15170993727507423
lung,global,50000.0,baseline,1,1,0.1403629399364362
lung,ancestors,1000000.0,baseline,1,1,0.14743189846109378
lung,global,1000000.0,baseline,1,1,0.1370241543527658
lung,ancestors,0.0,baseline,1,2,0.17239688954811286
lung,global,0.0,baseline,1,2,0.17239688954811286
lung,ancestors,200.0,baseline,1,2,0.17271763925023592
lung,global,200.0,baseline,1,2,0.17302220073781394
lung,ancestors,500.0,baseline,1,2,0.17321048016352622
lung,global,500.0,baseline,1,2,0.1736200304194484
lung,ancestors,1000.0,baseline,1,2,0.1738153817974744
lung,global,1000.0,baseline,1,2,0.17308486222900155
lung,ancestors,2000.0,baseline,1,2,0.17504378265923293
lung,global,2000.0,baseline,1,2,0.1738354137343802
lung,ancestors,5000.0,baseline,1,2,0.17724098341050196
lung,global,5000.0,baseline,1,2,0.17339599121296992
lung,ancestors,10000.0,baseline,1,2,0.17821234074019673
lung,global,10000.0,baseline,1,2,0.1706596672849537
lung,ancestors,50000.0,baseline,1,2,0.17586274726993378
lung,global,50000.0,baseline,1,2,0.1636710765057627
lung,ancestors,1000000.0,baseline,1,2,0.1712122871789566
lung,global,1000000.0,baseline,1,2,0.1602140442975044
lung,ancestors,0.0,baseline,1,3,0.1384898913922689
lung,global,0.0,baseline,1,3,0.1384898913922689
lung,ancestors,200.0,baseline,1,3,0.13840002312505725
lung,global,200.0,baseline,1,3,0.13852862911219543
lung,ancestors,500.0,baseline,1,3,0.13830003817506525
lung,global,500.0,baseline,1,3,0.1383397086209695
lung,ancestors,1000.0,baseline,1,3,0.13829516283809437
lung,global,1000.0,baseline,1,3,0.1382870088598715
lung,ancestors,2000.0,baseline,1,3,0.1379410005361343
lung,global,2000.0,baseline,1,3,0.13778201874673685
lung,ancestors,5000.0,baseline,1,3,0.13707670158556445
lung,global,5000.0,baseline,1,3,0.13472698470720448
lung,ancestors,10000.0,baseline,1,3,0.13661462868295887
lung,global,10000.0,baseline,1,3,0.1327876081755468
lung,ancestors,50000.0,baseline,1,3,0.13422147456021732
lung,global,50000.0,baseline,1,3,0.12796351423638117
lung,ancestors,1000000.0,baseline,1,3,0.12681542642606786
lung,global,1000000.0,baseline,1,3,0.12526358318525382
lung,ancestors,0.0,baseline,1,4,0.16561798935276212
lung,global,0.0,baseline,1,4,0.16561798935276212
lung,ancestors,200.0,baseline,1,4,0.16615800841391415
lung,global,200.0,baseline,1,4,0.16554871612536248
lung,ancestors,500.0,baseline,1,4,0.16784908983632646
lung,global,500.0,baseline,1,4,0.16622992653343932
lung,ancestors,1000.0,baseline,1,4,0.16904106762380644
lung,global,1000.0,baseline,1,4,0.16479037647849237
lung,ancestors,2000.0,baseline,1,4,0.1710722885161832
lung,global,2000.0,baseline,1,4,0.1647482495345405
lung,ancestors,5000.0,baseline,1,4,0.17371805349093103
lung,global,5000.0,baseline,1,4,0.16383150099522584
lung,ancestors,10000.0,baseline,1,4,0.17608311879782682
lung,global,10000.0,baseline,1,4,0.1622098793379879
lung,ancestors,50000.0,baseline,1,4,0.17116397955574272
lung,global,50000.0,baseline,1,4,0.15501081817357978
lung,ancestors,1000000.0,baseline,1,4,0.15565708920266516
lung,global,1000000.0,baseline,1,4,0.15093348185566385
lung,ancestors,0.0,baseline,2,0,0.1484364599845206
lung,global,0.0,baseline,2,0,0.1484364599845206
lung,ancestors,200.0,baseline,2,0,0.14865785090966538
lung,global,200.0,baseline,2,0,0.14859309251463643
lung,ancestors,500.0,baseline,2,0,0.14915326900983666
lung,global,500.0,baseline,2,0,0.1489663661864804
lung,ancestors,1000.0,baseline,2,0,0.14974145210780074
lung,global,1000.0,baseline,2,0,0.14966052803936597
lung,ancestors,2000.0,baseline,2,0,0.15109738928216343
lung,global,2000.0,baseline,2,0,0.1502862416174289
lung,ancestors,5000.0,baseline,2,0,0.15321811052255543
lung,global,5000.0,baseline,2,0,0.15024488670748615
lung,ancestors,10000.0,baseline,2,0,0.1547586444959409
lung,global,10000.0,baseline,2,0,0.1498661997911403
lung,ancestors,50000.0,baseline,2,0,0.15393513990646698
lung,global,50000.0,baseline,2,0,0.14628177034989787
lung,ancestors,1000000.0,baseline,2,0,0.1464166316428767
lung,global,1000000.0,baseline,2,0,0.14468041665990852
lung,ancestors,0.0,baseline,2,1,0.15381687178645412
lung,global,0.0,baseline,2,1,0.15381687178645412
lung,ancestors,200.0,baseline,2,1,0.1540973719448028
lung,global,200.0,baseline,2,1,0.1541592868487778
lung,ancestors,500.0,baseline,2,1,0.15467634387669382
lung,global,500.0,baseline,2,1,0.15454903893262847
lung,ancestors,1000.0,baseline,2,1,0.1550719037685368
lung,global,1000.0,baseline,2,1,0.15503997730410254
lung,ancestors,2000.0,baseline,2,1,0.15596688597786984
lung,global,2000.0,baseline,2,1,0.15492530664472223
lung,ancestors,5000.0,baseline,2,1,0.15778421356924624
lung,global,5000.0,baseline,2,1,0.15350909361135195
lung,ancestors,10000.0,baseline,2,1,0.15922353677688153
lung,global,10000.0,baseline,2,1,0.15201513327271174
lung,ancestors,50000.0,baseline,2,1,0.1607080605558544
lung,global,50000.0,baseline,2,1,0.14580607927724717
lung,ancestors,1000000.0,baseline,2,1,0.15908073221630892
lung,global,1000000.0,baseline,2,1,0.1429390328094844
lung,ancestors,0.0,baseline,2,2,0.1759783954620304
lung,global,0.0,baseline,2,2,0.1759783954620304
lung,ancestors,200.0,baseline,2,2,0.17823371129515678
lung,global,200.0,baseline,2,2,0.17801425995142342
lung,ancestors,500.0,baseline,2,2,0.17961189413409676
lung,global,500.0,baseline,2,2,0.17925514235669893
lung,ancestors,1000.0,baseline,2,2,0.18038568071672895
lung,global,1000.0,baseline,2,2,0.18130256377438503
lung,ancestors,2000.0,baseline,2,2,0.1824478870777735
lung,global,2000.0,baseline,2,2,0.182406785746291
lung,ancestors,5000.0,baseline,2,2,0.18441920471130926
lung,global,5000.0,baseline,2,2,0.18561543967868122
lung,ancestors,10000.0,baseline,2,2,0.18882740732898493
lung,global,10000.0,baseline,2,2,0.18543229199262617
lung,ancestors,50000.0,baseline,2,2,0.18904014388602722
lung,global,50000.0,baseline,2,2,0.18408043783447814
lung,ancestors,1000000.0,baseline,2,2,0.18900193932877413
lung,global,1000000.0,baseline,2,2,0.18208088571251346
lung,ancestors,0.0,baseline,2,3,0.14198909158839107
lung,global,0.0,baseline,2,3,0.14198909158839107
lung,ancestors,200.0,baseline,2,3,0.14201799927015116
lung,global,200.0,baseline,2,3,0.1416970235118452
lung,ancestors,500.0,baseline,2,3,0.1421393064283965
lung,global,500.0,baseline,2,3,0.1415463087472945
lung,ancestors,1000.0,baseline,2,3,0.14242883051837
lung,global,1000.0,baseline,2,3,0.1413329194200354
lung,ancestors,2000.0,baseline,2,3,0.1426009540803479
lung,global,2000.0,baseline,2,3,0.13989391029135403
lung,ancestors,5000.0,baseline,2,3,0.14161449085765201
lung,global,5000.0,baseline,2,3,0.13723237610748332
lung,ancestors,10000.0,baseline,2,3,0.14012455835165613
lung,global,10000.0,baseline,2,3,0.13501543274376387
lung,ancestors,50000.0,baseline,2,3,0.12875163688216026
lung,global,50000.0,baseline,2,3,0.1251318226998006
lung,ancestors,1000000.0,baseline,2,3,0.11794713798428141
lung,global,1000000.0,baseline,2,3,0.12064067907134883
lung,ancestors,0.0,baseline,2,4,0.1609207808215092
lung,global,0.0,baseline,2,4,0.1609207808215092
lung,ancestors,200.0,baseline,2,4,0.16283829933538338
lung,global,200.0,baseline,2,4,0.16285350889789532
lung,ancestors,500.0,baseline,2,4,0.16328947817297132
lung,global,500.0,baseline,2,4,0.16313938782445203
lung,ancestors,1000.0,baseline,2,4,0.16378105061991652
lung,global,1000.0,baseline,2,4,0.16356794184333276
lung,ancestors,2000.0,baseline,2,4,0.16465493303982515
lung,global,2000.0,baseline,2,4,0.16445993986847277
lung,ancestors,5000.0,baseline,2,4,0.16563074376773138
lung,global,5000.0,baseline,2,4,0.16300235494565207
lung,ancestors,10000.0,baseline,2,4,0.16530966013279932
lung,global,10000.0,baseline,2,4,0.16041158529237726
lung,ancestors,50000.0,baseline,2,4,0.1637208610851834
lung,global,50000.0,baseline,2,4,0.15510297214130417
lung,ancestors,1000000.0,baseline,2,4,0.1557560664349209
lung,global,1000000.0,baseline,2,4,0.15222858737486306
