cohort,target,kappa,feature_set,subsample_n,auprc,auprc_sd
lung,ancestors,0.0,baseline,40000,0.1571360769002637,0.0138190335325246
lung,ancestors,200.0,baseline,40000,0.1576884785647716,0.0141157721587833
lung,ancestors,500.0,baseline,40000,0.1581392699555633,0.0143558868858595
lung,ancestors,1000.0,baseline,40000,0.1585941100218663,0.0144920445369787
lung,ancestors,2000.0,baseline,40000,0.1595156278905554,0.0148407493687089
lung,ancestors,5000.0,baseline,40000,0.1608511089405346,0.0153948601313203
lung,ancestors,10000.0,baseline,40000,0.161551506486548,0.0162719115877552
lung,ancestors,50000.0,baseline,40000,0.158674348136849,0.0170151452265268
lung,ancestors,1000000.0,baseline,40000,0.1523611233030072,0.0176171111508382
lung,global,0.0,baseline,40000,0.1571360769002637,0.0138190335325246
lung,global,200.0,baseline,40000,0.1576087843360348,0.0140721850225065
lung,global,500.0,baseline,40000,0.1579248575234224,0.0142484148559895
lung,global,1000.0,baseline,40000,0.1581642698181683,0.0142129079301014
lung,global,2000.0,baseline,40000,0.1582220254780409,0.0143463652853844
lung,global,5000.0,baseline,40000,0.1572748098189182,0.0149275809940954
lung,global,10000.0,baseline,40000,0.155519916078179,0.0147827243355824
lung,global,50000.0,baseline,40000,0.1500981978627814,0.015244419198398
lung,global,1000000.0,baseline,40000,0.14709538913783268,0.015142986180269416
