cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
prostate,xgboost_native,baseline,40000,0,0,0.6942506105167583,0.1347371346061973,0.051375,0.94725,0.0478529117159587,0.5456965185283623,-1.0034747543527354,411
prostate,xgboost_native,baseline,40000,0,1,0.6880218487572775,0.1172569498210023,0.051375,0.947,0.0489044763457616,0.5009870775150795,-1.152174825409801,411
prostate,xgboost_native,baseline,40000,0,2,0.6708172508615523,0.1257437726462666,0.051375,0.947,0.048718569660743,0.4601260891867957,-1.2704844878682884,411
prostate,xgboost_native,baseline,40000,0,3,0.6805130617082799,0.1300026393751032,0.051375,0.9475,0.0487576516023224,0.477037659976241,-1.2395638767509751,411
prostate,xgboost_native,baseline,40000,0,4,0.6912482535019525,0.1229875566655657,0.0515,0.94575,0.048779623317397,0.5110294311965337,-1.0780142723085235,412
prostate,xgboost_native,baseline,40000,1,0,0.6890742427492218,0.1298170643703986,0.051375,0.94725,0.0483201680991137,0.5263166208925307,-1.0835800688688135,411
prostate,xgboost_native,baseline,40000,1,1,0.6882847468756,0.1220819917215175,0.051375,0.945875,0.0488693881046038,0.491127156882534,-1.1550806043436477,411
prostate,xgboost_native,baseline,40000,1,2,0.6851399082870298,0.1225390268376336,0.051375,0.9465,0.0490674219801078,0.4924139278950409,-1.1805883286328909,411
prostate,xgboost_native,baseline,40000,1,3,0.6741430723620658,0.113464280528924,0.051375,0.94625,0.0492736641119433,0.4512061704365459,-1.2735954196260648,411
prostate,xgboost_native,baseline,40000,1,4,0.679864668792319,0.1230568275742048,0.0515,0.94675,0.0489120363244818,0.4989847080947687,-1.13850980628318,412
prostate,xgboost_native,baseline,40000,2,0,0.6838688600064313,0.1141015813578698,0.051375,0.946625,0.0491891354399304,0.4640913931769914,-1.2320111606337962,411
prostate,xgboost_native,baseline,40000,2,1,0.7029100577446099,0.1368318115152518,0.051375,0.94575,0.0482217955435095,0.5461342280262768,-1.0058179290467293,411
prostate,xgboost_native,baseline,40000,2,2,0.6787242323775704,0.124043390925755,0.051375,0.9465,0.0486403846720516,0.4809944707972073,-1.2015484829608147,411
prostate,xgboost_native,baseline,40000,2,3,0.6788947955470188,0.111643377760716,0.051375,0.945125,0.0496129911516705,0.4569906220139839,-1.286471239967359,411
prostate,xgboost_native,baseline,40000,2,4,0.6837154410899171,0.1112645366527157,0.0515,0.9455,0.0497732128747032,0.4681390988797948,-1.2338250070991108,412
prostate,xgboost_native,baseline,40000,3,0,0.6814643040461624,0.1269962683247716,0.051375,0.94675,0.0485548930271011,0.4862445185152617,-1.1900246526573035,411
prostate,xgboost_native,baseline,40000,3,1,0.6997799670992623,0.1291662016286741,0.051375,0.94575,0.0486294028836877,0.5272219673818249,-1.0661490593979135,411
prostate,xgboost_native,baseline,40000,3,2,0.6928279149069325,0.1312014963887714,0.051375,0.94725,0.0483119044752084,0.5230299795322426,-1.0968700521071797,411
prostate,xgboost_native,baseline,40000,3,3,0.6749502016460629,0.1121484763902892,0.051375,0.94575,0.0494483985638971,0.4422929067594733,-1.305877920298084,411
prostate,xgboost_native,baseline,40000,3,4,0.6973984216263799,0.1410314526495678,0.0515,0.94625,0.0480593148879362,0.5376793517215707,-1.0314347887720792,412
prostate,xgboost_native,baseline,40000,4,0,0.6973728462793022,0.1327777951358492,0.051375,0.946125,0.048617762996073,0.5177284754242368,-1.1103596415368884,411
prostate,xgboost_native,baseline,40000,4,1,0.69105944415002,0.1320158316651382,0.051375,0.947,0.04854983336299,0.5100188545009926,-1.1144239561904004,411
prostate,xgboost_native,baseline,40000,4,2,0.6826632156479524,0.1337423589050889,0.051375,0.94725,0.048350826023819,0.498736630970902,-1.1343639562393195,411
prostate,xgboost_native,baseline,40000,4,3,0.6650461562531761,0.1143989963981081,0.051375,0.9465,0.0498159614051457,0.4244545309355084,-1.3704546123018495,411
prostate,xgboost_native,baseline,40000,4,4,0.689497277254326,0.134675315288254,0.0515,0.94625,0.0485255678523372,0.4981844468622793,-1.1261502629833176,412
prostate,xgboost_native,baseline,40000,5,0,0.694961878169806,0.1223139905170431,0.051375,0.94625,0.0489650070609512,0.5044224639808402,-1.136091519130087,411
prostate,xgboost_native,baseline,40000,5,1,0.6792909060655405,0.1098994276483784,0.051375,0.9465,0.0494190489979795,0.4646606782064817,-1.2588368686652462,411
prostate,xgboost_native,baseline,40000,5,2,0.6748484087770781,0.1160402308131255,0.051375,0.94675,0.0489002939132906,0.4653668467443736,-1.2449931770144198,411
prostate,xgboost_native,baseline,40000,5,3,0.6715190605944895,0.1279657303920768,0.051375,0.947125,0.0487146573041707,0.4658743485370266,-1.2453900656131756,411
prostate,xgboost_native,baseline,40000,5,4,0.6921227820114539,0.1317339461809164,0.0515,0.9455,0.0486968557883426,0.5025006687834912,-1.1188741317331128,412
prostate,xgboost_native,baseline,40000,6,0,0.6898294336244769,0.1355960031031144,0.051375,0.947125,0.0479670426339642,0.5227758139830784,-1.071415249800274,411
prostate,xgboost_native,baseline,40000,6,1,0.6939734453664046,0.1350016325563519,0.051375,0.947,0.0484482984249298,0.5069854592312453,-1.0976935976760642,411
prostate,xgboost_native,baseline,40000,6,2,0.6757690331023998,0.1231408180120505,0.051375,0.946375,0.0492073311337683,0.4635802744490264,-1.2841101589176405,411
prostate,xgboost_native,baseline,40000,6,3,0.6941858478095617,0.1432701313965716,0.051375,0.945875,0.048211247745591,0.5193806928062115,-1.0802472834447814,411
prostate,xgboost_native,baseline,40000,6,4,0.694194269439227,0.1458505988003111,0.0515,0.947625,0.0477330751539416,0.5425330601983513,-1.013283098869061,412
prostate,xgboost_native,baseline,40000,7,0,0.6791450296706174,0.1180112305928505,0.051375,0.945125,0.049253330661186,0.4610347766786014,-1.2633003584145075,411
prostate,xgboost_native,baseline,40000,7,1,0.6893807434822907,0.1175174972736151,0.051375,0.9465,0.0487756881091025,0.4989774851550915,-1.1468725864937874,411
prostate,xgboost_native,baseline,40000,7,2,0.6807967993115915,0.1143531572335767,0.051375,0.9465,0.0492681003335986,0.4780319561300279,-1.216323294295362,411
prostate,xgboost_native,baseline,40000,7,3,0.6819004904973551,0.1171567140691952,0.051375,0.945625,0.0491887744401482,0.4816325855099059,-1.2056093504504404,411
prostate,xgboost_native,baseline,40000,7,4,0.6931753189757972,0.1251402599578489,0.0515,0.94675,0.0487011540241297,0.5088891910319704,-1.107703878288284,412
prostate,xgboost_native,baseline,40000,8,0,0.6928051517771752,0.1264515557791041,0.051375,0.948,0.0487647094092551,0.4922870672205247,-1.166362440646505,411
prostate,xgboost_native,baseline,40000,8,1,0.6794984993967771,0.1347094550377254,0.051375,0.947125,0.0482699459477719,0.4843833864510502,-1.185195384575384,411
prostate,xgboost_native,baseline,40000,8,2,0.6872071851979382,0.1273975182888589,0.051375,0.946375,0.048592355203802,0.4925761942723505,-1.161094870568256,411
prostate,xgboost_native,baseline,40000,8,3,0.7000521628339648,0.134868734485215,0.051375,0.94725,0.0482201862506868,0.545111706953358,-1.0006521792194696,411
prostate,xgboost_native,baseline,40000,8,4,0.689736701025124,0.1338025485552691,0.0515,0.945625,0.0486743540363211,0.5122634166782182,-1.1009748233992698,412
prostate,xgboost_native,baseline,40000,9,0,0.6852994104990608,0.1123289967143771,0.051375,0.94575,0.0495016000981029,0.4636842850731412,-1.2523936491714251,411
prostate,xgboost_native,baseline,40000,9,1,0.6937139136264262,0.1301930276519224,0.051375,0.946375,0.0484060507372952,0.5309177530317969,-1.064896264248202,411
prostate,xgboost_native,baseline,40000,9,2,0.6820409165654349,0.1314640219323082,0.051375,0.9475,0.0483140164461176,0.4911278066689068,-1.149837352007911,411
prostate,xgboost_native,baseline,40000,9,3,0.6815138378989439,0.1254293266221836,0.051375,0.946,0.0489514286146586,0.486763709069985,-1.18205601156156,411
prostate,xgboost_native,baseline,40000,9,4,0.6863447843042925,0.1306750664071873,0.0515,0.946125,0.0489157045470263,0.4883273616522242,-1.1623121354485422,412
prostate,lightgbm_native,baseline,40000,0,0,0.7324347988621,0.1535362843186382,0.051375,0.94775,0.0466040601650756,0.8213996289614099,-0.3889752664362617,411
prostate,lightgbm_native,baseline,40000,0,1,0.7404942292259992,0.1624841556456766,0.051375,0.948375,0.0462633755695968,0.8387942843976915,-0.3375359003949201,411
prostate,lightgbm_native,baseline,40000,0,2,0.7302009663750101,0.1643386265183916,0.051375,0.94925,0.04628710477153,0.8328776339362877,-0.3733334913170408,411
prostate,lightgbm_native,baseline,40000,0,3,0.7371224005547791,0.1554509713040729,0.051375,0.9485,0.0465707996408377,0.812294351319017,-0.445841814286392,411
prostate,lightgbm_native,baseline,40000,0,4,0.7399045375682605,0.1498458469510344,0.0515,0.948125,0.046767437239797,0.8341903945227042,-0.324525951467992,412
prostate,lightgbm_native,baseline,40000,1,0,0.7543369372818066,0.1630091082225068,0.051375,0.947875,0.0462567964043363,0.894527381782754,-0.2126218606158042,411
prostate,lightgbm_native,baseline,40000,1,1,0.7289650246114316,0.1491157558459893,0.051375,0.948625,0.0469642701126749,0.7864053784847402,-0.4776013076340981,411
prostate,lightgbm_native,baseline,40000,1,2,0.7467471968488133,0.1537242864523736,0.051375,0.94775,0.0467808942122353,0.8265300429750084,-0.4018836908348578,411
