cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
colorectal,xgboost_native,baseline,40000,0,0,0.6914733271646473,0.10290632014625756,0.038625,0.95975,0.03693225848720921,0.4919723862785211,-1.2632407764714677,309
colorectal,xgboost_native,baseline,40000,0,1,0.6842482639524449,0.09403155513169992,0.038625,0.960125,0.037432942246197046,0.4474017542474615,-1.375141100931814,309
colorectal,xgboost_native,baseline,40000,0,2,0.6992304626871934,0.10218621744386071,0.03875,0.959,0.037557169764670204,0.48740533047465356,-1.2591825381255646,310
colorectal,xgboost_native,baseline,40000,0,3,0.6977702504299677,0.08581597559447979,0.03875,0.959125,0.03806957011696711,0.4590149531876989,-1.3509445285066863,310
colorectal,xgboost_native,baseline,40000,0,4,0.6929191660724023,0.10405745986036671,0.03875,0.95925,0.0372199295170729,0.49683506096574376,-1.264293040483871,310
colorectal,xgboost_native,baseline,40000,1,0,0.7173807573177409,0.11069666194068253,0.038625,0.959875,0.03711489308541945,0.5371733679035828,-1.1323756569822367,309
colorectal,xgboost_native,baseline,40000,1,1,0.6841424369003573,0.10786159429514423,0.038625,0.9605,0.03684326662510347,0.4602795511608568,-1.356015990603179,309
colorectal,xgboost_native,baseline,40000,1,2,0.712121313813499,0.10409281477158105,0.03875,0.959875,0.03710029045185208,0.518483635867589,-1.1593213669087976,310
colorectal,xgboost_native,baseline,40000,1,3,0.7133260623348294,0.10287293415281143,0.03875,0.958625,0.037461330282712084,0.5232487154746293,-1.1348250423181336,310
colorectal,xgboost_native,baseline,40000,1,4,0.6949326733503922,0.09623011973017344,0.03875,0.9595,0.037608664889894686,0.46969588814553537,-1.3009241413551793,310
colorectal,xgboost_native,baseline,40000,2,0,0.6964802301180845,0.11147324860906638,0.038625,0.961,0.03686880204457363,0.49024318302864855,-1.2644001243712424,309
colorectal,xgboost_native,baseline,40000,2,1,0.6839936899305245,0.10083531870503086,0.038625,0.960375,0.03719471609120591,0.4814005616047265,-1.273423477381998,309
colorectal,xgboost_native,baseline,40000,2,2,0.7211976173497211,0.12211029333284845,0.03875,0.95975,0.03674862034091363,0.5647598012807588,-1.0309059367031916,310
colorectal,xgboost_native,baseline,40000,2,3,0.7013177985653761,0.10450469935202507,0.03875,0.95975,0.0374576540390559,0.48901829410091996,-1.2487445493047282,310
colorectal,xgboost_native,baseline,40000,2,4,0.7166733084441461,0.11417204158720792,0.03875,0.95975,0.036993652741678665,0.5279808810436388,-1.1061458311288979,310
colorectal,xgboost_native,baseline,40000,3,0,0.7201309983214946,0.12170500909814029,0.038625,0.961375,0.03615608526004011,0.5707675871017437,-0.9590290195055478,309
colorectal,xgboost_native,baseline,40000,3,1,0.6889084412958617,0.08881630727011672,0.038625,0.95975,0.037778566450604276,0.4667258629444295,-1.341831901944796,309
colorectal,xgboost_native,baseline,40000,3,2,0.682498007466756,0.09715237147419845,0.03875,0.960375,0.03750010837119004,0.45296995633438647,-1.3694688771769954,310
colorectal,xgboost_native,baseline,40000,3,3,0.726823692268971,0.11131362649862708,0.03875,0.96075,0.03674298680249744,0.5791853882692675,-0.9825143733303119,310
colorectal,xgboost_native,baseline,40000,3,4,0.7081081421200554,0.10830320741939087,0.03875,0.960375,0.03720336618649095,0.5112230104809872,-1.1895540433819518,310
colorectal,xgboost_native,baseline,40000,4,0,0.7173106968637744,0.11289457967643134,0.038625,0.960375,0.03699481399175653,0.5357951260994192,-1.1144954310359902,309
colorectal,xgboost_native,baseline,40000,4,1,0.7057551401861294,0.10340759865808648,0.038625,0.959625,0.037048669094049726,0.5165228274390111,-1.1498768693484958,309
colorectal,xgboost_native,baseline,40000,4,2,0.693478124082386,0.0944702327661055,0.03875,0.9595,0.03777800136551689,0.47041194164171785,-1.3107000529467354,310
colorectal,xgboost_native,baseline,40000,4,3,0.7183002642728302,0.10290375837481512,0.03875,0.960375,0.037308437489531485,0.5244652962043297,-1.1318376555515661,310
colorectal,xgboost_native,baseline,40000,4,4,0.7038997021687151,0.09875825981207932,0.03875,0.96,0.03745578677927914,0.4899337903631385,-1.2422319884592656,310
colorectal,xgboost_native,baseline,40000,5,0,0.7069236559859189,0.10242968343487048,0.038625,0.9595,0.037458872451585135,0.5042294542489043,-1.230854180515461,309
colorectal,xgboost_native,baseline,40000,5,1,0.7107984409129487,0.10505111829624317,0.038625,0.96025,0.03721918466981938,0.5203153841685101,-1.1697808377944043,309
colorectal,xgboost_native,baseline,40000,5,2,0.7195675154159151,0.11953846082126653,0.03875,0.9605,0.0365346617691675,0.5577896675008089,-1.0275922827035182,310
colorectal,xgboost_native,baseline,40000,5,3,0.6861160283568941,0.10175273173137736,0.03875,0.95975,0.03710826590874255,0.48899334663933813,-1.244487925748607,310
colorectal,xgboost_native,baseline,40000,5,4,0.6789529762154453,0.09693324564319572,0.03875,0.959875,0.0375202547733615,0.441051362608199,-1.4273624161650473,310
colorectal,xgboost_native,baseline,40000,6,0,0.6888169208830225,0.10027734549303455,0.038625,0.95975,0.037327560017169005,0.45644621443384814,-1.361583393759653,309
colorectal,xgboost_native,baseline,40000,6,1,0.6969479309864555,0.10391145827058088,0.038625,0.95875,0.03741644903363101,0.4888748627287275,-1.2642758991870346,309
colorectal,xgboost_native,baseline,40000,6,2,0.7159761315491422,0.11294280508449867,0.03875,0.96025,0.03700583803442747,0.5334492626149949,-1.099764055932681,310
colorectal,xgboost_native,baseline,40000,6,3,0.6956615210369562,0.10426376140602371,0.03875,0.959875,0.03748253203949956,0.48278074838116003,-1.26400399971436,310
colorectal,xgboost_native,baseline,40000,6,4,0.713477704601703,0.11032752268514205,0.03875,0.959375,0.037129722231070264,0.531178436541036,-1.135087578114777,310
colorectal,xgboost_native,baseline,40000,7,0,0.6949914980692349,0.09882815331381253,0.038625,0.960125,0.03745667604205282,0.47826857784492643,-1.3050477644836063,309
colorectal,xgboost_native,baseline,40000,7,1,0.7041445913119146,0.09713030481749896,0.038625,0.959125,0.03751718525365926,0.48687419222218936,-1.2906768495980827,309
colorectal,xgboost_native,baseline,40000,7,2,0.69300662779479,0.10131864162057479,0.03875,0.958875,0.03751496629497346,0.48155835099024075,-1.3064024781234502,310
colorectal,xgboost_native,baseline,40000,7,3,0.6819677838835522,0.09230967090037474,0.03875,0.9595,0.03757277461758593,0.4610159164677394,-1.3496209399503487,310
colorectal,xgboost_native,baseline,40000,7,4,0.7046581232434246,0.10495374797975746,0.03875,0.960625,0.037172753393610536,0.4990797459013436,-1.217412649875972,310
colorectal,xgboost_native,baseline,40000,8,0,0.7215078019574006,0.1162705219613489,0.038625,0.960625,0.036724440752219305,0.5535293614698688,-1.0557029027651643,309
colorectal,xgboost_native,baseline,40000,8,1,0.70860195100481,0.095512147271199,0.038625,0.959375,0.03781040508852615,0.4820536457042261,-1.276834669826932,309
colorectal,xgboost_native,baseline,40000,8,2,0.6892860438776794,0.09968884129110854,0.03875,0.95975,0.037526048191622134,0.4590062410048872,-1.3257370163315538,310
colorectal,xgboost_native,baseline,40000,8,3,0.6893047107680691,0.0961973045050622,0.03875,0.95925,0.03779625455816016,0.46483735811896876,-1.3269252161761447,310
colorectal,xgboost_native,baseline,40000,8,4,0.7107030496245648,0.11237767787302486,0.03875,0.96,0.03725491864587798,0.5272712125191473,-1.1623381598150346,310
