cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
lung,xgboost_native,baseline,40000,0,0,0.7534614703269783,0.16859210583970152,0.038625,0.96175,0.03521722722613111,0.5897925794316436,-0.8412329544733461,309
lung,xgboost_native,baseline,40000,0,1,0.7308773883145896,0.14440561794216772,0.038625,0.959875,0.036462007547945895,0.513082894773044,-1.1041868421624008,309
lung,xgboost_native,baseline,40000,0,2,0.7424499769285624,0.15160722204824043,0.03875,0.960625,0.036039728140312886,0.5490484237791513,-0.9895389644544617,310
lung,xgboost_native,baseline,40000,0,3,0.7336872352028189,0.1286556599163244,0.03875,0.958875,0.03708603550528239,0.48989844249941783,-1.1689031080307428,310
lung,xgboost_native,baseline,40000,0,4,0.7410564620999203,0.13737088820962248,0.03875,0.959125,0.036623637336576496,0.5401986469864825,-1.0464506295554346,310
lung,xgboost_native,baseline,40000,1,0,0.7479336373914957,0.1363222123902477,0.038625,0.95925,0.03678772801158035,0.540658476331121,-1.0730574874545793,309
lung,xgboost_native,baseline,40000,1,1,0.7250013570268111,0.1354691940467872,0.038625,0.959,0.036745671662047695,0.4881579590018507,-1.1972891723565078,309
lung,xgboost_native,baseline,40000,1,2,0.759830739544444,0.15032664808422397,0.03875,0.96025,0.03582571571209897,0.607683939873724,-0.7803128893722212,310
lung,xgboost_native,baseline,40000,1,3,0.7253821469021351,0.13470652384227397,0.03875,0.958875,0.03704400843818103,0.4891849776782764,-1.173946983411038,310
lung,xgboost_native,baseline,40000,1,4,0.7336727631192583,0.12904865821709188,0.03875,0.959125,0.036835650840404854,0.5228297722997709,-1.0744697283549054,310
lung,xgboost_native,baseline,40000,2,0,0.7263017884561412,0.13298555543498733,0.038625,0.95975,0.036699322302000306,0.5044751616544018,-1.1558735235797806,309
lung,xgboost_native,baseline,40000,2,1,0.757675406760897,0.13584840069374704,0.038625,0.960125,0.03638064949202985,0.5722328264690577,-0.9012369012691692,309
lung,xgboost_native,baseline,40000,2,2,0.7399989512982926,0.14745089202532824,0.03875,0.95975,0.036240705383248924,0.5521551456713181,-0.9813549241218772,310
lung,xgboost_native,baseline,40000,2,3,0.7618945845043835,0.14460491420017169,0.03875,0.9595,0.036346899700207574,0.5742289493776137,-0.9127590509304114,310
lung,xgboost_native,baseline,40000,2,4,0.7409675321951424,0.14566193412095826,0.03875,0.959125,0.03604483055145687,0.5223541302456257,-1.0420934783597888,310
lung,xgboost_native,baseline,40000,3,0,0.7586326892400187,0.17459463677496762,0.038625,0.96125,0.035200612255543794,0.5978602635888521,-0.8203168014749976,309
lung,xgboost_native,baseline,40000,3,1,0.7388434512831582,0.1405229282661415,0.038625,0.960125,0.036332487219255756,0.5493999777498986,-1.0213744684444004,309
lung,xgboost_native,baseline,40000,3,2,0.7519113637317001,0.1275026325763166,0.03875,0.9595,0.03676060087996153,0.5515850898656348,-0.9920747854196257,310
lung,xgboost_native,baseline,40000,3,3,0.7258620328033895,0.12697756316117048,0.03875,0.95975,0.037224868167586564,0.4860236518486164,-1.186615385769905,310
lung,xgboost_native,baseline,40000,3,4,0.7414042115860564,0.14824203518032858,0.03875,0.959375,0.03651382469384448,0.5195648411221547,-1.0821535733899672,310
lung,xgboost_native,baseline,40000,4,0,0.7614176448831251,0.15865432283433126,0.038625,0.9605,0.03575091245511471,0.6060037244745309,-0.8235082980524434,309
lung,xgboost_native,baseline,40000,4,1,0.7565874710027565,0.13054441498765249,0.038625,0.9595,0.03660370618812074,0.5427737249864222,-0.9717917823207336,309
lung,xgboost_native,baseline,40000,4,2,0.7430999622467386,0.1355537074938764,0.03875,0.959875,0.03647604367211422,0.5278439452354181,-1.029994166581565,310
lung,xgboost_native,baseline,40000,4,3,0.7487438650950125,0.16124810584303526,0.03875,0.960625,0.03563733945103479,0.5784616691507818,-0.8938919201085264,310
lung,xgboost_native,baseline,40000,4,4,0.7370558748269642,0.12312116275339033,0.03875,0.959375,0.03702670179674523,0.514838165382586,-1.0922245199096645,310
lung,xgboost_native,baseline,40000,5,0,0.7534149737494209,0.1407413414419835,0.038625,0.96025,0.03637292652215234,0.5599066560320263,-0.9504319156667962,309
lung,xgboost_native,baseline,40000,5,1,0.7256041294010273,0.12953990775434931,0.038625,0.959125,0.03675454103424695,0.50773112745165,-1.1277898689168453,309
