cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
colorectal,refe_tree,baseline,40000,0,0,0.6716657851252189,0.09722346626558562,0.038625,0.959375,0.03731137837519406,0.37562251017829335,-1.8920186199748692,309
colorectal,refe_tree,baseline,40000,0,1,0.6653191074845184,0.08446685650898139,0.038625,0.959875,0.0380228498885869,0.22789056910576697,-2.374731935299314,309
colorectal,refe_tree,baseline,40000,0,2,0.6860591887243592,0.08340867586662468,0.03875,0.96075,0.03809026714798803,0.5155207457804785,-1.4281180670333442,310
colorectal,refe_tree,baseline,40000,0,3,0.6927463400310415,0.08713787992813266,0.03875,0.959625,0.03776819266177259,0.4654183438263142,-1.5737183921684819,310
colorectal,refe_tree,baseline,40000,0,4,0.6840012164939805,0.08802591966058768,0.03875,0.960375,0.03797247964325588,0.3946942146821197,-1.8194712772524604,310
colorectal,refe_tree,baseline,40000,1,0,0.68782618611507,0.090845777140039,0.038625,0.96,0.037528259679194716,0.4027139243831459,-1.7861713697969925,309
colorectal,refe_tree,baseline,40000,1,1,0.6836818893516105,0.08357280249389595,0.038625,0.959,0.03796034103241527,0.37504366602016426,-1.881949271717322,309
colorectal,refe_tree,baseline,40000,1,2,0.7045446537186963,0.08786239781066603,0.03875,0.96125,0.03750332326892438,0.5333954377690641,-1.3563560353841129,310
colorectal,refe_tree,baseline,40000,1,3,0.6578444985108437,0.07930773556686153,0.03875,0.959,0.038354214300215926,0.20218189412083812,-2.4648740130672966,310
colorectal,refe_tree,baseline,40000,1,4,0.6849205084105877,0.08839861500522471,0.03875,0.96,0.037816023522663604,0.505864791712533,-1.448484393088325,310
colorectal,refe_tree,baseline,40000,2,0,0.6796695082176915,0.0897855138449645,0.038625,0.961125,0.03746164847441309,0.40475285957958906,-1.782648814099878,309
colorectal,refe_tree,baseline,40000,2,1,0.6747076290995359,0.08508526702723711,0.038625,0.961125,0.03753926432103474,0.48430576073711185,-1.5079075011337173,309
colorectal,refe_tree,baseline,40000,2,2,0.6957273795041737,0.10110761386246646,0.03875,0.960875,0.03766933849583211,0.2548633749445223,-2.2843915899801472,310
colorectal,refe_tree,baseline,40000,2,3,0.6984607156340451,0.08677568595137333,0.03875,0.958125,0.03792500251986472,0.5309038223543084,-1.3830611022313888,310
colorectal,refe_tree,baseline,40000,2,4,0.6532436343806367,0.0839939512669616,0.03875,0.958875,0.03807200760959391,0.2555858076418642,-2.2773166348957017,310
colorectal,refe_tree,baseline,40000,3,0,0.712824723892382,0.10439342122272036,0.038625,0.960625,0.03678281350447835,0.5947553041584213,-1.1627213598671666,309
colorectal,refe_tree,baseline,40000,3,1,0.6871811249983695,0.08298032205186867,0.038625,0.96125,0.03797309141662406,0.3858262294368654,-1.8315086848551472,309
colorectal,refe_tree,baseline,40000,3,2,0.7054542975795964,0.09185452508828537,0.03875,0.960375,0.03761625494748929,0.4593953669730033,-1.5887668755726623,310
colorectal,refe_tree,baseline,40000,3,3,0.6965390746256135,0.09001335486771475,0.03875,0.961,0.037592432145183825,0.3770041786695817,-1.8702849592773951,310
colorectal,refe_tree,baseline,40000,3,4,0.703640882587357,0.08978689188136071,0.03875,0.96025,0.03843566954439648,0.367078526806683,-1.9167012350027126,310
colorectal,refe_tree,baseline,40000,4,0,0.6922919614781115,0.08452213349216192,0.038625,0.9595,0.03790376194532077,0.36786142938759503,-1.8955394177133513,309
colorectal,refe_tree,baseline,40000,4,1,0.6719190967966172,0.10291482613140118,0.038625,0.961125,0.0371721380643514,0.22372764615835303,-2.39737696411095,309
colorectal,refe_tree,baseline,40000,4,2,0.6551642266873611,0.08139745188615113,0.03875,0.960125,0.03809699451660111,0.23570812960171328,-2.3443812974915677,310
colorectal,refe_tree,baseline,40000,4,3,0.7049148454213683,0.08117598251941019,0.03875,0.960125,0.038512010823872726,0.5486507233140816,-1.3251337644997474,310
colorectal,refe_tree,baseline,40000,4,4,0.675176601367507,0.09008855931182741,0.03875,0.959875,0.03781155103768851,0.3625250884244552,-1.925361370576794,310
colorectal,refe_tree,baseline,40000,5,0,0.6676706561150995,0.10169465336559691,0.038625,0.959625,0.03714864490872892,0.3304433244630347,-2.0137786656153893,309
colorectal,refe_tree,baseline,40000,5,1,0.6833705095562039,0.09035698551037794,0.038625,0.96025,0.037822608717937245,0.30869764106711656,-2.1092821040001533,309
colorectal,refe_tree,baseline,40000,5,2,0.7148013758966398,0.09798500537778052,0.03875,0.960625,0.03733612375604262,0.535472053107977,-1.3605125374291729,310
colorectal,refe_tree,baseline,40000,5,3,0.6706225093334452,0.08319388232696791,0.03875,0.96,0.03825543124736113,0.2836638307412841,-2.1727617118096183,310
colorectal,refe_tree,baseline,40000,5,4,0.6816739376651706,0.07979212081944881,0.03875,0.961125,0.03793131423184595,0.4389987266920061,-1.670047112187629,310
colorectal,refe_tree,baseline,40000,6,0,0.6663430841495481,0.07852859690230757,0.038625,0.9585,0.03839453989461198,0.3572755065059065,-1.9429856940758066,309
colorectal,refe_tree,baseline,40000,6,1,0.6854984117526517,0.09751428476276723,0.038625,0.961,0.036909957501182,0.5344286120751711,-1.348459965420588,309
colorectal,refe_tree,baseline,40000,6,2,0.6627796887453333,0.0830171368462384,0.03875,0.958875,0.03800980931660393,0.4677330407258363,-1.5695947116213014,310
colorectal,refe_tree,baseline,40000,6,3,0.6686178111497966,0.08127664100519225,0.03875,0.958875,0.038502777699195266,0.23549462286660078,-2.357062484713369,310
colorectal,refe_tree,baseline,40000,6,4,0.7208477704601703,0.10376719541706417,0.03875,0.960125,0.037544361179944474,0.56502823124459,-1.2601830935788585,310
colorectal,refe_tree,baseline,40000,7,0,0.6702086118394173,0.09716111657805784,0.038625,0.960125,0.037163706118451205,0.5341383069248532,-1.360045126276633,309
colorectal,refe_tree,baseline,40000,7,1,0.6597323648580129,0.09249866546048649,0.038625,0.961625,0.037841297529499086,0.12975620550008812,-2.7322756964493395,309
colorectal,refe_tree,baseline,40000,7,2,0.6869879189563319,0.09399525803267517,0.03875,0.96025,0.037830821556807455,0.40464546657819245,-1.7824681547056964,310
colorectal,refe_tree,baseline,40000,7,3,0.6856409664834934,0.08204673714909831,0.03875,0.960375,0.037895550609050505,0.37551058065157716,-1.874654881858511,310
colorectal,refe_tree,baseline,40000,7,4,0.6967488149670706,0.09391892098958426,0.03875,0.959875,0.03739318110847913,0.3895547732854836,-1.8230498899055858,310
colorectal,refe_tree,baseline,40000,8,0,0.6858743818164299,0.09163387680195993,0.038625,0.961,0.037083573625386175,0.3370589340614783,-2.0010727320336437,309
colorectal,refe_tree,baseline,40000,8,1,0.6794849946497377,0.07557254692638538,0.038625,0.959,0.0387240133201284,0.24118800462982218,-2.337417234473242,309
colorectal,refe_tree,baseline,40000,8,2,0.679744536264105,0.10581332531185492,0.03875,0.9605,0.03707734816308569,0.38932961214277206,-1.800969709343896,310
colorectal,refe_tree,baseline,40000,8,3,0.6998506648768823,0.08912882416718373,0.03875,0.960125,0.03780656849121973,0.5356065653913201,-1.3630397632256015,310
