cohort,method,feature_set,subsample_n,seed,fold,auroc,auprc,prevalence,accuracy,brier,calibration_slope,calibration_intercept,n_positive
lung,refe_tree,baseline,40000,0,0,0.7080351556204685,0.11031980807531631,0.038625,0.96,0.03713683534883013,0.48686732751132333,-1.494791367046071,309
lung,refe_tree,baseline,40000,0,1,0.705936708269532,0.11260839815612154,0.038625,0.960125,0.037183607827316334,0.46126964733419507,-1.548235218734072,309
lung,refe_tree,baseline,40000,0,2,0.7070500020974033,0.10600755932154199,0.03875,0.95925,0.037745654636003365,0.46062806523168737,-1.5624996887121039,310
lung,refe_tree,baseline,40000,0,3,0.7009322958177776,0.10621851342853945,0.03875,0.960625,0.03746730714246175,0.5357536442060118,-1.308403542968085,310
lung,refe_tree,baseline,40000,0,4,0.7270365787155502,0.10600552296905638,0.03875,0.95925,0.03746076111138443,0.5373221764122383,-1.3105899040758904,310
lung,refe_tree,baseline,40000,1,0,0.709679156783514,0.11126389542670262,0.038625,0.95925,0.037210143989829934,0.43673417202985293,-1.6353334324032485,309
lung,refe_tree,baseline,40000,1,1,0.6987623494699601,0.13872887935870565,0.038625,0.961125,0.03657588047087319,0.4669095790610486,-1.5349363294167417,309
lung,refe_tree,baseline,40000,1,2,0.7215774571081002,0.10777617881210279,0.03875,0.961125,0.03717931177079907,0.6286061403242051,-1.0279127814180422,310
lung,refe_tree,baseline,40000,1,3,0.7201107429002895,0.10816184651150855,0.03875,0.959625,0.037444630255315976,0.4778903257387369,-1.4955564229287326,310
lung,refe_tree,baseline,40000,1,4,0.6936771676664291,0.11052160012575143,0.03875,0.959,0.03736013980609862,0.35002198421000075,-1.9049112586488552,310
lung,refe_tree,baseline,40000,2,0,0.7028054477999124,0.11952706149109872,0.038625,0.96075,0.03696885658505725,0.3972228748773463,-1.7604794182881605,309
lung,refe_tree,baseline,40000,2,1,0.6966813646345769,0.11134432650991606,0.038625,0.96075,0.03709343617073571,0.4908885266577647,-1.4524069161658992,309
lung,refe_tree,baseline,40000,2,2,0.74178468056546,0.1176191363826751,0.03875,0.960875,0.03716163293429831,0.5597702502898657,-1.2207266353608384,310
lung,refe_tree,baseline,40000,2,3,0.7295498972272327,0.12162983762140193,0.03875,0.95925,0.03672498869024258,0.5675364075929392,-1.2169382384869554,310
lung,refe_tree,baseline,40000,2,4,0.7118671085196527,0.09897820519180987,0.03875,0.958625,0.03782777383462489,0.5225122723117325,-1.3788065188581884,310
lung,refe_tree,baseline,40000,3,0,0.7068552786659816,0.10131445872219672,0.038625,0.96125,0.03738268395370703,0.4020555782125093,-1.743654379969664,309
lung,refe_tree,baseline,40000,3,1,0.6987129074078516,0.10926111818747936,0.038625,0.95925,0.037315871217735774,0.517236005706424,-1.3810862160167217,309
lung,refe_tree,baseline,40000,3,2,0.7389779353160786,0.11499062751920237,0.03875,0.959625,0.03713291085118669,0.4888414375630153,-1.4625681560832302,310
lung,refe_tree,baseline,40000,3,3,0.6850232811779018,0.09997583134713886,0.03875,0.95875,0.037840721034000366,0.41063723051029144,-1.7211691263675002,310
lung,refe_tree,baseline,40000,3,4,0.7215661311296614,0.11326185756991775,0.03875,0.96025,0.03747203734871027,0.5185219568637266,-1.3884924105737964,310
lung,refe_tree,baseline,40000,4,0,0.7203941984053147,0.10656144838373557,0.038625,0.95975,0.03723659020692653,0.5925683276664554,-1.1492567342971474,309
lung,refe_tree,baseline,40000,4,1,0.70453192253039,0.11359673574821123,0.038625,0.959375,0.03683065130740661,0.44178220399913487,-1.6185866030784077,309
lung,refe_tree,baseline,40000,4,2,0.7205864339947146,0.10721890417481868,0.03875,0.95975,0.03765070871141852,0.5316354565777156,-1.333087052513131,310
lung,refe_tree,baseline,40000,4,3,0.7317043500146818,0.13121546697136377,0.03875,0.960375,0.03623940774842734,0.4674214655013356,-1.5323408759649402,310
lung,refe_tree,baseline,40000,4,4,0.6854939385041319,0.116811780088339,0.03875,0.961125,0.03697516210227502,0.5464142311891036,-1.2855277039534638,310
lung,refe_tree,baseline,40000,5,0,0.7154361063387247,0.1259713066537219,0.038625,0.9585,0.0371154790776277,0.5350341882422923,-1.3428205186147513,309
lung,refe_tree,baseline,40000,5,1,0.7263108353015482,0.11312647218200579,0.038625,0.960125,0.037215173239531024,0.4184986318801699,-1.6951901120845339,309
lung,refe_tree,baseline,40000,5,2,0.7134347078317044,0.11393710352479174,0.03875,0.960375,0.03673648460188293,0.4537232247513473,-1.562122685087906,310
lung,refe_tree,baseline,40000,5,3,0.6945024959100633,0.09225830786031253,0.03875,0.95775,0.03838238179372935,0.4517948071398798,-1.5744908311326893,310
lung,refe_tree,baseline,40000,5,4,0.7085563572297496,0.0976520785587946,0.03875,0.959375,0.037926997802069005,0.4103116990049514,-1.7226760616123251,310
lung,refe_tree,baseline,40000,6,0,0.7032962917611851,0.09917491814821922,0.038625,0.959125,0.03781241081797717,0.38877461704642324,-1.7814434077562888,309
lung,refe_tree,baseline,40000,6,1,0.6949195440894855,0.1116133248770098,0.038625,0.959875,0.03707234321648532,0.3551072939891573,-1.9006547113251089,309
lung,refe_tree,baseline,40000,6,2,0.7105597969713496,0.10362696911930086,0.03875,0.959125,0.03765504762348614,0.3774050236354527,-1.8216524053561867,310
lung,refe_tree,baseline,40000,6,3,0.7006810268887117,0.10366150715518303,0.03875,0.959875,0.03743680266008942,0.34263462230442965,-1.9426297834222686,310
lung,refe_tree,baseline,40000,6,4,0.7524271152313438,0.13661227929338526,0.03875,0.960375,0.036209184936872335,0.636895475828352,-1.0233757153783896,310
lung,refe_tree,baseline,40000,7,0,0.7176809863502037,0.11182087605241683,0.038625,0.959875,0.036915317225149014,0.5367736546929629,-1.3051643990384991,309
lung,refe_tree,baseline,40000,7,1,0.714209522414927,0.10586151880610625,0.038625,0.95975,0.03762566691522589,0.4826806166244854,-1.4985686835391645,309
lung,refe_tree,baseline,40000,7,2,0.7200927052309241,0.1171373841792396,0.03875,0.95925,0.03697980079374018,0.5768382037146199,-1.187797909957386,310
lung,refe_tree,baseline,40000,7,3,0.6914988044800536,0.10490475867902234,0.03875,0.9605,0.037813272088603585,0.38840197123976883,-1.7973354546736395,310
lung,refe_tree,baseline,40000,7,4,0.7086534670078443,0.1040850892214108,0.03875,0.9605,0.03748242690608981,0.30685388662986335,-2.0586147067500065,310
lung,refe_tree,baseline,40000,8,0,0.7253253603274369,0.13496589272346665,0.038625,0.960375,0.03638745173218291,0.49434122747005493,-1.4517813110627025,309
lung,refe_tree,baseline,40000,8,1,0.7074412196999056,0.12249130315453724,0.038625,0.96,0.036914376339593685,0.3836476517714409,-1.8027111439694932,309
lung,refe_tree,baseline,40000,8,2,0.7039649314149083,0.0913858529640193,0.03875,0.959,0.038005234010324886,0.47514649312424245,-1.4998267869535082,310
lung,refe_tree,baseline,40000,8,3,0.7179468517974746,0.1289449410453843,0.03875,0.961375,0.03665890257773924,0.5633887773990125,-1.2067595173324808,310
lung,refe_tree,baseline,40000,8,4,0.7106973866353455,0.11498068333004746,0.03875,0.959125,0.03702364142165486,0.35124732230730693,-1.9164586037894038,310
lung,refe_tree,baseline,40000,9,0,0.7213567406782777,0.13537561654872302,0.038625,0.961125,0.03631765886284819,0.5344150006277008,-1.3070656005757124,309
lung,refe_tree,baseline,40000,9,1,0.7105901530768322,0.10125855515935987,0.038625,0.958875,0.037732392857603214,0.43980600564333033,-1.638721228203379,309
lung,refe_tree,baseline,40000,9,2,0.6929464323167918,0.10263233971611452,0.03875,0.959,0.03782714723823496,0.4997186226133727,-1.428413747278764,310
lung,refe_tree,baseline,40000,9,3,0.7164386090020555,0.11372241749995002,0.03875,0.960125,0.03716989971447476,0.5551581636850556,-1.264446210892306,310
lung,refe_tree,baseline,40000,9,4,0.7326752380552874,0.1333119558560572,0.03875,0.961375,0.03670476153090843,0.5495473205965056,-1.2929683312049902,310
