dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_acs_income,holdout,1.0,0,43,0,mean_impute,0.7295872775731874,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,0,mean_indicator,0.7409670286311475,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,0,family_cv,0.7387767472763122,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,0,histgb_native,0.7881917201295608,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,1,mean_impute,0.7353874294983311,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,1,mean_indicator,0.7476652858176093,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,1,family_cv,0.7340774590652434,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,1,histgb_native,0.7812713194203633,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,2,mean_impute,0.7362025571060064,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,2,mean_indicator,0.7450714164889152,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,2,family_cv,0.7335548716399938,0.2636,20000,43,-1
cand_acs_income,holdout,1.0,0,43,2,histgb_native,0.7834464884592304,0.2636,20000,43,-1
cand_acs_income,holdout,0.5,0,22,0,mean_impute,0.6909482518412462,0.2636,20000,43,-1
cand_acs_income,holdout,0.5,0,22,0,mean_indicator,0.7131042537148955,0.2636,20000,43,-1
cand_acs_income,holdout,0.5,0,22,0,family_cv,0.7050550391757058,0.2636,20000,43,-1
cand_acs_income,holdout,0.5,0,22,0,histgb_native,0.7443484942610966,0.2636,20000,43,-1
cand_acs_income,holdout,0.5,0,22,1,mean_impute,0.6892797157119558,0.2636,20000,43,-1
cand_acs_income,holdout,0.5,0,22,1,mean_indicator,0.7083462666277134,0.2636,20000,43,-1
cand_acs_income,holdout,0.5,0,22,1,family_cv,0.6866514708483995,0.2636,20000,43,-1
cand_acs_income,holdout,0.5,0,22,1,histgb_native,0.7499862195494247,0.2636,20000,43,-1
cand_acs_income,holdout,0.5,0,22,2,mean_impute,0.6871686682252651,0.2636,20000,43,-1
