dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_acs_income,holdout,1.0,0,43,0,mean_impute,0.703218122072439,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,0,mean_indicator,0.704196060087104,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,0,family_cv,0.7001607633345035,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,0,histgb_native,0.7513959939841253,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,1,mean_impute,0.71096390673891,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,1,mean_indicator,0.7114746746268832,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,1,family_cv,0.6986649232151131,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,1,histgb_native,0.755243200519269,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,2,mean_impute,0.703109841779623,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,2,mean_indicator,0.701255504336597,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,2,family_cv,0.6953232215008205,0.2636,20000,43,1
cand_acs_income,holdout,1.0,0,43,2,histgb_native,0.7439994288455248,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,0,mean_impute,0.672184415176462,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,0,mean_indicator,0.673907942409069,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,0,family_cv,0.674979861681661,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,0,histgb_native,0.717510440751994,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,1,mean_impute,0.6614330495586805,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,1,mean_indicator,0.6666909750743185,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,1,family_cv,0.6513640403519789,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,1,histgb_native,0.7111854224911487,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,2,mean_impute,0.6631746724629196,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,2,mean_indicator,0.6612921225815991,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,2,family_cv,0.6514364101548011,0.2636,20000,43,1
cand_acs_income,holdout,0.5,0,22,2,histgb_native,0.7032364759571252,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,0,mean_impute,0.6616803529899097,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,0,mean_indicator,0.6611583009084012,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,0,family_cv,0.6593055958476811,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,0,histgb_native,0.7142213638045254,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,1,mean_impute,0.66557696002691,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,1,mean_indicator,0.6648462186812621,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,1,family_cv,0.6606418516099823,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,1,histgb_native,0.7256751569473898,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,2,mean_impute,0.6577816368397345,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,2,mean_indicator,0.6562439305996155,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,2,family_cv,0.6528284911243248,0.2636,20000,43,1
cand_acs_income,holdout,0.5,1,22,2,histgb_native,0.7064361187141039,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,0,mean_impute,0.62631803204636,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,0,mean_indicator,0.6264527587467549,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,0,family_cv,0.6264075627727054,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,0,histgb_native,0.6592177283187785,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,1,mean_impute,0.6191126018719177,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,1,mean_indicator,0.6202099001654815,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,1,family_cv,0.6150226082864334,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,1,histgb_native,0.6571496667777578,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,2,mean_impute,0.6194894577732528,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,2,mean_indicator,0.615905838908836,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,2,family_cv,0.6122407275328517,0.2636,20000,43,1
cand_acs_income,holdout,0.25,0,11,2,histgb_native,0.6483560349343447,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,0,mean_impute,0.561253460105966,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,0,mean_indicator,0.5649216520498811,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,0,family_cv,0.5601577354938553,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,0,histgb_native,0.5974018477056492,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,1,mean_impute,0.5900036281886033,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,1,mean_indicator,0.5947924441850818,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,1,family_cv,0.5822035622278817,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,1,histgb_native,0.6142670223877775,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,2,mean_impute,0.5782597133828337,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,2,mean_indicator,0.5810981658061289,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,2,family_cv,0.5746809016426148,0.2636,20000,43,1
cand_acs_income,holdout,0.25,1,11,2,histgb_native,0.5983599047692683,0.2636,20000,43,1
cand_acs_income,holdout,0.1,0,5,0,mean_impute,0.3380013875893346,0.2636,20000,43,1
cand_acs_income,holdout,0.1,0,5,0,mean_indicator,0.33929667438957994,0.2636,20000,43,1
cand_acs_income,holdout,0.1,0,5,0,family_cv,0.3584248645126215,0.2636,20000,43,1
cand_acs_income,holdout,0.1,0,5,0,histgb_native,0.4112940325925539,0.2636,20000,43,1
