dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_airbnb,holdout,1.0,0,29,0,mean_impute,0.8696207722060486,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,0,mean_indicator,0.8774515584466379,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,0,family_cv,0.8794695848014705,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,0,histgb_native,0.9314919741422224,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,1,mean_impute,0.8752166444129683,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,1,mean_indicator,0.8822583351889681,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,1,family_cv,0.8815651746844813,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,1,histgb_native,0.9303221249823348,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,2,mean_impute,0.8745943870483743,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,2,mean_indicator,0.8797253257293489,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,2,family_cv,0.8774725638519467,0.4936,20000,29,-1
cand_airbnb,holdout,1.0,0,29,2,histgb_native,0.9337853243108998,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,0,mean_impute,0.7876479411747707,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,0,mean_indicator,0.8507027291798945,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,0,family_cv,0.8512383426186146,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,0,histgb_native,0.9120953494683383,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,1,mean_impute,0.8008526008351432,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,1,mean_indicator,0.8521101230269823,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,1,family_cv,0.8553183884832631,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,1,histgb_native,0.9138708055381095,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,2,mean_impute,0.7820621211612109,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,2,mean_indicator,0.8430455444868232,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,2,family_cv,0.8438736243308421,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,0,15,2,histgb_native,0.9116216441824718,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,1,15,0,mean_impute,0.7538820061300544,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,1,15,0,mean_indicator,0.8271305561579563,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,1,15,0,family_cv,0.8310260243589348,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,1,15,0,histgb_native,0.8852935717652135,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,1,15,1,mean_impute,0.7596599858205322,0.4936,20000,29,-1
cand_airbnb,holdout,0.5,1,15,1,mean_indicator,0.8256464077000285,0.4936,20000,29,-1
