dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_airbnb,holdout,1.0,0,29,0,mean_impute,0.8672936908894049,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,0,mean_indicator,0.8671890975692051,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,0,family_cv,0.8627578271495882,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,0,histgb_native,0.9243147595070843,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,1,mean_impute,0.8741695571904816,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,1,mean_indicator,0.8742816223132297,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,1,family_cv,0.871922914513417,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,1,histgb_native,0.9265499236621456,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,2,mean_impute,0.8721246686253565,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,2,mean_indicator,0.8710782558368889,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,2,family_cv,0.8692811301753123,0.4936,20000,29,2
cand_airbnb,holdout,1.0,0,29,2,histgb_native,0.930415543640682,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,0,mean_impute,0.7623263400808902,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,0,mean_indicator,0.7617186397454837,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,0,family_cv,0.754810670192908,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,0,histgb_native,0.8860525980788703,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,1,mean_impute,0.779567056631719,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,1,mean_indicator,0.7802488089646676,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,1,family_cv,0.7764197916134887,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,1,histgb_native,0.8906975389527497,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,2,mean_impute,0.7665373631457492,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,2,mean_indicator,0.7642936322245582,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,2,family_cv,0.7614586114677376,0.4936,20000,29,2
cand_airbnb,holdout,0.5,0,15,2,histgb_native,0.8912910180144595,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,0,mean_impute,0.7356446191089463,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,0,mean_indicator,0.734741101453416,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,0,family_cv,0.7305628057461759,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,0,histgb_native,0.859790900126632,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,1,mean_impute,0.7492906184633602,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,1,mean_indicator,0.7476263472846565,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,1,family_cv,0.7420418678080245,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,1,histgb_native,0.8583997692756502,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,2,mean_impute,0.7364235493996115,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,2,mean_indicator,0.7343785352055465,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,2,family_cv,0.7359474321170422,0.4936,20000,29,2
cand_airbnb,holdout,0.5,1,15,2,histgb_native,0.8668728799584263,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,0,mean_impute,0.8312619519000188,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,0,mean_indicator,0.8310588776133749,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,0,family_cv,0.8290779062946849,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,0,histgb_native,0.8509205315052755,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,1,mean_impute,0.8368173357420092,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,1,mean_indicator,0.8367570122432579,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,1,family_cv,0.8353858936828065,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,1,histgb_native,0.8523042416652494,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,2,mean_impute,0.8336200763198008,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,2,mean_indicator,0.8327266273140707,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,2,family_cv,0.8330787611332829,0.4936,20000,29,2
cand_airbnb,holdout,0.25,0,8,2,histgb_native,0.8531109399635717,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,0,mean_impute,0.5888767636584836,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,0,mean_indicator,0.5864367550133747,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,0,family_cv,0.5868785124734506,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,0,histgb_native,0.667714180773721,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,1,mean_impute,0.5968842209829374,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,1,mean_indicator,0.5935935111874098,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,1,family_cv,0.595998587632919,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,1,histgb_native,0.6727440366970558,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,2,mean_impute,0.5818890648948317,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,2,mean_indicator,0.5802272792396793,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,2,family_cv,0.5803206879445995,0.4936,20000,29,2
cand_airbnb,holdout,0.25,1,8,2,histgb_native,0.6588656128168219,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,0,mean_impute,0.5035890195674471,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,0,mean_indicator,0.5049769567577569,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,0,family_cv,0.5051004248438461,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,0,histgb_native,0.550522866357563,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,1,mean_impute,0.5149784044411473,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,1,mean_indicator,0.517702490385116,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,1,family_cv,0.5142767522919185,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,1,histgb_native,0.5543224750086702,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,2,mean_impute,0.5159529337404705,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,2,mean_indicator,0.5152033626809085,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,2,family_cv,0.5008164553375773,0.4936,20000,29,2
cand_airbnb,holdout,0.1,0,3,2,histgb_native,0.539066035596176,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,0,mean_impute,0.5074840860186276,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,0,mean_indicator,0.5129184673051711,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,0,family_cv,0.5114491870749416,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,0,histgb_native,0.5594032117042835,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,1,mean_impute,0.5241061651450016,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,1,mean_indicator,0.5278370437153326,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,1,family_cv,0.5205363642006624,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,1,histgb_native,0.570178489098921,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,2,mean_impute,0.5252880946066387,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,2,mean_indicator,0.5275695974532536,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,2,family_cv,0.5212218540194912,0.4936,20000,29,2
cand_airbnb,holdout,0.1,1,3,2,histgb_native,0.5628596044011267,0.4936,20000,29,2
