dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_eicu_regime,holdout,1.0,0,57,0,mean_impute,0.3206209940321337,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,0,mean_indicator,0.3537385548689659,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,0,family_cv,0.2903410816228896,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,0,histgb_native,0.3743563181995023,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,1,mean_impute,0.3293483141768101,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,1,mean_indicator,0.35924422239533704,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,1,family_cv,0.33048652953149105,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,1,histgb_native,0.37508359081114945,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,2,mean_impute,0.35672985069174395,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,2,mean_indicator,0.37351486444200865,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,2,family_cv,0.33795024601869145,0.0925,20000,57,-1
cand_eicu_regime,holdout,1.0,0,57,2,histgb_native,0.3900591064599599,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,0,mean_impute,0.26597516642101243,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,0,mean_indicator,0.3156940182604074,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,0,family_cv,0.24915205187399686,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,0,histgb_native,0.3201381778178148,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,1,mean_impute,0.26791288663697566,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,1,mean_indicator,0.32043266972102136,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,1,family_cv,0.2867629993159819,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,1,histgb_native,0.3156725704234861,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,2,mean_impute,0.30169301388259107,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,2,mean_indicator,0.3308486013972211,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,2,family_cv,0.2908749309707263,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,0,29,2,histgb_native,0.34231724033380473,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,1,29,0,mean_impute,0.3070343410585901,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,1,29,0,mean_indicator,0.34555793509389054,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,1,29,0,family_cv,0.26322029918170337,0.0925,20000,57,-1
cand_eicu_regime,holdout,0.5,1,29,0,histgb_native,0.3451410917711332,0.0925,20000,57,-1
