dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_eicu_regime,holdout,1.0,0,57,0,mean_impute,0.24413532223838796,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,0,mean_indicator,0.23307845383740736,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,0,family_cv,0.23858111916558092,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,0,histgb_native,0.2996671697141747,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,1,mean_impute,0.290417428507569,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,1,mean_indicator,0.286403860199743,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,1,family_cv,0.2569871860376754,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,1,histgb_native,0.30171456671405683,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,2,mean_impute,0.28675053959988134,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,2,mean_indicator,0.27567607395217697,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,2,family_cv,0.25941975333180617,0.0925,20000,57,2
cand_eicu_regime,holdout,1.0,0,57,2,histgb_native,0.30951021488144204,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,0,mean_impute,0.2107544802671935,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,0,mean_indicator,0.20334831077724627,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,0,family_cv,0.1961412951027221,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,0,histgb_native,0.24180019476176398,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,1,mean_impute,0.2314139811583214,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,1,mean_indicator,0.22244567920745206,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,1,family_cv,0.21540607555523025,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,1,histgb_native,0.2740340534682104,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,2,mean_impute,0.23139556902020408,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,2,mean_indicator,0.21976457345596856,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,2,family_cv,0.21035997101501805,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,0,29,2,histgb_native,0.2768406228753184,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,0,mean_impute,0.22961569788274208,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,0,mean_indicator,0.22434715850681097,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,0,family_cv,0.20656744063019705,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,0,histgb_native,0.26801513583928654,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,1,mean_impute,0.26999173736176446,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,1,mean_indicator,0.2675769393481985,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,1,family_cv,0.23299022566928249,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,1,histgb_native,0.2768326535943453,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,2,mean_impute,0.26637119959738303,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,2,mean_indicator,0.2615528144701917,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,2,family_cv,0.23195975047959594,0.0925,20000,57,2
cand_eicu_regime,holdout,0.5,1,29,2,histgb_native,0.2879363556515331,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,0,mean_impute,0.21813229747125545,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,0,mean_indicator,0.21061064970351692,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,0,family_cv,0.18745153708133652,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,0,histgb_native,0.2112362001026595,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,1,mean_impute,0.21391955882131247,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,1,mean_indicator,0.21132705766700827,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,1,family_cv,0.18533424437608967,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,1,histgb_native,0.23251299604888548,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,2,mean_impute,0.22717157843272434,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,2,mean_indicator,0.2220420040920176,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,2,family_cv,0.19720582030891515,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,0,15,2,histgb_native,0.2401394595134864,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,1,15,0,mean_impute,0.18305763765814945,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,1,15,0,mean_indicator,0.17054412718073952,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,1,15,0,family_cv,0.1814154080100493,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,1,15,0,histgb_native,0.21902926906523706,0.0925,20000,57,2
cand_eicu_regime,holdout,0.25,1,15,1,mean_impute,0.18745852349561581,0.0925,20000,57,2
