dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_higgs,holdout,1.0,0,30,0,mean_impute,0.6576493441693739,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,0,mean_indicator,0.6636002932334657,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,0,family_cv,0.69595687862222,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,0,histgb_native,0.8393157721674532,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,1,mean_impute,0.6581366442097571,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,1,mean_indicator,0.6643823863569583,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,1,family_cv,0.7121006821787692,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,1,histgb_native,0.8262564514430034,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,2,mean_impute,0.6661196219629706,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,2,mean_indicator,0.6743119565668384,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,2,family_cv,0.7031891762237007,0.34015,20000,30,-1
cand_higgs,holdout,1.0,0,30,2,histgb_native,0.8342306134613483,0.34015,20000,30,-1
cand_higgs,holdout,0.5,0,15,0,mean_impute,0.6153721416015888,0.34015,20000,30,-1
cand_higgs,holdout,0.5,0,15,0,mean_indicator,0.6309539495810725,0.34015,20000,30,-1
cand_higgs,holdout,0.5,0,15,0,family_cv,0.6490379937789357,0.34015,20000,30,-1
cand_higgs,holdout,0.5,0,15,0,histgb_native,0.8172492663523779,0.34015,20000,30,-1
cand_higgs,holdout,0.5,0,15,1,mean_impute,0.6263882769221557,0.34015,20000,30,-1
cand_higgs,holdout,0.5,0,15,1,mean_indicator,0.6369902142928762,0.34015,20000,30,-1
cand_higgs,holdout,0.5,0,15,1,family_cv,0.6657029341387197,0.34015,20000,30,-1
cand_higgs,holdout,0.5,0,15,1,histgb_native,0.8135622351672506,0.34015,20000,30,-1
cand_higgs,holdout,0.5,0,15,2,mean_impute,0.6265723195926647,0.34015,20000,30,-1
