dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_higgs,holdout,1.0,0,30,0,mean_impute,0.631587326753292,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,0,mean_indicator,0.6315674318130976,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,0,family_cv,0.6282631516166729,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,0,histgb_native,0.8186593153331203,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,1,mean_impute,0.6308830835489189,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,1,mean_indicator,0.6302287515273787,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,1,family_cv,0.6277320363268809,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,1,histgb_native,0.8136057717251655,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,2,mean_impute,0.6330085614221074,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,2,mean_indicator,0.6330061076301479,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,2,family_cv,0.6335522549054079,0.34015,20000,30,2
cand_higgs,holdout,1.0,0,30,2,histgb_native,0.8246374173830154,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,0,mean_impute,0.5875001165854934,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,0,mean_indicator,0.58743087642802,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,0,family_cv,0.5896414079886042,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,0,histgb_native,0.7890994959837703,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,1,mean_impute,0.5937915612528104,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,1,mean_indicator,0.5926517616606948,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,1,family_cv,0.5907841697586671,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,1,histgb_native,0.7851430376351574,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,2,mean_impute,0.59372348136292,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,2,mean_indicator,0.5936771640746493,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,2,family_cv,0.5944624679917037,0.34015,20000,30,2
cand_higgs,holdout,0.5,0,15,2,histgb_native,0.789106552887432,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,0,mean_impute,0.5842239491253088,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,0,mean_indicator,0.5842761546220981,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,0,family_cv,0.5839022352456703,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,0,histgb_native,0.791697965167516,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,1,mean_impute,0.5779848530845053,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,1,mean_indicator,0.5765468295972942,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,1,family_cv,0.578372455592491,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,1,histgb_native,0.778507697127207,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,2,mean_impute,0.5738568128040322,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,2,mean_indicator,0.5737944797407724,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,2,family_cv,0.5765251910753598,0.34015,20000,30,2
cand_higgs,holdout,0.5,1,15,2,histgb_native,0.7862813325642093,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,0,mean_impute,0.5775681583424529,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,0,mean_indicator,0.5772364500180093,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,0,family_cv,0.5759825054678804,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,0,histgb_native,0.789307092872872,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,1,mean_impute,0.5724605440197281,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,1,mean_indicator,0.571079229345058,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,1,family_cv,0.5653087738797554,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,1,histgb_native,0.7819221596704036,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,2,mean_impute,0.5752349438237958,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,2,mean_indicator,0.5749645916049834,0.34015,20000,30,2
cand_higgs,holdout,0.25,0,8,2,family_cv,0.5718919671269656,0.34015,20000,30,2
