dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_mimic4_regime,holdout,1.0,0,57,0,mean_impute,0.38443780763988594,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,0,mean_indicator,0.42733625960241095,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,0,family_cv,0.3945788004248212,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,0,histgb_native,0.4333133006891461,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,1,mean_impute,0.39524712895949266,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,1,mean_indicator,0.44473543699101914,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,1,family_cv,0.39690498681881314,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,1,histgb_native,0.46517663561146,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,2,mean_impute,0.3939876157105843,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,2,mean_indicator,0.4283745341086809,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,2,family_cv,0.38932327157612423,0.10805,20000,57,-1
cand_mimic4_regime,holdout,1.0,0,57,2,histgb_native,0.4384551920240349,0.10805,20000,57,-1
cand_mimic4_regime,holdout,0.5,0,29,0,mean_impute,0.3531841804915083,0.10805,20000,57,-1
cand_mimic4_regime,holdout,0.5,0,29,0,mean_indicator,0.40155217888590133,0.10805,20000,57,-1
cand_mimic4_regime,holdout,0.5,0,29,0,family_cv,0.36904007127807,0.10805,20000,57,-1
cand_mimic4_regime,holdout,0.5,0,29,0,histgb_native,0.40048174547964327,0.10805,20000,57,-1
cand_mimic4_regime,holdout,0.5,0,29,1,mean_impute,0.36814821022912925,0.10805,20000,57,-1
cand_mimic4_regime,holdout,0.5,0,29,1,mean_indicator,0.42859202747109043,0.10805,20000,57,-1
cand_mimic4_regime,holdout,0.5,0,29,1,family_cv,0.36909642837088447,0.10805,20000,57,-1
cand_mimic4_regime,holdout,0.5,0,29,1,histgb_native,0.4267687288122843,0.10805,20000,57,-1
