dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_mimic4_regime,holdout,1.0,0,57,0,mean_impute,0.34421885414739584,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,0,mean_indicator,0.3416225375803237,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,0,family_cv,0.339991392239887,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,0,histgb_native,0.38489418958801674,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,1,mean_impute,0.34333805474802787,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,1,mean_indicator,0.3416402321118568,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,1,family_cv,0.33017102029322043,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,1,histgb_native,0.38054067548325116,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,2,mean_impute,0.34835953157955063,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,2,mean_indicator,0.34942442470854884,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,2,family_cv,0.3359294051612768,0.10805,20000,57,0
cand_mimic4_regime,holdout,1.0,0,57,2,histgb_native,0.3876048700057435,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,0,mean_impute,0.31590967387193136,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,0,mean_indicator,0.31142164382271736,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,0,family_cv,0.304860008739324,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,0,histgb_native,0.3584341593015047,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,1,mean_impute,0.31921105867671257,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,1,mean_indicator,0.31773640617824006,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,1,family_cv,0.30025203692998803,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,1,histgb_native,0.3620750252308208,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,2,mean_impute,0.3349319681192854,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,2,mean_indicator,0.33578467723235766,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,2,family_cv,0.31635316000718056,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,0,29,2,histgb_native,0.3567922635140551,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,0,mean_impute,0.31655790950485785,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,0,mean_indicator,0.31155739992373455,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,0,family_cv,0.3076724266060872,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,0,histgb_native,0.34450848304120085,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,1,mean_impute,0.31663523624343914,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,1,mean_indicator,0.314821149915814,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,1,family_cv,0.2949509775163566,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,1,histgb_native,0.35487185238528535,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,2,mean_impute,0.32254799623477215,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,2,mean_indicator,0.32559375206094554,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,2,family_cv,0.3143534837471369,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.5,1,29,2,histgb_native,0.35741219981118466,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,0,mean_impute,0.2606491997555454,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,0,mean_indicator,0.25840982507135024,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,0,family_cv,0.24833085866997395,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,0,histgb_native,0.31886116106286155,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,1,mean_impute,0.24937782140141582,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,1,mean_indicator,0.2503260843038473,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,1,family_cv,0.2308064744044572,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,1,histgb_native,0.3016012080062065,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,2,mean_impute,0.26644788496493704,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,2,mean_indicator,0.26681747316204807,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,2,family_cv,0.2521842463894955,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,0,15,2,histgb_native,0.32554423397209364,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,0,mean_impute,0.2983438635021448,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,0,mean_indicator,0.29428425198962205,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,0,family_cv,0.27992862762809145,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,0,histgb_native,0.3242283733151996,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,1,mean_impute,0.27874517010088135,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,1,mean_indicator,0.27809111931403335,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,1,family_cv,0.2558434254227252,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,1,histgb_native,0.314390688357394,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,2,mean_impute,0.2943068148453765,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,2,mean_indicator,0.29439570267228543,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,2,family_cv,0.2754077915695279,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.25,1,15,2,histgb_native,0.3076365489471819,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,0,mean_impute,0.25304865367885815,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,0,mean_indicator,0.24420015333162115,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,0,family_cv,0.23709243815928624,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,0,histgb_native,0.29260227427790764,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,1,mean_impute,0.22369768481316288,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,1,mean_indicator,0.2215399090795068,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,1,family_cv,0.21175727875040132,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,1,histgb_native,0.2719966164066294,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,2,mean_impute,0.24028897744843475,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,2,mean_indicator,0.24053726637872316,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,2,family_cv,0.2352091159898041,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,0,6,2,histgb_native,0.2793974734234639,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,0,mean_impute,0.2139794112835167,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,0,mean_indicator,0.19873920355773814,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,0,family_cv,0.1912907052748583,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,0,histgb_native,0.24621075590936986,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,1,mean_impute,0.20047064292069453,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,1,mean_indicator,0.19339454830557018,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,1,family_cv,0.17982329070850828,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,1,histgb_native,0.23816083992606116,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,2,mean_impute,0.20765179224365404,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,2,mean_indicator,0.20184448045975395,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,2,family_cv,0.18807366902794048,0.10805,20000,57,0
cand_mimic4_regime,holdout,0.1,1,6,2,histgb_native,0.25231611030901197,0.10805,20000,57,0
