dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_nhanes,holdout,1.0,0,52,0,mean_impute,0.45163000615451887,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,0,mean_indicator,0.5438746654674714,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,0,family_cv,0.4814628049710589,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,0,histgb_native,0.5645600699654464,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,1,mean_impute,0.43858412679939923,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,1,mean_indicator,0.538780555441873,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,1,family_cv,0.45906509816136604,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,1,histgb_native,0.5250747150151279,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,2,mean_impute,0.46725524324713136,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,2,mean_indicator,0.5833879622131242,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,2,family_cv,0.5065508364882773,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,1.0,0,52,2,histgb_native,0.568530309482368,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,0,mean_impute,0.42565145985729236,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,0,mean_indicator,0.5266373704051384,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,0,family_cv,0.4326515119063191,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,0,histgb_native,0.5491398243867378,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,1,mean_impute,0.4030514339500047,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,1,mean_indicator,0.505959429221339,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,1,family_cv,0.4140087793823685,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,1,histgb_native,0.5125103583173375,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,2,mean_impute,0.4570075536918505,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,2,mean_indicator,0.5713688291887936,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,2,family_cv,0.4687767721690782,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,0,26,2,histgb_native,0.5475485370789936,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,0,mean_impute,0.3578581035176694,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,0,mean_indicator,0.4985817335164035,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,0,family_cv,0.3648861590877764,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,0,histgb_native,0.472330183631132,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,1,mean_impute,0.3271730497328999,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,1,mean_indicator,0.4732237660148532,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,1,family_cv,0.33474499170570404,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,1,histgb_native,0.46464330145087035,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,2,mean_impute,0.3415164780169102,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,2,mean_indicator,0.5075967586224325,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,2,family_cv,0.35989252847918507,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.5,1,26,2,histgb_native,0.5041692407322634,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.25,0,13,0,mean_impute,0.37165242606314625,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.25,0,13,0,mean_indicator,0.5207767635913891,0.07251104315324498,14715,52,-1
cand_nhanes,holdout,0.25,0,13,0,family_cv,0.3856576644233024,0.07251104315324498,14715,52,-1
