dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_nhanes,holdout,1.0,0,52,0,mean_impute,0.44129057811661737,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,0,mean_indicator,0.44172652153011793,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,0,family_cv,0.4543943611438942,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,0,histgb_native,0.5674709001144386,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,1,mean_impute,0.4344715748995695,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,1,mean_indicator,0.4256482841940298,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,1,family_cv,0.44644050200198726,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,1,histgb_native,0.536246361925794,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,2,mean_impute,0.47374561456020164,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,2,mean_indicator,0.4675621976015948,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,2,family_cv,0.4759760228238506,0.07251104315324498,14715,52,0
cand_nhanes,holdout,1.0,0,52,2,histgb_native,0.5655105476810003,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,0,mean_impute,0.4158924126391546,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,0,mean_indicator,0.4129770306777374,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,0,family_cv,0.43258384205716,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,0,histgb_native,0.5433260960410133,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,1,mean_impute,0.4027265688068093,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,1,mean_indicator,0.3939239073688944,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,1,family_cv,0.4107344463286483,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,1,histgb_native,0.507779056048822,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,2,mean_impute,0.45137357751593693,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,2,mean_indicator,0.4404240196871621,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,2,family_cv,0.4500546916968869,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,0,26,2,histgb_native,0.5506131489451876,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,1,26,0,mean_impute,0.34782748347514136,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,1,26,0,mean_indicator,0.3475946585943352,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,1,26,0,family_cv,0.34705511886068946,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,1,26,0,histgb_native,0.37510862942737105,0.07251104315324498,14715,52,0
cand_nhanes,holdout,0.5,1,26,1,mean_impute,0.3173938690193964,0.07251104315324498,14715,52,0
