dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
cand_porto,holdout,1.0,0,57,0,mean_impute,0.05659641761814212,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,0,mean_indicator,0.056837392559044395,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,0,family_cv,0.04894462879555926,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,0,histgb_native,0.03864740418225916,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,1,mean_impute,0.05382596495223539,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,1,mean_indicator,0.053697276613101176,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,1,family_cv,0.05240544859636195,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,1,histgb_native,0.04378514629990596,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,2,mean_impute,0.058077800730295885,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,2,mean_indicator,0.0582924518837196,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,2,family_cv,0.05323644726375169,0.03555,20000,57,1
cand_porto,holdout,1.0,0,57,2,histgb_native,0.043763634390142234,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,0,mean_impute,0.05176916116551496,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,0,mean_indicator,0.052252013520830726,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,0,family_cv,0.04829754854940651,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,0,histgb_native,0.04251289762500617,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,1,mean_impute,0.04912839235543381,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,1,mean_indicator,0.04924533214025316,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,1,family_cv,0.03933618170062617,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,1,histgb_native,0.04045683585327757,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,2,mean_impute,0.058270365845628364,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,2,mean_indicator,0.05939053138340074,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,2,family_cv,0.05358295466438381,0.03555,20000,57,1
cand_porto,holdout,0.5,0,29,2,histgb_native,0.04814260045926891,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,0,mean_impute,0.053216316374279767,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,0,mean_indicator,0.05376765068550582,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,0,family_cv,0.048292227261869845,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,0,histgb_native,0.04715875579104535,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,1,mean_impute,0.0506231323683351,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,1,mean_indicator,0.05073712837980671,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,1,family_cv,0.05172075718842199,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,1,histgb_native,0.04236808938906983,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,2,mean_impute,0.05431602746925497,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,2,mean_indicator,0.05105520425385594,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,2,family_cv,0.051389061732392716,0.03555,20000,57,1
cand_porto,holdout,0.5,1,29,2,histgb_native,0.044274131529216734,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,0,mean_impute,0.04646235466177202,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,0,mean_indicator,0.047018013775043464,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,0,family_cv,0.0447747850493734,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,0,histgb_native,0.05125087899884674,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,1,mean_impute,0.045549700764375756,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,1,mean_indicator,0.04528070582200854,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,1,family_cv,0.04630986479566106,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,1,histgb_native,0.03720476342584303,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,2,mean_impute,0.04745420399280506,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,2,mean_indicator,0.05051437479176176,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,2,family_cv,0.04676841976083626,0.03555,20000,57,1
cand_porto,holdout,0.25,0,15,2,histgb_native,0.04529137283792334,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,0,mean_impute,0.05118770321376208,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,0,mean_indicator,0.05152287246934359,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,0,family_cv,0.05278776706022192,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,0,histgb_native,0.044280608120219826,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,1,mean_impute,0.05063683985164956,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,1,mean_indicator,0.050222943004881226,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,1,family_cv,0.052344032084365846,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,1,histgb_native,0.04380017543987568,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,2,mean_impute,0.055297151831554196,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,2,mean_indicator,0.05524772080125414,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,2,family_cv,0.05189221691440552,0.03555,20000,57,1
cand_porto,holdout,0.25,1,15,2,histgb_native,0.046973539167067535,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,0,mean_impute,0.052828119284983044,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,0,mean_indicator,0.05476494535679109,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,0,family_cv,0.05211616547016774,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,0,histgb_native,0.05051582245114784,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,1,mean_impute,0.04430487208534241,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,1,mean_indicator,0.04329364498844469,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,1,family_cv,0.04383809691640989,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,1,histgb_native,0.039603774052266165,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,2,mean_impute,0.0488009659173385,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,2,mean_indicator,0.04930415819223245,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,2,family_cv,0.04724526727966563,0.03555,20000,57,1
cand_porto,holdout,0.1,0,6,2,histgb_native,0.0454677627952336,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,0,mean_impute,0.04385158101826964,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,0,mean_indicator,0.044523398697779534,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,0,family_cv,0.044247328315176394,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,0,histgb_native,0.03958972088780324,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,1,mean_impute,0.04520165730321701,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,1,mean_indicator,0.04477299615834075,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,1,family_cv,0.0474762496132799,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,1,histgb_native,0.04566546815884063,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,2,mean_impute,0.04722568305169041,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,2,mean_indicator,0.04631490615005774,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,2,family_cv,0.047251126267034003,0.03555,20000,57,1
cand_porto,holdout,0.1,1,6,2,histgb_native,0.039787076249585496,0.03555,20000,57,1
