dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
sweep_42737,holdout,1.0,0,35,0,mean_impute,0.5925293397077659,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,0,mean_indicator,0.5904723654295323,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,0,family_cv,0.5926168595726244,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,0,histgb_native,0.6108725328852191,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,1,mean_impute,0.6075662515908437,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,1,mean_indicator,0.6031384940759049,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,1,family_cv,0.6044728299109867,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,1,histgb_native,0.6237234154982456,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,2,mean_impute,0.6056114153101819,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,2,mean_indicator,0.6041630553675517,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,2,family_cv,0.592604307251898,0.43225,20000,35,2
sweep_42737,holdout,1.0,0,35,2,histgb_native,0.6147714971429465,0.43225,20000,35,2
sweep_42737,holdout,0.5,0,18,0,mean_impute,0.5755497989692071,0.43225,20000,35,2
sweep_42737,holdout,0.5,0,18,0,mean_indicator,0.5708216639189999,0.43225,20000,35,2
sweep_42737,holdout,0.5,0,18,0,family_cv,0.5716132721132103,0.43225,20000,35,2
sweep_42737,holdout,0.5,0,18,0,histgb_native,0.5938291552915325,0.43225,20000,35,2
sweep_42737,holdout,0.5,0,18,1,mean_impute,0.591397841611025,0.43225,20000,35,2
sweep_42737,holdout,0.5,0,18,1,mean_indicator,0.5886839707728007,0.43225,20000,35,2
sweep_42737,holdout,0.5,0,18,1,family_cv,0.5883502646375612,0.43225,20000,35,2
sweep_42737,holdout,0.5,0,18,1,histgb_native,0.6021974374208575,0.43225,20000,35,2
sweep_42737,holdout,0.5,0,18,2,mean_impute,0.5919633382010282,0.43225,20000,35,2
