dataset,slice,q,draw,k,fold,arm,auprc,prevalence,n,p,permuted
sweep_42739,holdout,1.0,0,61,0,mean_impute,0.6071341455738799,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,0,mean_indicator,0.6243969764196611,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,0,family_cv,0.6143872884836243,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,0,histgb_native,0.7908077102638409,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,1,mean_impute,0.5929940627241985,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,1,mean_indicator,0.6064003132421334,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,1,family_cv,0.6131375653086139,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,1,histgb_native,0.8111149824186452,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,2,mean_impute,0.5764309693085578,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,2,mean_indicator,0.6024562046701483,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,2,family_cv,0.589640162410326,0.3392,20000,61,-1
sweep_42739,holdout,1.0,0,61,2,histgb_native,0.805602404802241,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,0,mean_impute,0.42211234453529967,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,0,mean_indicator,0.48759199471159154,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,0,family_cv,0.4754529853142915,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,0,histgb_native,0.5747430628685243,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,1,mean_impute,0.42644316244124514,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,1,mean_indicator,0.4873516997435811,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,1,family_cv,0.45716290323742337,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,1,histgb_native,0.5614967363394694,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,2,mean_impute,0.4184553256157377,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,2,mean_indicator,0.4927612978413467,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,2,family_cv,0.463650374783348,0.3392,20000,61,-1
sweep_42739,holdout,0.5,0,31,2,histgb_native,0.5847474913762576,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,0,mean_impute,0.5903203119060799,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,0,mean_indicator,0.603132490976157,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,0,family_cv,0.6042622416844647,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,0,histgb_native,0.7407740830355887,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,1,mean_impute,0.5813616323985131,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,1,mean_indicator,0.5908883579150594,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,1,family_cv,0.600388778385482,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,1,histgb_native,0.7546234051540804,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,2,mean_impute,0.5588539986374237,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,2,mean_indicator,0.5785848875840193,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,2,family_cv,0.5746198369995688,0.3392,20000,61,-1
sweep_42739,holdout,0.5,1,31,2,histgb_native,0.7478095216472317,0.3392,20000,61,-1
sweep_42739,holdout,0.25,0,16,0,mean_impute,0.4201863772667762,0.3392,20000,61,-1
