dataset,n,B,ceiling_real,perm_mean,perm_sd,perm_lo,perm_hi,excess,p
cylinder-bands,540,50,0.0075328040086224,0.0317655862256216,0.013390997809369,0.012490949294443,0.0606209574541438,-0.0242327822169991,0.9803921568627452
sick,3772,50,0.0034068247379839,0.012731239552412,0.0059789338886659,0.0052955778983926,0.0278150844915812,-0.009324414814428,0.9803921568627452
colic,368,50,0.0169601686244509,0.0253485673986017,0.0094605181829804,0.0110564160636286,0.0466861710600896,-0.0083883987741507,0.8235294117647058
hepatitis,155,50,0.0295426820688249,0.0342376199369205,0.0181315520160215,0.0053075912183055,0.0632367838681648,-0.0046949378680955,0.6078431372549019
eucalyptus,736,50,0.0030991098286027,0.006001029045789,0.0017681348898992,0.0037273731012882,0.0089786537219187,-0.0029019192171863,0.9803921568627452
support2,9105,50,-7.401486830834377e-18,0.0013706863190434,0.0005620249911988,0.0002504078389291,0.0024723545629652,-0.0013706863190434,1.0
heart-4site,920,50,0.0020887253342192,0.0028112458291021,0.0014692915787514,0.0001761966908405,0.005151055487572,-0.0007225204948828,0.6470588235294118
vote,435,50,0.0022057459715238,0.0027901370800407,0.0024267406853065,3.781512605042005e-05,0.0087066628981801,-0.0005843911085169,0.4901960784313725
Diabetes130US,20000,50,0.0007930686100088,0.0007788712071842,0.0003826005313035,0.0001974354201523,0.0014786842518245,1.4197402824589848e-05,0.4313725490196078
hypothyroid,3772,50,0.0017710685500497,0.0006338775473943,0.0030586292334118,-0.004247281229099,0.0059242484505985,0.0011371910026554,0.392156862745098
primary-tumor,339,50,0.0056839240262116,0.0041767268293098,0.002683429253521,0.0002340809545127,0.0110126372796089,0.0015071971969018,0.2745098039215686
